rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,76.52795538785293,75.75618458340992,002233,塔牌集团,bottom_area,2021-11-15,10.13,2021-11-10,9.79,3.4729315628192206,7.252298263534228,31.77700348432056,True,0.1978,1.2299,1,1,1,100.0,15.292841648590022,15.292841648590022,4.5270684371807794,3.4729315628192206,历史1/1次成功; 当前距低点3.47%; 最新日涨幅0.20%; 状态bottom_area; 底部已确认
2,73.77059008404376,73.02563063063063,002554,惠博普,bottom_area,2021-11-15,2.98,2021-11-15,2.88,3.472222222222225,4.513888888888886,27.088607594936715,False,0.3367,3.4306,1,1,1,100.0,9.797297297297298,9.797297297297298,4.527777777777775,3.472222222222225,历史1/1次成功; 当前距低点3.47%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
3,72.6491793178367,72.32593491597758,002386,天原股份,bottom_area,2021-11-15,10.74,2021-11-05,10.35,3.768115942028991,7.729468599033823,27.82426778242678,False,0.5618,3.6069,1,1,1,100.0,9.662576687116577,9.662576687116577,4.231884057971009,3.768115942028991,历史1/1次成功; 当前距低点3.77%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
