rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.22644587033523,80.80819875776399,301009,可靠股份,bottom_area,2025-09-26,13.31,2025-09-23,12.88,3.3385093167701836,4.5807453416149055,30.566037735849054,False,0.3771,2.1418,1,1,1,100.0,53.96648044692738,53.96648044692738,16.661490683229818,3.3385093167701836,历史1/1次成功; 当前距低点3.34%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
2,87.27965983784352,73.39002436685152,301151,冠龙节能,bottom_area,2025-09-26,20.48,2025-09-23,20.38,0.4906771344455418,5.004906771344453,28.49122807017544,False,-1.0628,3.7611,1,1,1,100.0,37.520259319286865,37.520259319286865,19.50932286555446,0.4906771344455418,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
3,75.16111686929325,66.41985144584982,300534,陇神戎发,bottom_area,2025-09-26,9.65,2025-09-23,9.35,3.2085561497326283,5.454545454545452,27.519379844961243,False,-0.3099,1.6563,3,5,3,60.0,30.190104662581724,41.58730158730159,16.791443850267374,3.2085561497326283,历史3/5次成功; 当前距低点3.21%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
4,72.49471535570154,65.83053288895042,002651,利君股份,bottom_area,2025-09-26,11.36,2025-09-23,10.85,4.700460829493086,8.66359447004608,28.09807819748178,True,2.7125,6.8652,2,4,2,50.0,35.309589140831555,41.96642685851319,15.299539170506915,4.700460829493086,历史2/4次成功; 当前距低点4.70%; 最新日涨幅2.71%; 状态bottom_area; 底部已确认
5,69.55010152439982,61.76951800629875,603839,安正时尚,bottom_area,2025-09-26,8.32,2025-09-23,8.04,3.4825870646766317,9.328358208955224,30.569948186528507,True,0.8485,2.848,1,2,1,50.0,31.88073394495412,31.88073394495412,16.51741293532337,3.4825870646766317,历史1/2次成功; 当前距低点3.48%; 最新日涨幅0.85%; 状态bottom_area; 底部已确认
6,68.19150288290855,57.157337559429465,002097,山河智能,bottom_area,2025-09-26,12.66,2025-09-26,12.62,0.31695721077655253,5.229793977812997,27.47126436781609,False,-5.3812,9.533,1,2,1,50.0,50.210970464135016,50.210970464135016,19.68304278922345,0.31695721077655253,历史1/2次成功; 当前距低点0.32%; 最新日涨幅-5.38%; 状态bottom_area; 底部未确认
7,67.46061024812192,56.61794573643413,000718,苏宁环球,bottom_area,2025-09-26,2.59,2025-09-23,2.58,0.3875968992247979,4.651162790697678,31.2,False,0.0,3.8521,1,4,1,25.0,36.111111111111114,36.111111111111114,19.612403100775204,0.3875968992247979,历史1/4次成功; 当前距低点0.39%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,65.99592897291454,60.07772393186295,600316,洪都航空,bottom_area,2025-09-26,35.55,2025-09-16,33.91,4.836331465644355,9.407254497198482,28.565409732462616,True,1.5714,2.1143,2,5,2,40.0,27.712686416839073,30.462519936204153,15.163668534355645,4.836331465644355,历史2/5次成功; 当前距低点4.84%; 最新日涨幅1.57%; 状态bottom_area; 底部已确认
9,64.586098139314,58.584130086147454,000037,深南电A,bottom_area,2025-09-26,8.57,2025-09-23,8.19,4.63980463980465,5.616605616605627,28.220858895705526,False,0.9423,1.7198,3,9,3,33.33333333333333,40.91156629875658,45.16765285996055,15.36019536019535,4.63980463980465,历史3/9次成功; 当前距低点4.64%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
10,62.379999999999995,51.983333333333334,600246,万通发展,bottom_area,2025-09-26,11.4,2025-09-26,11.4,0.0,6.8421052631578885,29.28039702233251,False,-6.7103,8.7564,1,3,1,33.33333333333333,64.73317865429235,64.73317865429235,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-6.71%; 状态bottom_area; 底部未确认
11,62.12908268178024,54.78286889669094,000096,广聚能源,bottom_area,2025-09-26,11.35,2025-09-23,11.01,3.0881017257039045,5.812897366030886,28.039215686274517,False,-0.088,0.7124,1,2,1,50.0,21.149144254278735,21.149144254278735,16.911898274296096,3.0881017257039045,历史1/2次成功; 当前距低点3.09%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
12,61.25627788329424,51.41081001870773,000545,金浦钛业,bottom_area,2025-09-26,2.59,2025-09-26,2.58,0.3875968992247979,4.651162790697678,32.10526315789473,False,-3.3582,9.9329,2,6,2,33.33333333333333,22.748374277456644,24.6875,19.612403100775204,0.3875968992247979,历史2/6次成功; 当前距低点0.39%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
13,58.82876744297942,50.33373235626966,000679,大连友谊,bottom_area,2025-09-26,7.75,2025-09-26,7.64,1.4397905759162346,2.7486910994764395,27.65151515151516,False,-0.2574,2.0806,1,8,1,12.5,24.94061757719715,24.94061757719715,18.56020942408377,1.4397905759162346,历史1/8次成功; 当前距低点1.44%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
14,55.534864864864865,46.27905405405406,002115,三维通信,bottom_area,2025-09-26,10.62,2025-09-26,10.62,0.0,3.0131826741996264,28.48484848484849,False,-3.5422,10.5669,1,4,1,25.0,20.720720720720706,20.720720720720706,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-3.54%; 状态bottom_area; 底部未确认
