rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.07996193549573,76.49840944113417,688356,键凯科技,bottom_area,2022-02-11,199.4,2022-02-11,194.68,2.4244914731867673,6.128004931169102,32.60869565217391,False,0.865,2.9644,1,1,1,100.0,15.625,15.625,12.57550852681323,2.4244914731867673,历史1/1次成功; 当前距低点2.42%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
2,84.05686223033595,73.96171133201538,300624,万兴科技,bottom_area,2022-02-11,39.79,2022-02-11,39.54,0.6322711178553364,5.209914011127977,28.40847365562194,False,-3.8657,4.1625,2,2,2,100.0,35.87790043400834,51.195680123425035,14.367728882144663,0.6322711178553364,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-3.87%; 状态bottom_area; 底部未确认
3,83.14014814994876,76.04660491509246,300491,通合科技,bottom_area,2022-02-11,15.92,2022-01-25,15.5,2.709677419354838,11.870967741935482,27.093132643461903,True,-3.6903,2.5216,2,2,2,100.0,23.51972812484664,27.26480836236933,12.290322580645162,2.709677419354838,历史2/2次成功; 当前距低点2.71%; 最新日涨幅-3.69%; 状态bottom_area; 底部已确认
4,82.85121042006931,72.32188563460097,300658,延江股份,bottom_area,2022-02-11,9.75,2022-02-11,9.73,0.20554984583761124,4.110996916752316,32.71092669432918,False,-3.2738,1.8109,2,2,2,100.0,21.830856360810415,26.72018348623853,14.794450154162389,0.20554984583761124,历史2/2次成功; 当前距低点0.21%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
5,81.47633619301173,71.53205025705711,688311,盟升电子,bottom_area,2022-02-11,54.82,2022-01-28,54.54,0.5133846718005155,6.784011734506789,28.882514017472943,False,-3.6217,0.8226,2,2,2,100.0,21.357888756786508,23.893805309734503,14.486615328199484,0.5133846718005155,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
6,81.0779037761941,71.64314636283962,603368,柳药集团,bottom_area,2022-02-11,16.44,2022-01-28,16.3,0.8588957055214758,6.871165644171786,30.282292557741652,False,-3.8596,3.0478,1,1,1,100.0,42.85714285714285,42.85714285714285,14.141104294478524,0.8588957055214758,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
7,80.05135003891525,74.45131625131624,300511,雪榕生物,bottom_area,2022-02-11,6.9,2022-01-27,6.66,3.603603603603607,8.108108108108109,31.198347107438014,True,-3.7657,3.2239,2,2,2,100.0,25.900712191034756,29.220779220779214,11.396396396396392,3.603603603603607,历史2/2次成功; 当前距低点3.60%; 最新日涨幅-3.77%; 状态bottom_area; 底部已确认
8,78.98359172473519,69.61276969705233,603319,美湖股份,bottom_area,2022-02-11,20.96,2022-02-11,20.81,0.7208073041806926,4.08457472369054,27.768136063866717,False,-2.6475,2.4362,1,1,1,100.0,20.033388981636072,20.033388981636072,14.279192695819306,0.7208073041806926,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
9,78.66268990979748,69.59733577143109,601966,玲珑轮胎,bottom_area,2022-02-11,28.31,2022-02-11,28.05,0.9269162210338611,4.349376114081992,32.40963855421686,False,-1.6331,0.8776,1,1,1,100.0,22.476907287033857,22.476907287033857,14.073083778966138,0.9269162210338611,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
10,78.1885604417943,71.65469745222931,000518,四环生物,bottom_area,2022-02-11,3.29,2022-01-27,3.2,2.8124999999999956,8.4375,27.272727272727277,True,-3.2353,1.5892,1,1,1,100.0,17.834394904458602,17.834394904458602,12.187500000000004,2.8124999999999956,历史1/1次成功; 当前距低点2.81%; 最新日涨幅-3.24%; 状态bottom_area; 底部已确认
11,78.17708981415896,68.30837362468067,300562,乐心医疗,bottom_area,2022-02-11,11.67,2022-02-11,11.64,0.2577319587628811,6.872852233676967,31.367924528301888,False,-6.0386,6.1192,1,1,1,100.0,17.559153175591536,17.559153175591536,14.74226804123712,0.2577319587628811,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-6.04%; 状态bottom_area; 底部未确认
