rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.67810209840722,78.38499292730845,300614,百川畅银,bottom_area,2021-08-30,41.22,2021-08-27,40.72,1.2278978388998036,4.322200392927304,27.68602379683893,False,0.3408,5.1608,1,1,1,100.0,11.099999999999994,11.099999999999994,6.772102161100197,1.2278978388998036,历史1/1次成功; 当前距低点1.23%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
2,77.92040473235896,72.42473015873017,688317,之江生物,bottom_area,2021-08-30,50.5,2021-08-30,50.4,0.19841269841270123,4.16666666666667,31.781266919328637,False,-4.591,6.0703,1,1,1,100.0,38.96296296296296,38.96296296296296,7.801587301587299,0.19841269841270123,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-4.59%; 状态bottom_area; 底部未确认
3,74.14181217985202,71.96285714285715,688111,金山办公,bottom_area,2021-08-30,251.0,2021-08-30,245.0,2.4489795918367347,6.028571428571421,28.77906976744186,False,-1.5686,2.5997,1,1,1,100.0,14.013605442176866,14.013605442176866,5.551020408163265,2.4489795918367347,历史1/1次成功; 当前距低点2.45%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
4,73.90427050977833,69.06676264721038,300463,迈克生物,bottom_area,2021-08-30,29.24,2021-08-30,29.1,0.481099656357378,2.5429553264604756,27.249999999999996,False,-1.2162,0.9489,1,1,1,100.0,14.159515396264513,14.159515396264513,7.518900343642622,0.481099656357378,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
