rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.69595601477128,78.32356111010722,000679,大连友谊,bottom_area,2023-01-18,5.47,2023-01-18,5.44,0.5514705882352824,2.5735294117647,28.515111695137975,False,-1.6187,2.393,4,4,4,100.0,14.78986049077237,24.94061757719715,7.448529411764718,0.5514705882352824,历史4/4次成功; 当前距低点0.55%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
2,82.86085340488991,81.46970681457715,000411,英特集团,bottom_area,2023-01-18,11.9,2023-01-05,11.54,3.119584055459283,3.812824956672455,31.675547661338076,False,1.7964,1.3905,2,2,2,100.0,34.206228285076975,47.98426745329401,4.880415944540717,3.119584055459283,历史2/2次成功; 当前距低点3.12%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
3,82.19784858192281,83.38378504668884,688075,安旭生物,bottom_area,2023-01-18,87.86,2022-12-30,83.88,4.744873628993806,5.996661897949453,29.441453566621806,False,0.0455,1.3972,4,4,4,100.0,31.086542584917854,40.134529147982065,3.2551263710061944,4.744873628993806,历史4/4次成功; 当前距低点4.74%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
4,82.0960523972505,77.05445117829908,002838,道恩股份,bottom_area,2023-01-18,17.13,2023-01-13,17.01,0.7054673721340237,2.057613168724267,32.17703349282296,False,0.0,0.6614,2,2,2,100.0,20.71460638045511,24.95606326889279,7.294532627865976,0.7054673721340237,历史2/2次成功; 当前距低点0.71%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,81.79441613756762,78.10001171404473,600158,中体产业,bottom_area,2023-01-18,8.27,2023-01-12,8.14,1.5970515970515846,2.457002457002448,30.899830220713064,False,0.1211,0.8281,1,1,1,100.0,14.092953523238386,14.092953523238386,6.402948402948416,1.5970515970515846,历史1/1次成功; 当前距低点1.60%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
6,81.70558939667163,77.92335976633265,300485,赛升药业,bottom_area,2023-01-18,11.9,2023-01-12,11.72,1.5358361774744003,3.583617747440272,27.69895126465145,False,0.4219,1.0781,1,1,1,100.0,12.392829306313327,12.392829306313327,6.4641638225256,1.5358361774744003,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
7,80.59239393027192,74.622586972474,000715,中兴商业,bottom_area,2023-01-18,6.27,2023-01-18,6.27,0.0,1.7543859649122857,29.7085201793722,False,-0.7911,2.7875,3,3,3,100.0,17.056919206849418,24.33862433862435,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
8,80.32183134887953,75.78686300371385,000419,通程控股,bottom_area,2023-01-18,6.19,2023-01-18,6.13,0.9787928221859787,1.305057096247962,28.220140515222475,False,0.0,2.7682,2,2,2,100.0,17.250057195149854,24.82269503546099,7.021207177814022,0.9787928221859787,历史2/2次成功; 当前距低点0.98%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,80.21086428857895,74.54738089075815,002186,全聚德,bottom_area,2023-01-18,15.49,2023-01-18,15.46,0.19404915912030635,5.433376455368692,32.54799301919721,False,-6.9111,11.4414,3,3,3,100.0,16.988241793292634,23.20675105485231,7.805950840879694,0.19404915912030635,历史3/3次成功; 当前距低点0.19%; 最新日涨幅-6.91%; 状态bottom_area; 底部未确认
10,80.17648391819525,77.66281716417909,000919,金陵药业,bottom_area,2023-01-18,7.86,2022-12-29,7.68,2.343750000000008,4.947916666666677,31.12107623318386,False,0.2551,1.0283,1,1,1,100.0,20.8955223880597,20.8955223880597,5.656249999999992,2.343750000000008,历史1/1次成功; 当前距低点2.34%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
11,79.1993547344332,78.24494738463117,002395,双象股份,bottom_area,2023-01-18,9.51,2023-01-17,9.2,3.36956521739131,4.021739130434794,32.65007320644217,False,2.1482,1.4243,1,1,1,100.0,36.59976387249114,36.59976387249114,4.63043478260869,3.36956521739131,历史1/1次成功; 当前距低点3.37%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
12,78.70730609362,77.57538847561109,000650,仁和药业,bottom_area,2023-01-18,6.36,2023-01-12,6.16,3.2467532467532494,3.733766233766226,27.444051825677267,False,0.0,1.301,2,2,2,100.0,14.827881065637138,17.19038817005545,4.753246753246751,3.2467532467532494,历史2/2次成功; 当前距低点3.25%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
13,78.43612525723223,77.06142037875152,000980,众泰汽车,confirmed_rebound,2023-01-18,4.35,2022-12-29,4.22,3.0805687203791448,10.4265402843602,30.247933884297524,True,-0.9112,1.0348,2,2,2,100.0,33.52213473772031,43.49775784753364,4.919431279620856,3.0805687203791448,历史2/2次成功; 当前距低点3.08%; 最新日涨幅-0.91%; 状态confirmed_rebound; 底部已确认
