rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.09037237756492,79.91303370786518,002657,中科金财,bottom_area,2022-04-11,17.09,2022-04-11,16.91,1.064458900059135,9.402720283855706,31.70436187399031,False,-6.9172,23.1351,1,1,1,100.0,56.540447504302946,56.540447504302946,13.935541099940865,1.064458900059135,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-6.92%; 状态bottom_area; 底部未确认
2,86.728175602616,77.14241558189403,300746,汉嘉数智,bottom_area,2022-04-11,14.2,2022-04-11,14.03,1.2116892373485384,9.052031361368506,27.680412371134018,False,-4.5699,6.1717,1,1,1,100.0,36.90896259703598,36.90896259703598,13.788310762651463,1.2116892373485384,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-4.57%; 状态bottom_area; 底部未确认
3,83.78559213620343,74.40259785158665,002474,榕基软件,bottom_area,2022-04-11,6.3,2022-04-11,6.23,1.1235955056179678,6.420545746388434,31.007751937984484,False,-4.8338,2.9832,1,1,1,100.0,21.0989010989011,21.0989010989011,13.876404494382033,1.1235955056179678,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-4.83%; 状态bottom_area; 底部未确认
4,83.5794059785077,74.81733731580577,603215,比依股份,bottom_area,2022-04-11,15.69,2022-04-11,15.45,1.5533980582524287,6.6019417475728135,31.485587583148565,False,-3.2676,11.1841,1,1,1,100.0,28.59723058398555,28.59723058398555,13.446601941747572,1.5533980582524287,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
5,83.11903031013294,73.89582414430491,000788,北大医药,bottom_area,2022-04-11,9.39,2022-04-11,9.28,1.18534482758622,6.896551724137938,28.00620636152057,False,-3.4943,5.994,1,1,1,100.0,19.13123844731978,19.13123844731978,13.814655172413778,1.18534482758622,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
6,81.66291393504797,73.05221399191612,002196,方正电机,bottom_area,2022-04-11,8.03,2022-04-11,7.91,1.5170670037926577,8.975979772439938,29.626334519572957,False,-6.8445,3.9047,1,1,1,100.0,18.661971830985923,18.661971830985923,13.482932996207342,1.5170670037926577,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-6.84%; 状态bottom_area; 底部未确认
7,81.55847481661475,70.92041288401283,688037,芯源微,bottom_area,2022-04-11,129.49,2022-04-11,129.49,0.0,6.865395011197766,30.0054054054054,False,-6.0237,2.668,2,2,2,100.0,24.034477871036746,27.322614278658854,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-6.02%; 状态bottom_area; 底部未确认
8,78.43536029508407,69.11936822623869,300435,中泰股份,bottom_area,2022-04-11,15.54,2022-04-11,15.43,0.7128969539857384,6.416072585871692,29.12264584290308,False,-5.2439,2.2716,1,1,1,100.0,27.498781082398814,27.498781082398814,14.28710304601426,0.7128969539857384,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-5.24%; 状态bottom_area; 底部未确认
9,77.78487034270361,68.17734490622492,300671,富满微,bottom_area,2022-04-11,73.4,2022-04-11,73.09,0.42413462854015904,6.977698727596106,30.766316188311066,False,-6.1381,4.5052,1,1,1,100.0,18.894472361809044,18.894472361809044,14.57586537145984,0.42413462854015904,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-6.14%; 状态bottom_area; 底部未确认
10,77.6998052186832,67.88489488687826,688148,芳源股份,bottom_area,2022-04-11,19.84,2022-04-11,19.79,0.25265285497726486,9.70186963112684,28.915229885057474,False,-8.6135,4.9167,1,1,1,100.0,15.220125786163516,15.220125786163516,14.747347145022735,0.25265285497726486,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-8.61%; 状态bottom_area; 底部未确认
11,77.38680334332413,68.15439434589358,603063,禾望电气,bottom_area,2022-04-11,29.58,2022-04-11,29.38,0.6807351940095279,7.556160653505795,30.197196483725357,False,-5.7361,2.0566,1,1,1,100.0,21.916508538899436,21.916508538899436,14.319264805990473,0.6807351940095279,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
