rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.08230821798193,85.31270231262731,002357,富临运业,bottom_area,2024-09-02,5.18,2024-08-29,5.12,1.1718749999999925,4.492187499999991,28.08988764044944,False,-1.8939,2.6104,4,4,4,100.0,20.132136089393963,31.941031941031934,6.828125000000007,1.1718749999999925,历史4/4次成功; 当前距低点1.17%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
2,86.66788740799683,86.44090909090909,000957,中通客车,bottom_area,2024-09-02,9.14,2024-08-29,8.8,3.8636363636363615,7.159090909090897,31.25,True,-1.6146,3.4096,4,4,4,100.0,101.48868676450815,354.54545454545456,4.1363636363636385,3.8636363636363615,历史4/4次成功; 当前距低点3.86%; 最新日涨幅-1.61%; 状态bottom_area; 底部已确认
3,85.11853245520388,80.60291115040864,600011,华能国际,bottom_area,2024-09-02,6.94,2024-08-27,6.86,1.1661807580174937,3.6443148688046643,30.707070707070706,False,0.0,0.5798,1,1,1,100.0,22.267759562841515,22.267759562841515,6.833819241982507,1.1661807580174937,历史1/1次成功; 当前距低点1.17%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,83.40757376980477,80.8285360865798,002219,新里程,bottom_area,2024-09-02,1.73,2024-08-23,1.69,2.3668639053254457,7.6923076923077,29.288702928870297,True,-2.809,0.9564,2,2,2,100.0,34.81175156302061,45.685279187817265,5.633136094674554,2.3668639053254457,历史2/2次成功; 当前距低点2.37%; 最新日涨幅-2.81%; 状态bottom_area; 底部已确认
5,82.45172270945021,80.420058084166,000597,东北制药,bottom_area,2024-09-02,4.18,2024-08-26,4.07,2.7027027027026884,5.65110565110564,32.053422370617696,False,-1.4151,2.128,3,3,3,100.0,29.259248636172746,61.02150537634409,5.297297297297312,2.7027027027026884,历史3/3次成功; 当前距低点2.70%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
6,82.35007532525428,78.81136965898159,001218,丽臣实业,bottom_area,2024-09-02,13.63,2024-08-30,13.4,1.7164179104477644,4.850746268656718,32.323232323232325,False,-1.8719,1.6409,2,2,2,100.0,25.18711018711019,29.999999999999993,6.283582089552237,1.7164179104477644,历史2/2次成功; 当前距低点1.72%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
7,80.78061851390477,78.80181732334088,001205,盛航股份,bottom_area,2024-09-02,14.4,2024-08-28,14.02,2.7104136947218316,4.208273894436519,27.806385169927918,False,0.0,0.6704,2,2,2,100.0,14.847099716702502,14.929577464788741,5.289586305278168,2.7104136947218316,历史2/2次成功; 当前距低点2.71%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,80.30982369259642,77.76479406853527,000037,深南电A,bottom_area,2024-09-02,7.04,2024-08-28,6.88,2.325581395348839,5.087209302325589,28.92561983471074,False,-1.676,1.4759,7,8,7,87.5,20.777524999627015,45.16765285996055,5.674418604651161,2.325581395348839,历史7/8次成功; 当前距低点2.33%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
9,80.10219183913648,79.86954193804259,603069,海汽集团,bottom_area,2024-09-02,15.38,2024-08-29,14.81,3.8487508440243094,6.144496961512493,27.966926070038905,False,-1.2203,0.8393,6,6,6,100.0,23.68114979794627,76.0375880971026,4.151249155975691,3.8487508440243094,历史6/6次成功; 当前距低点3.85%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
10,79.66057200446564,76.39638968254079,301509,金凯生科,bottom_area,2024-09-02,25.67,2024-08-28,25.21,1.8246727489091663,6.227687425624754,29.6792189679219,False,-2.8755,2.6438,2,2,2,100.0,13.530341666955287,15.05054819877544,6.175327251090835,1.8246727489091663,历史2/2次成功; 当前距低点1.82%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
11,78.70675849356891,75.73669213532104,000600,建投能源,bottom_area,2024-09-02,4.59,2024-08-26,4.5,1.999999999999997,5.1111111111111205,31.08728943338438,False,-1.2903,1.4993,2,2,2,100.0,12.132753415704464,13.438735177865627,6.0000000000000036,1.999999999999997,历史2/2次成功; 当前距低点2.00%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
