rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.71814106910516,77.786444579043,603013,亚普股份,bottom_area,2023-12-29,17.28,2023-12-28,16.51,4.663840096910961,5.330102967898237,27.428571428571423,False,1.7668,0.6777,1,1,1,100.0,53.30739299610896,53.30739299610896,15.336159903089042,4.663840096910961,历史1/1次成功; 当前距低点4.66%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
2,82.57999823098133,75.19126154715667,301499,维科精密,bottom_area,2023-12-29,29.41,2023-12-27,28.05,4.848484848484846,5.347593582887701,32.73381294964029,False,0.6502,5.2959,2,2,2,100.0,21.64412366506522,21.950454687989964,15.151515151515154,4.848484848484846,历史2/2次成功; 当前距低点4.85%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
3,75.43532719939262,68.68108183257695,601628,中国人寿,bottom_area,2023-12-29,28.35,2023-12-27,27.04,4.844674556213026,6.656804733727814,29.47313510693793,False,-0.8048,0.0852,1,1,1,100.0,25.736235595390532,25.736235595390532,15.155325443786975,4.844674556213026,历史1/1次成功; 当前距低点4.84%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
4,66.09690882743429,60.226010568031704,000070,特发信息,bottom_area,2023-12-29,7.94,2023-12-26,7.57,4.88771466314399,5.548216644649933,27.00096432015428,False,1.0178,1.3469,1,2,1,50.0,50.60532687651331,50.60532687651331,15.11228533685601,4.88771466314399,历史1/2次成功; 当前距低点4.89%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
5,66.04479976252112,59.281574148382134,000058,深赛格,bottom_area,2023-12-29,7.17,2023-12-27,6.89,4.063860667634256,4.789550072568942,27.320675105485236,False,0.4202,1.0016,1,2,1,50.0,34.82352941176472,34.82352941176472,15.936139332365745,4.063860667634256,历史1/2次成功; 当前距低点4.06%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
6,63.60861709448794,57.78196601422728,000829,天音控股,bottom_area,2023-12-29,9.54,2023-12-27,9.11,4.720087815587264,4.8298572996707065,29.105058365758758,False,2.2508,2.6843,1,2,1,50.0,34.80519480519481,34.80519480519481,15.279912184412737,4.720087815587264,历史1/2次成功; 当前距低点4.72%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
