rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.48538152610436,85.12666666666664,002584,西陇科学,bottom_area,2022-01-26,9.13,2022-01-25,9.0,1.444444444444453,11.444444444444438,27.942353883106485,False,1.4444,11.4149,1,1,1,100.0,68.08510638297875,68.08510638297875,18.555555555555546,1.444444444444453,历史1/1次成功; 当前距低点1.44%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
2,94.94070611780242,80.60015844620494,603368,柳药集团,bottom_area,2022-01-26,16.94,2022-01-26,16.77,1.0137149672033494,4.114490161001797,28.27202737382378,False,-1.2821,1.9765,1,1,1,100.0,42.85714285714285,42.85714285714285,18.98628503279665,1.0137149672033494,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
3,94.43034257238205,81.96334849127136,300511,雪榕生物,bottom_area,2022-01-26,6.89,2022-01-26,6.74,2.22551928783382,2.9673590504451064,30.371900826446275,False,1.3235,2.9998,2,2,2,100.0,25.900712191034756,29.220779220779214,17.77448071216618,2.22551928783382,历史2/2次成功; 当前距低点2.23%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
4,92.20753618754193,80.39743083098965,600217,中再资环,bottom_area,2022-01-26,5.8,2022-01-26,5.66,2.473498233215542,3.1802120141342707,28.894472361809044,False,1.0453,1.1956,1,1,1,100.0,37.18820861678004,37.18820861678004,17.52650176678446,2.473498233215542,历史1/1次成功; 当前距低点2.47%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
5,91.25605618221489,79.20489091885547,600391,航发科技,bottom_area,2022-01-26,21.61,2022-01-26,21.14,2.22327341532639,3.831598864711441,28.38753387533875,False,1.1704,1.8056,1,1,1,100.0,27.709431751611014,27.709431751611014,17.77672658467361,2.22327341532639,历史1/1次成功; 当前距低点2.22%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
6,87.09048659009072,73.43760396190252,002603,以岭药业,bottom_area,2022-01-26,20.3,2022-01-26,20.17,0.6445215666831878,5.89985126425383,27.757879656160455,False,-2.4038,2.8487,1,1,1,100.0,39.661898569570866,39.661898569570866,19.355478433316815,0.6445215666831878,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
7,84.57926679749723,71.5412893088824,603348,文灿股份,bottom_area,2022-01-26,50.8,2022-01-26,50.39,0.8136535026790962,5.9337170073427306,29.028169014084504,False,-1.7408,1.4038,1,1,1,100.0,31.539888682745836,31.539888682745836,19.186346497320905,0.8136535026790962,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
8,84.47620413454075,75.28336543606207,600418,江淮汽车,bottom_area,2022-01-26,13.84,2022-01-26,13.35,3.670411985018728,4.119850187265923,28.72397223705286,False,0.9482,2.2145,1,1,1,100.0,24.365079365079367,24.365079365079367,16.329588014981272,3.670411985018728,历史1/1次成功; 当前距低点3.67%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
9,81.24889076243593,68.28853176097644,001296,长江材料,bottom_area,2022-01-26,34.47,2022-01-26,34.31,0.46633634508888544,6.033226464587584,31.65338645418327,False,-5.198,14.0432,1,1,1,100.0,20.009562514941443,20.009562514941443,19.533663654911116,0.46633634508888544,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-5.20%; 状态bottom_area; 底部未确认
10,79.61462276918303,67.4186118490542,002806,华锋股份,bottom_area,2022-01-26,12.67,2022-01-26,12.56,0.8757961783439445,4.93630573248407,28.676888131743322,False,-3.1346,2.0755,1,1,1,100.0,20.35175879396985,20.35175879396985,19.124203821656057,0.8757961783439445,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
11,73.69149240170503,64.27117453425556,601778,晶科科技,bottom_area,2022-01-26,7.0,2022-01-25,6.83,2.4890190336749622,4.831625183016106,29.948717948717945,False,2.1898,1.386,1,2,1,50.0,42.344827586206904,42.344827586206904,17.51098096632504,2.4890190336749622,历史1/2次成功; 当前距低点2.49%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
