rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.07072064420821,79.48032731064465,300671,富满微,bottom_area,2023-04-27,43.24,2023-04-27,42.65,1.3833528722157173,3.774912075029307,31.78182981445938,False,0.0463,2.0636,1,1,1,100.0,18.894472361809044,18.894472361809044,13.616647127784281,1.3833528722157173,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
2,88.39818680041141,79.28781255147423,000935,四川双马,bottom_area,2023-04-27,18.99,2023-04-25,18.68,1.6595289079229052,4.014989293361884,30.609212481426457,False,-0.315,0.3601,1,1,1,100.0,43.71794871794874,43.71794871794874,13.340471092077093,1.6595289079229052,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
3,88.1969192487082,80.8668138801262,000957,中通客车,bottom_area,2023-04-27,9.78,2023-04-25,9.51,2.839116719242898,5.678233438485814,29.39866369710468,False,-1.6097,2.0212,2,2,2,100.0,185.5153400254489,354.54545454545456,12.160883280757101,2.839116719242898,历史2/2次成功; 当前距低点2.84%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
4,87.54841785065389,79.66215522151656,002245,蔚蓝锂芯,bottom_area,2023-04-27,10.96,2023-04-26,10.7,2.4299065420560897,8.317757009345799,29.512516469038214,False,-2.2302,2.2986,3,3,3,100.0,21.840549125830286,25.653923541247494,12.570093457943909,2.4299065420560897,历史3/3次成功; 当前距低点2.43%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
5,86.73117248478688,76.83898432918205,301313,凡拓数创,bottom_area,2023-04-27,32.36,2023-04-26,32.04,0.9987515605493142,7.990012484394514,28.97362003990246,False,-1.0398,7.8142,2,2,2,100.0,45.6243972431962,52.43243243243245,14.001248439450686,0.9987515605493142,历史2/2次成功; 当前距低点1.00%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
6,86.16414197676558,78.2360563235198,300530,领湃科技,bottom_area,2023-04-27,22.09,2023-04-25,21.59,2.3158869847151458,6.947660954145437,32.6365054602184,False,0.136,0.2519,3,4,3,75.0,27.802573379948058,34.07510431154381,12.684113015284854,2.3158869847151458,历史3/4次成功; 当前距低点2.32%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
7,85.63909687742665,78.22681318681319,605133,嵘泰股份,bottom_area,2023-04-27,28.02,2023-04-25,27.3,2.6373626373626333,5.567765567765566,28.79499217527387,False,-0.3556,6.3616,1,1,1,100.0,60.01483679525222,60.01483679525222,12.362637362637367,2.6373626373626333,历史1/1次成功; 当前距低点2.64%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
8,85.0122039066119,75.85738205179683,688004,博汇科技,bottom_area,2023-04-27,34.47,2023-04-26,34.0,1.3823529411764672,14.970588235294127,31.313131313131315,False,-1.4298,5.8716,1,1,1,100.0,21.87713310580205,21.87713310580205,13.61764705882353,1.3823529411764672,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
9,84.97846728716364,75.5971359574982,002383,合众思壮,bottom_area,2023-04-27,6.64,2023-04-25,6.56,1.2195121951219523,4.878048780487809,28.07017543859649,False,-0.8955,1.5802,1,1,1,100.0,18.48184818481848,18.48184818481848,13.780487804878048,1.2195121951219523,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
10,84.74070953416722,79.61505032102181,002363,隆基机械,bottom_area,2023-04-27,6.78,2023-04-25,6.51,4.147465437788026,5.222734254992317,28.774617067833702,False,0.7429,0.9413,2,2,2,100.0,36.83479311386288,54.96828752642705,10.852534562211973,4.147465437788026,历史2/2次成功; 当前距低点4.15%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
11,84.33507841096173,76.04802849708743,688228,开普云,bottom_area,2023-04-27,45.59,2023-04-27,44.72,1.9454382826475953,6.618962432915923,29.29644268774704,False,-1.4483,3.1711,1,1,1,100.0,29.80445043830074,29.80445043830074,13.054561717352403,1.9454382826475953,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
