rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.84786985165817,79.95904212678936,688568,中科星图,bottom_area,2026-04-02,59.39,80.75,2026-03-30,58.68,1.209952283571917,7.873210633946826,27.3312693498452,26.45201238390093,True,-1.9805,0.9629,1,1,1,100.0,32.62222222222222,32.62222222222222,18.790047716428084,1.209952283571917,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-1.98%; 状态bottom_area; 底部已确认
2,93.08359550561799,80.82640449438203,603610,麒盛科技,bottom_area,2026-04-02,15.47,20.92,2026-03-30,15.13,2.247191011235954,7.73298083278255,27.67686424474188,26.051625239005737,True,-1.8401,1.1325,1,1,1,100.0,82.78301886792451,82.78301886792451,17.752808988764045,2.247191011235954,历史1/1次成功; 当前距低点2.25%; 最新日涨幅-1.84%; 状态bottom_area; 底部已确认
3,91.26247577825313,77.42445800732982,300345,华民股份,bottom_area,2026-04-02,7.24,9.95,2026-04-02,7.17,0.9762900976290136,7.810320781032084,27.939698492462306,27.236180904522605,False,-6.4599,11.7239,3,3,3,100.0,42.045158225397685,68.42105263157896,19.02370990237099,0.9762900976290136,历史3/3次成功; 当前距低点0.98%; 最新日涨幅-6.46%; 状态bottom_area; 底部未确认
4,90.91526874888844,79.26436245964015,300643,万通智控,bottom_area,2026-04-02,16.6,23.66,2026-03-23,16.2,2.469135802469149,7.839506172839504,31.53000845308538,29.83939137785291,True,-1.7751,1.6395,2,2,2,100.0,27.655871447687197,31.090289608177173,17.530864197530853,2.469135802469149,历史2/2次成功; 当前距低点2.47%; 最新日涨幅-1.78%; 状态bottom_area; 底部已确认
5,90.77518224229918,77.53040476210607,001391,国货航,bottom_area,2026-04-02,5.28,7.73,2026-03-23,5.21,1.3435700575815794,4.222648752399227,32.60025873221217,31.69469598965071,False,-0.7519,1.4543,1,1,1,100.0,30.39647577092513,30.39647577092513,18.65642994241842,1.3435700575815794,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
6,89.221456114127,77.95169548745264,000567,海德股份,bottom_area,2026-04-02,5.16,7.02,2026-03-23,5.03,2.5844930417495005,7.355864811133203,28.347578347578338,26.49572649572649,True,-1.3384,0.4048,1,1,1,100.0,38.67924528301886,38.67924528301886,17.4155069582505,2.5844930417495005,历史1/1次成功; 当前距低点2.58%; 最新日涨幅-1.34%; 状态bottom_area; 底部已确认
7,88.68874316939889,78.47459016393442,000932,华菱钢铁,bottom_area,2026-04-02,5.04,6.86,2026-03-24,4.88,3.2786885245901667,8.401639344262298,28.86297376093295,26.53061224489796,True,-1.3699,0.8174,1,1,1,100.0,55.72289156626506,55.72289156626506,16.721311475409834,3.2786885245901667,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-1.37%; 状态bottom_area; 底部已确认
8,87.909233115642,76.44281140490605,001328,登康口腔,bottom_area,2026-04-02,32.12,44.35,2026-03-31,31.39,2.325581395348827,5.256451099076134,29.222096956031567,27.576099210823006,False,-2.4005,2.1381,1,1,1,100.0,36.58675799086758,36.58675799086758,17.674418604651173,2.325581395348827,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
9,86.97086679090133,77.59482538965175,003040,楚天龙,bottom_area,2026-04-02,15.84,20.99,2026-03-23,15.27,3.732809430255405,7.2691552062868325,27.25107193901858,24.535493091948542,True,-1.8587,0.7473,2,2,2,100.0,34.17005855179603,34.697855750487335,16.267190569744596,3.732809430255405,历史2/2次成功; 当前距低点3.73%; 最新日涨幅-1.86%; 状态bottom_area; 底部已确认
10,86.96405924227741,75.08372328021765,600611,大众交通,bottom_area,2026-04-02,4.74,6.6,2026-03-23,4.65,1.9354838709677389,7.3118279569892435,29.545454545454536,28.181818181818173,False,-2.268,0.7576,1,1,1,100.0,24.497991967871478,24.497991967871478,18.064516129032263,1.9354838709677389,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
11,86.6218445904528,75.6055058609309,600843,上工申贝,bottom_area,2026-04-02,9.32,12.64,2026-03-23,9.09,2.5302530253025353,5.830583058305824,28.085443037974688,26.265822784810126,False,-1.6878,1.4627,1,1,1,100.0,34.59399332591768,34.59399332591768,17.469746974697465,2.5302530253025353,历史1/1次成功; 当前距低点2.53%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
12,86.46457392356218,76.31226646248085,688007,光峰科技,bottom_area,2026-04-02,13.47,19.18,2026-03-23,13.06,3.1393568147013795,7.963246554364464,31.9082377476538,29.77059436913451,True,-1.8222,0.9216,1,1,1,100.0,36.66666666666667,36.66666666666667,16.86064318529862,3.1393568147013795,历史1/1次成功; 当前距低点3.14%; 最新日涨幅-1.82%; 状态bottom_area; 底部已确认
13,86.01772711868402,72.57289865722775,002564,天沃科技,bottom_area,2026-04-02,5.97,8.27,2026-04-02,5.93,0.674536256323778,4.047217537942668,28.295042321644498,27.81136638452237,False,-3.0844,1.2819,2,2,2,100.0,28.92925441745143,29.903536977491967,19.325463743676224,0.674536256323778,历史2/2次成功; 当前距低点0.67%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
14,85.76360985350371,76.3097496058,300993,玉马科技,bottom_area,2026-04-02,12.14,16.22,2026-03-23,11.72,3.583617747440272,7.679180887372001,27.74352651048088,25.154130702835996,True,-2.1757,0.8237,1,1,1,100.0,42.09891435464416,42.09891435464416,16.416382252559732,3.583617747440272,历史1/1次成功; 当前距低点3.58%; 最新日涨幅-2.18%; 状态bottom_area; 底部已确认
15,85.31506239225412,74.99375670184548,000802,北京文化,bottom_area,2026-04-02,3.88,5.34,2026-03-24,3.77,2.917771883289121,8.222811671087534,29.40074906367041,27.340823970037455,True,-2.5126,1.2256,1,1,1,100.0,26.86170212765957,26.86170212765957,17.08222811671088,2.917771883289121,历史1/1次成功; 当前距低点2.92%; 最新日涨幅-2.51%; 状态bottom_area; 底部已确认
16,84.89124035400648,75.08610339197998,600592,龙溪股份,bottom_area,2026-04-02,19.65,28.09,2026-03-23,19.03,3.2580136626379264,7.672096689437716,32.25347098611605,30.046279814880744,True,-1.7991,1.1365,1,1,1,100.0,31.52889539136796,31.52889539136796,16.741986337362075,3.2580136626379264,历史1/1次成功; 当前距低点3.26%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
17,84.82810996629189,71.1772604433891,300059,东方财富,bottom_area,2026-04-02,18.75,25.71,2026-04-02,18.68,0.37473233404711076,2.3554603854389793,27.343446129910543,27.071178529754963,False,-2.2929,1.3476,1,1,1,100.0,24.202420242024196,24.202420242024196,19.62526766595289,0.37473233404711076,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
18,84.67248780485879,75.65409196700718,688377,迪威尔,bottom_area,2026-04-02,36.76,50.95,2026-03-27,35.41,3.812482349618756,8.726348489127375,30.500490677134458,27.850834151128566,True,-0.3794,1.4532,1,1,1,100.0,41.37931034482759,41.37931034482759,16.187517650381245,3.812482349618756,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
19,84.5255169462024,71.11926218734482,601628,中国人寿,bottom_area,2026-04-02,36.36,50.7,2026-04-02,36.17,0.5252972076306268,1.907658280342819,28.65877712031558,28.28402366863906,False,-1.7828,0.0863,1,1,1,100.0,25.736235595390532,25.736235595390532,19.474702792369374,0.5252972076306268,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
