rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.83556400392774,82.91357191253503,688288,鸿泉技术,bottom_area,2022-09-05,19.15,2022-09-05,18.96,1.002109704641338,5.432489451476781,30.600292825768665,False,-2.4949,0.7781,3,3,3,100.0,21.819258274824108,41.992882562277565,6.997890295358662,1.002109704641338,历史3/3次成功; 当前距低点1.00%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
2,84.89556749681661,80.87124341901402,605258,协和电子,bottom_area,2022-09-05,22.7,2022-09-01,22.37,1.4751899865891742,3.933839964237814,28.98412698412698,False,-1.689,1.7925,1,1,1,100.0,49.971379507727534,49.971379507727534,6.524810013410826,1.4751899865891742,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
3,83.63420377175957,78.94714139441764,300726,宏达电子,bottom_area,2022-09-05,45.37,2022-09-05,44.92,1.0017809439002576,2.760463045414058,28.242811501597444,False,-1.7114,1.5023,2,2,2,100.0,17.156999712420586,20.972375690607738,6.998219056099743,1.0017809439002576,历史2/2次成功; 当前距低点1.00%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
4,83.18776693708989,82.56644672997928,603185,弘元绿能,bottom_area,2022-09-05,139.48,2022-09-01,134.62,3.610161937304995,6.224929430990934,29.065233428179997,False,2.1308,1.5747,3,3,3,100.0,29.449548102336955,43.51028702057404,4.389838062695005,3.610161937304995,历史3/3次成功; 当前距低点3.61%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
5,82.17826065204773,77.82325047469368,002850,科达利,bottom_area,2022-09-05,110.75,2022-09-05,109.47,1.1692701196674897,2.7496117657805836,28.90635147421743,False,-0.4942,1.6052,2,2,2,100.0,13.167668535137384,13.44718098343773,6.830729880332511,1.1692701196674897,历史2/2次成功; 当前距低点1.17%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
6,81.7798858269519,77.49802759174037,300620,光库科技,confirmed_rebound,2022-09-05,37.82,2022-09-05,37.37,1.204174471501212,9.178485416109178,31.519149715961152,False,-5.6152,2.2203,3,3,3,100.0,15.610459068618967,22.444343480236245,6.7958255284987885,1.204174471501212,历史3/3次成功; 当前距低点1.20%; 最新日涨幅-5.62%; 状态confirmed_rebound; 底部未确认
7,81.56313206406999,77.93054302790567,002520,日发精机,bottom_area,2022-09-05,6.23,2022-09-01,6.13,1.6313213703099598,3.7520391517128946,29.62112514351321,False,-0.9539,2.1924,2,2,2,100.0,19.4083642592064,30.752212389380546,6.368678629690041,1.6313213703099598,历史2/2次成功; 当前距低点1.63%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
8,81.55537953148283,77.45865253567837,605319,无锡振华,bottom_area,2022-09-05,13.81,2022-08-29,13.63,1.3206162876008782,5.209097578870132,27.345415778251603,False,-0.4326,0.6479,2,2,2,100.0,13.062675652733196,17.248790972595383,6.6793837123991215,1.3206162876008782,历史2/2次成功; 当前距低点1.32%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
9,81.40401105983341,81.02631359802214,300340,科恒股份,bottom_area,2022-09-05,12.7,2022-09-02,12.24,3.758169934640515,4.656862745098041,27.999999999999996,False,2.5848,3.2093,3,3,3,100.0,22.983554026895213,42.54473161033797,4.241830065359485,3.758169934640515,历史3/3次成功; 当前距低点3.76%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
10,81.22271045696063,78.16920306813235,603055,台华新材,bottom_area,2022-09-05,10.67,2022-09-01,10.46,2.0076481835563964,4.684512428298264,31.767775603392035,False,0.0938,0.4231,1,1,1,100.0,19.498069498069512,19.498069498069512,5.992351816443604,2.0076481835563964,历史1/1次成功; 当前距低点2.01%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
11,80.76895146116074,76.61377646688256,688279,峰岹科技,bottom_area,2022-09-05,62.97,2022-09-05,62.19,1.254220935841777,3.6661842739990376,27.07551594746717,False,-2.2205,1.8592,1,1,1,100.0,24.37311935807422,24.37311935807422,6.745779064158223,1.254220935841777,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
