rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.63278184122092,75.91272297214876,603203,快克智能,bottom_area,2022-06-16,23.5,2022-06-16,23.26,1.0318142734307756,3.6973344797936347,30.129167918293774,False,-1.4675,0.5163,1,1,1,100.0,17.877739331026522,17.877739331026522,13.968185726569224,1.0318142734307756,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
2,84.37208632397757,77.02286641820652,002802,洪汇新材,bottom_area,2022-06-16,14.18,2022-06-08,13.82,2.6049204052098367,6.078147612156294,30.726817042606513,False,0.4961,0.7523,1,1,1,100.0,20.65637065637066,20.65637065637066,12.395079594790163,2.6049204052098367,历史1/1次成功; 当前距低点2.60%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
3,80.94618291889168,71.08933687002653,600960,渤海汽车,bottom_area,2022-06-16,3.79,2022-06-14,3.77,0.5305039787798413,7.161803713527852,32.072072072072075,True,-2.5707,4.0432,1,1,1,100.0,16.445623342175058,16.445623342175058,14.469496021220158,0.5305039787798413,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-2.57%; 状态bottom_area; 底部已确认
4,80.52762047215712,75.32379888268156,002663,普邦股份,bottom_area,2022-06-16,1.86,2022-06-14,1.79,3.9106145251396685,6.145251396648037,31.939163498098853,False,-0.5348,1.4653,1,1,1,100.0,66.45569620253163,66.45569620253163,11.08938547486033,3.9106145251396685,历史1/1次成功; 当前距低点3.91%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
5,67.1139650320224,58.47782238075088,002568,百润股份,bottom_area,2022-06-16,27.83,2022-06-16,27.8,0.10791366906473951,8.776978417266179,29.97481108312343,False,0.9797,2.4568,1,2,1,50.0,21.848739495798313,21.848739495798313,14.892086330935259,0.10791366906473951,历史1/2次成功; 当前距低点0.11%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
6,66.12499999999999,57.49999999999999,002339,积成电子,bottom_area,2022-06-16,5.55,2022-06-16,5.55,0.0,3.2432432432432545,30.100755667506302,False,-2.8021,8.6777,1,2,1,50.0,82.94930875576038,82.94930875576038,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
7,64.20068885167767,57.489545411204126,688298,东方生物,bottom_area,2022-06-16,133.15,2022-06-16,131.09,1.5714394690670548,5.26355938668091,31.865904365904367,False,2.3365,2.9322,1,4,1,25.0,15.470039788586028,15.470039788586028,13.428560530932945,1.5714394690670548,历史1/4次成功; 当前距低点1.57%; 最新日涨幅2.34%; 状态bottom_area; 底部未确认
