rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.75410209369957,85.87977429794068,688023,安恒信息,bottom_area,2025-03-27,52.8,2025-03-27,52.21,1.1300517142309832,3.639149588201491,27.365052865887584,False,-0.7146,2.059,4,4,4,100.0,22.668237668749086,39.261744966442954,6.869948285769017,1.1300517142309832,历史4/4次成功; 当前距低点1.13%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
2,87.96705417538625,81.75761505712369,300720,海川智能,bottom_area,2025-03-27,20.54,2025-03-27,20.5,0.19512195121950804,3.7560975609756078,30.508474576271187,False,-3.5681,3.5787,5,5,5,100.0,39.09942530055998,75.69193742478939,7.804878048780492,0.19512195121950804,历史5/5次成功; 当前距低点0.20%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
3,87.10184673578392,83.85517904041754,002279,久其软件,bottom_area,2025-03-27,6.55,2025-03-25,6.42,2.024922118380061,3.4267912772585634,27.04545454545455,False,0.0,2.6934,3,3,3,100.0,16.94624446410791,25.915492957746476,5.975077881619939,2.024922118380061,历史3/3次成功; 当前距低点2.02%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,86.46968072979092,82.94193217358684,301366,一博科技,bottom_area,2025-03-27,54.96,2025-03-27,53.97,1.8343524180100095,2.74226422086345,28.51655629139073,False,0.0,5.0094,2,2,2,100.0,26.366966057256242,36.479591836734706,6.16564758198999,1.8343524180100095,历史2/2次成功; 当前距低点1.83%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,83.8676839049081,77.65526287491491,002406,远东传动,bottom_area,2025-03-27,7.89,2025-03-27,7.89,0.0,7.351077313054512,27.481617647058833,False,-5.3957,21.3538,5,5,5,100.0,26.910015456531745,67.88321167883211,8.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-5.40%; 状态bottom_area; 底部未确认
6,83.7758082982421,80.4984324543504,600203,福日电子,bottom_area,2025-03-27,9.53,2025-03-27,9.35,1.9251336898395692,3.636363636363635,29.962546816479403,False,-0.1048,5.7389,3,3,3,100.0,20.149125092390385,24.045801526717554,6.074866310160431,1.9251336898395692,历史3/3次成功; 当前距低点1.93%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
7,83.34795056494234,77.44604412623991,300713,英可瑞,bottom_area,2025-03-27,16.45,2025-03-27,16.42,0.182704019488414,4.5676004872107185,29.527896995708147,False,-4.1934,9.5306,5,5,5,100.0,15.766716616524148,23.73271889400922,7.817295980511586,0.182704019488414,历史5/5次成功; 当前距低点0.18%; 最新日涨幅-4.19%; 状态bottom_area; 底部未确认
8,83.34130262068855,78.6957167603212,002599,盛通股份,bottom_area,2025-03-27,9.92,2025-03-25,9.82,1.0183299389002,4.582484725050909,27.313101406365654,False,-1.7822,4.2924,2,2,2,100.0,16.008113016202447,22.107969151670947,6.9816700610998,1.0183299389002,历史2/2次成功; 当前距低点1.02%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
9,83.21978787541963,81.5153754790397,000608,阳光股份,bottom_area,2025-03-27,1.76,2025-03-26,1.71,2.9239766081871372,7.0175438596491295,27.234042553191497,True,-1.676,4.2337,5,5,5,100.0,12.000226589819249,17.05426356589147,5.076023391812863,2.9239766081871372,历史5/5次成功; 当前距低点2.92%; 最新日涨幅-1.68%; 状态bottom_area; 底部已确认
10,83.05514504252947,77.06583533687548,002196,方正电机,bottom_area,2025-03-27,9.11,2025-03-27,9.1,0.10989010989010754,6.1538461538461595,29.94611239414935,False,-5.6936,15.7422,4,4,4,100.0,12.830025738843673,18.661971830985923,7.890109890109892,0.10989010989010754,历史4/4次成功; 当前距低点0.11%; 最新日涨幅-5.69%; 状态bottom_area; 底部未确认
11,82.7290470844776,78.03844711746002,002173,创新医疗,bottom_area,2025-03-27,9.41,2025-03-27,9.32,0.9656652360515007,3.0042918454935554,29.872084273890138,False,-1.6719,7.9135,5,5,5,100.0,18.334214277728204,27.109266943291825,7.034334763948499,0.9656652360515007,历史5/5次成功; 当前距低点0.97%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
12,82.36399195953352,76.53466074825619,002093,国脉科技,bottom_area,2025-03-27,10.85,2025-03-27,10.83,0.18467220683286772,7.109879963065555,31.801007556675064,False,-6.223,10.7856,3,3,3,100.0,27.557598816317896,52.409638554216855,7.815327793167133,0.18467220683286772,历史3/3次成功; 当前距低点0.18%; 最新日涨幅-6.22%; 状态bottom_area; 底部未确认
13,81.96088130276976,79.3492294972691,600126,杭钢股份,confirmed_rebound,2025-03-27,10.16,2025-03-26,9.93,2.316213494461233,8.559919436052363,32.44897959183673,True,-3.3302,5.3138,3,3,3,100.0,30.00105518624036,55.84045584045584,5.683786505538767,2.316213494461233,历史3/3次成功; 当前距低点2.32%; 最新日涨幅-3.33%; 状态confirmed_rebound; 底部已确认
14,81.60956209646355,76.97025882482995,605303,园林股份,bottom_area,2025-03-27,9.49,2025-03-27,9.4,0.9574468085106367,2.765957446808508,31.18594436310395,False,-1.7598,2.8337,5,5,5,100.0,12.490524452872036,23.681489141675293,7.042553191489363,0.9574468085106367,历史5/5次成功; 当前距低点0.96%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
15,81.30456739656738,78.74324854286537,002725,跃岭股份,bottom_area,2025-03-27,11.83,2025-03-24,11.56,2.3356401384083005,7.698961937716252,27.795128044971896,False,-1.2521,2.4441,3,3,3,100.0,15.744666980840336,18.562874251497018,5.6643598615917,2.3356401384083005,历史3/3次成功; 当前距低点2.34%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
16,80.4061314969982,75.12943502746366,002164,宁波东力,bottom_area,2025-03-27,8.52,2025-03-27,8.48,0.4716981132075371,7.665094339622645,31.2803889789303,False,-4.5913,14.8962,3,3,3,100.0,23.5210039009507,45.468509984639034,7.5283018867924625,0.4716981132075371,历史3/3次成功; 当前距低点0.47%; 最新日涨幅-4.59%; 状态bottom_area; 底部未确认
17,80.06726593337186,75.23236308346905,603028,赛福天,bottom_area,2025-03-27,6.61,2025-03-27,6.56,0.7621951219512304,7.317073170731714,28.22757111597375,False,-9.2033,16.8929,3,3,3,100.0,27.635311621063757,43.67816091954023,7.23780487804877,0.7621951219512304,历史3/3次成功; 当前距低点0.76%; 最新日涨幅-9.20%; 状态bottom_area; 底部未确认
18,79.19442604253238,74.79304546852048,002927,泰永长征,bottom_area,2025-03-27,14.75,2025-03-25,14.6,1.0273972602739752,5.136986301369864,30.740037950664135,False,-1.2056,5.6139,1,1,1,100.0,11.803823773898586,11.803823773898586,6.972602739726025,1.0273972602739752,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
19,79.1864711655421,73.61568675054264,300895,铜牛信息,bottom_area,2025-03-27,48.08,2025-03-27,47.98,0.20842017507295002,6.711129637348908,27.303030303030308,False,-1.9376,8.1994,1,1,1,100.0,35.27357392316647,35.27357392316647,7.79157982492705,0.20842017507295002,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
20,78.85899335962934,73.5537677776078,603315,福鞍股份,bottom_area,2025-03-27,13.21,2025-03-27,13.16,0.3799392097264492,5.015197568389058,32.05988642230253,False,-5.3725,8.0383,2,2,2,100.0,30.59155470851666,41.68490153172865,7.620060790273551,0.3799392097264492,历史2/2次成功; 当前距低点0.38%; 最新日涨幅-5.37%; 状态bottom_area; 底部未确认
21,78.189616656939,72.89634776788465,300605,恒锋信息,bottom_area,2025-03-27,14.08,2025-03-25,14.03,0.3563791874554577,3.991446899501073,29.990019960079838,False,-2.8966,5.1944,2,2,2,100.0,16.553184490769308,18.429752066115707,7.643620812544542,0.3563791874554577,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
22,77.6583629932496,74.72785872935339,301389,隆扬电子,confirmed_rebound,2025-03-27,22.44,2025-03-25,22.0,2.0000000000000058,9.272727272727268,28.571428571428577,False,-0.9709,5.2055,2,2,2,100.0,16.92397166319034,18.998628257887525,5.999999999999995,2.0000000000000058,历史2/2次成功; 当前距低点2.00%; 最新日涨幅-0.97%; 状态confirmed_rebound; 底部未确认
23,77.20630890262655,78.16445382042528,688031,星环科技,bottom_area,2025-03-27,52.08,2025-03-27,49.77,4.641350210970454,7.253365481213581,28.16108545034642,False,2.439,5.3857,3,3,3,100.0,18.42329194321459,22.70402945387605,3.3586497890295464,4.641350210970454,历史3/3次成功; 当前距低点4.64%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
24,75.91414178989164,70.91355096216455,002580,圣阳股份,bottom_area,2025-03-27,13.16,2025-03-27,13.1,0.45801526717557633,5.26717557251908,29.150892374256347,False,-3.2353,9.0201,2,2,2,100.0,17.353901996370237,24.0,7.541984732824424,0.45801526717557633,历史2/2次成功; 当前距低点0.46%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
25,75.67173369803442,72.50102232182655,002387,维信诺,bottom_area,2025-03-27,9.75,2025-03-26,9.58,1.7745302713987468,3.757828810020871,27.53403933434191,False,-1.2158,1.3092,1,1,1,100.0,8.639523336643487,8.639523336643487,6.2254697286012535,1.7745302713987468,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
26,74.34900069026027,75.32528369683375,000736,中交地产,bottom_area,2025-03-27,5.37,2025-03-25,5.13,4.678362573099419,7.992202729044837,29.822161422708614,True,-1.6484,2.522,3,3,3,100.0,16.892206255378625,19.029126213592225,3.321637426900581,4.678362573099419,历史3/3次成功; 当前距低点4.68%; 最新日涨幅-1.65%; 状态bottom_area; 底部已确认
27,72.4445215249293,67.74794859575881,002633,申科股份,bottom_area,2025-03-27,11.69,2025-03-27,11.63,0.5159071367153801,6.96474634565777,31.708749266001174,False,-6.6294,10.3285,1,1,1,100.0,17.71084337349396,17.71084337349396,7.484092863284619,0.5159071367153801,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-6.63%; 状态bottom_area; 底部未确认
28,72.05652075816961,69.03413094562485,000409,云鼎科技,bottom_area,2025-03-27,12.06,2025-03-26,11.85,1.7721518987341847,3.966244725738402,29.464285714285722,False,-0.7407,11.7801,2,3,2,66.66666666666666,28.86005703264586,46.53130287648054,6.227848101265816,1.7721518987341847,历史2/3次成功; 当前距低点1.77%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
29,70.83400899339728,70.21462522713509,300509,新美星,bottom_area,2025-03-27,7.89,2025-03-25,7.62,3.543307086614168,6.167979002624668,29.769585253456217,False,-1.2516,2.583,1,1,1,100.0,18.028846153846153,18.028846153846153,4.456692913385832,3.543307086614168,历史1/1次成功; 当前距低点3.54%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
30,70.21394350977484,71.26706187635537,002757,南兴股份,confirmed_rebound,2025-03-27,20.41,2025-03-25,19.48,4.7741273100616,12.217659137576998,29.369108049311087,True,-5.4217,10.8937,2,2,2,100.0,33.3444738886872,50.75376884422111,3.2258726899384,4.7741273100616,历史2/2次成功; 当前距低点4.77%; 最新日涨幅-5.42%; 状态confirmed_rebound; 底部已确认
31,69.969893608903,64.78693852676204,002123,梦网科技,bottom_area,2025-03-27,14.81,2025-03-27,14.81,0.0,2.2957461174881826,27.650219833903268,False,-2.0503,4.3294,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,8.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
32,69.78181768090764,70.74539487926316,600696,退市岩石,confirmed_rebound,2025-03-27,10.22,2025-03-26,9.76,4.7131147540983696,18.64754098360656,29.58152958152958,True,-10.0352,7.4245,1,1,1,100.0,46.45858343337334,46.45858343337334,3.286885245901631,4.7131147540983696,历史1/1次成功; 当前距低点4.71%; 最新日涨幅-10.04%; 状态confirmed_rebound; 底部已确认
33,66.08269718238131,64.84475191848298,300753,爱朋医疗,bottom_area,2025-03-27,22.88,2025-03-27,22.21,3.0166591625393884,5.763169743358836,28.285437520180817,False,-2.1386,13.8197,2,3,2,66.66666666666666,21.59176420648454,28.044496487119456,4.983340837460612,3.0166591625393884,历史2/3次成功; 当前距低点3.02%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
34,54.50595787688043,50.88911758820781,000779,甘咨询,bottom_area,2025-03-27,9.32,2025-03-27,9.28,0.43103448275863065,4.202586206896558,29.375951293759524,False,-4.2138,7.0563,1,2,1,50.0,17.69825918762089,17.69825918762089,7.568965517241369,0.43103448275863065,历史1/2次成功; 当前距低点0.43%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
