rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.04709114169641,81.96594436435838,000561,烽火电子,bottom_area,2025-09-09,11.05,2025-09-04,10.85,1.8433179723502402,6.267281105990781,32.60869565217392,False,-3.0702,3.2015,4,4,4,100.0,20.584458824284518,31.050955414012744,8.15668202764976,1.8433179723502402,历史4/4次成功; 当前距低点1.84%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
2,86.38943098324279,81.28083334139056,002826,易明医药,bottom_area,2025-09-09,19.22,2025-09-03,18.88,1.800847457627118,7.415254237288147,29.631010063361906,True,-2.387,3.7997,2,2,2,100.0,30.305191100969765,50.0,8.199152542372882,1.800847457627118,历史2/2次成功; 当前距低点1.80%; 最新日涨幅-2.39%; 状态bottom_area; 底部已确认
3,85.90400706450467,78.09455187682242,302132,中航成飞,bottom_area,2025-09-09,79.5,2025-09-09,79.5,0.0,3.3459119496855303,27.595628415300546,False,-2.1538,2.815,4,4,4,100.0,19.056730520550555,28.81165919282512,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
4,85.4017120194533,81.81414010060331,300665,飞鹿股份,bottom_area,2025-09-09,9.35,2025-09-03,9.1,2.7472527472527473,5.4945054945054945,29.18287937743191,False,-2.5026,5.9568,5,5,5,100.0,20.633743894298735,23.50486787204451,7.252747252747254,2.7472527472527473,历史5/5次成功; 当前距低点2.75%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
5,81.90745883578235,78.35035281785187,002148,北纬科技,bottom_area,2025-09-09,10.0,2025-09-05,9.74,2.6694045174537964,6.468172484599578,32.31410701876303,False,-1.9608,6.1046,3,3,3,100.0,17.72362966476626,19.756097560975626,7.330595482546204,2.6694045174537964,历史3/3次成功; 当前距低点2.67%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
6,81.42880017292966,75.14645950676889,688448,磁谷科技,bottom_area,2025-09-09,43.54,2025-09-09,43.2,0.7870370370370284,8.611111111111109,32.35202004384591,False,-6.4662,6.9822,2,2,2,100.0,44.14464489899632,63.23529411764706,9.212962962962973,0.7870370370370284,历史2/2次成功; 当前距低点0.79%; 最新日涨幅-6.47%; 状态bottom_area; 底部未确认
7,81.39431884322761,79.95478582298729,300510,金冠股份,bottom_area,2025-09-09,4.61,2025-09-03,4.43,4.063205417607238,6.997742663656896,30.01579778830964,False,-0.8602,7.4772,4,4,4,100.0,26.76824825339677,40.000000000000014,5.936794582392762,4.063205417607238,历史4/4次成功; 当前距低点4.06%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
8,81.19379626164633,77.14243117135229,002212,天融信,bottom_area,2025-09-09,9.73,2025-09-04,9.51,2.313354363827557,8.201892744479489,30.17621145374449,True,-4.1379,7.5561,2,2,2,100.0,24.553113553113555,30.95238095238096,7.686645636172444,2.313354363827557,历史2/2次成功; 当前距低点2.31%; 最新日涨幅-4.14%; 状态bottom_area; 底部已确认
9,80.82996372217792,78.96117343017146,603221,爱丽家居,bottom_area,2025-09-09,12.38,2025-09-02,11.93,3.772003352891878,5.616093880972338,32.2159090909091,False,-1.3546,1.9964,4,4,4,100.0,17.856672444972688,20.699708454810505,6.227996647108122,3.772003352891878,历史4/4次成功; 当前距低点3.77%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
10,80.3860665481974,75.80524290298763,002272,川润股份,bottom_area,2025-09-09,15.39,2025-09-04,15.1,1.9205298013245096,7.218543046357627,29.34019653720169,False,-2.7181,11.9353,4,5,4,80.0,21.527155107567317,48.337595907928375,8.07947019867549,1.9205298013245096,历史4/5次成功; 当前距低点1.92%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
11,79.90289105298294,73.81205258282861,002041,登海种业,bottom_area,2025-09-09,9.61,2025-06-23,9.53,0.8394543546694656,7.345225603357829,29.719764011799416,True,-0.7231,0.8499,2,2,2,100.0,18.2043468358871,21.395106715252467,9.160545645330535,0.8394543546694656,历史2/2次成功; 当前距低点0.84%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
