rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.29340170323812,85.17287607681902,002545,东方铁塔,bottom_area,2024-07-30,5.92,2024-07-25,5.83,1.5437392795883338,2.2298456260720396,29.247572815533985,False,0.6803,0.4155,3,3,3,100.0,18.132266850969987,28.468653648509758,6.456260720411667,1.5437392795883338,历史3/3次成功; 当前距低点1.54%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
2,88.64210995466843,86.11717195856355,601666,平煤股份,bottom_area,2024-07-30,9.85,2024-07-25,9.61,2.4973985431841856,5.411030176899078,29.597069597069602,False,1.0256,1.2037,4,4,4,100.0,18.23247654313697,27.30923694779115,5.502601456815814,2.4973985431841856,历史4/4次成功; 当前距低点2.50%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
3,87.75278965235577,83.37819368980983,001203,大中矿业,bottom_area,2024-07-30,8.31,2024-07-30,8.2,1.3414634146341613,1.3414634146341613,29.492691315563206,False,0.3623,0.2825,2,2,2,100.0,22.670592877288865,29.46341463414634,6.658536585365839,1.3414634146341613,历史2/2次成功; 当前距低点1.34%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
4,86.42880618444379,84.21080107238619,001309,德明利,bottom_area,2024-07-30,74.81,2024-07-30,72.88,2.648188803512633,3.3342480790340385,28.74462260461479,False,-1.0188,5.1876,5,5,5,100.0,32.304685722553685,64.1432791728213,5.351811196487367,2.648188803512633,历史5/5次成功; 当前距低点2.65%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
5,86.18765519409232,81.88157308694623,603367,辰欣药业,bottom_area,2024-07-30,12.9,2024-07-30,12.73,1.3354281225451683,1.7282010997643273,27.048710601719193,False,0.7026,0.4393,1,1,1,100.0,31.216931216931226,31.216931216931226,6.664571877454832,1.3354281225451683,历史1/1次成功; 当前距低点1.34%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
6,84.12410540715783,81.89216031027794,002043,兔宝宝,bottom_area,2024-07-30,9.07,2024-07-30,8.84,2.601809954751136,2.828054298642534,32.0,False,0.7778,0.8308,3,3,3,100.0,13.463908640379232,15.96638655462185,5.398190045248865,2.601809954751136,历史3/3次成功; 当前距低点2.60%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
7,83.77770244309609,82.94735666449881,000065,北方国际,bottom_area,2024-07-30,9.51,2024-07-25,9.19,3.4820457018498403,4.2437431991294945,30.641509433962266,False,0.9554,0.662,3,3,3,100.0,29.926993896325044,41.48061104582843,4.51795429815016,3.4820457018498403,历史3/3次成功; 当前距低点3.48%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
8,83.73876988381889,78.35856008874889,603368,柳药集团,bottom_area,2024-07-30,16.51,2024-07-30,16.42,0.5481120584652853,1.2789281364189846,31.867219917012445,False,-0.7216,1.0422,3,3,3,100.0,31.603524634675978,42.85714285714285,7.451887941534715,0.5481120584652853,历史3/3次成功; 当前距低点0.55%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
9,82.95458465366134,81.45816793893133,002687,乔治白,bottom_area,2024-07-30,4.05,2024-07-25,3.93,3.053435114503808,3.307888040712454,32.82051282051282,False,1.25,0.5553,1,1,1,100.0,64.00000000000001,64.00000000000001,4.946564885496192,3.053435114503808,历史1/1次成功; 当前距低点3.05%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
10,82.03304207186898,79.65438228142638,601163,三角轮胎,bottom_area,2024-07-30,14.52,2024-07-25,14.17,2.4700070571630177,3.5991531404375428,27.18396711202467,False,0.8333,0.6305,2,2,2,100.0,16.48386221375298,20.655412115193645,5.529992942836983,2.4700070571630177,历史2/2次成功; 当前距低点2.47%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
11,81.70253645844593,78.45898945510856,688169,石头科技,bottom_area,2024-07-30,292.69,2024-07-30,287.25,1.8938207136640548,5.134899912967798,32.082564902823094,False,-3.6189,1.3574,3,3,3,100.0,19.015595065928025,29.71190476190475,6.106179286335946,1.8938207136640548,历史3/3次成功; 当前距低点1.89%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
12,81.15900985712315,81.21502021589272,601886,江河集团,bottom_area,2024-07-30,4.64,2024-07-25,4.46,4.035874439461877,4.48430493273543,29.54186413902054,False,1.5317,0.5469,3,3,3,100.0,27.40222547239673,33.5540838852097,3.964125560538123,4.035874439461877,历史3/3次成功; 当前距低点4.04%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
13,80.39407444393457,80.11277691171789,000811,冰轮环境,bottom_area,2024-07-30,8.43,2024-07-24,8.12,3.8177339901477896,7.142857142857144,31.64983164983166,True,-0.8235,0.925,3,3,3,100.0,32.0817763938432,47.451868629671566,4.182266009852211,3.8177339901477896,历史3/3次成功; 当前距低点3.82%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
14,79.77582397384448,81.29242575069539,002603,以岭药业,confirmed_rebound,2024-07-30,15.18,2024-07-09,14.46,4.979253112033187,10.995850622406637,27.988047808764932,True,0.3968,0.3283,4,4,4,100.0,23.737219602855067,39.661898569570866,3.020746887966813,4.979253112033187,历史4/4次成功; 当前距低点4.98%; 最新日涨幅0.40%; 状态confirmed_rebound; 底部已确认
15,79.41723910342651,79.20000480453406,002044,美年健康,bottom_area,2024-07-30,3.5,2024-07-25,3.37,3.8575667655786314,4.451038575667654,31.083844580777086,False,0.8646,0.489,3,3,3,100.0,14.383102312114746,18.108108108108105,4.142433234421369,3.8575667655786314,历史3/3次成功; 当前距低点3.86%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
16,79.3713627890043,80.03009425070687,002552,宝鼎科技,bottom_area,2024-07-30,11.08,2024-07-25,10.61,4.429783223374181,7.16305372290292,30.197368421052634,True,0.2715,0.7066,1,1,1,100.0,52.23596574690771,52.23596574690771,3.570216776625819,4.429783223374181,历史1/1次成功; 当前距低点4.43%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
17,78.9189450483272,78.46648609422195,001218,丽臣实业,bottom_area,2024-07-30,14.29,2024-07-25,13.78,3.7010159651669072,4.2089985486211905,30.404040404040412,False,0.2104,0.5648,2,2,2,100.0,25.18711018711019,29.999999999999993,4.298984034833093,3.7010159651669072,历史2/2次成功; 当前距低点3.70%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
18,78.91380384016527,78.73280887722909,300349,金卡智能,bottom_area,2024-07-30,10.44,2024-07-25,10.05,3.8805970149253612,4.4776119402985,32.59557344064386,False,0.578,0.6523,1,1,1,100.0,45.48693586698337,45.48693586698337,4.119402985074639,3.8805970149253612,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
19,78.58969915769532,73.96022247081896,300638,广和通,bottom_area,2024-07-30,11.95,2024-07-30,11.85,0.8438818565400814,2.7004219409282726,32.09169054441261,False,-1.4026,8.4657,2,2,2,100.0,28.248780127582467,46.64371772805508,7.156118143459919,0.8438818565400814,历史2/2次成功; 当前距低点0.84%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
20,78.58658101175124,77.6971855755806,603209,兴通股份,bottom_area,2024-07-30,12.44,2024-07-25,12.03,3.408146300914382,5.569409808811305,28.093245666467432,False,-1.1129,0.5976,3,3,3,100.0,23.267522267018258,26.115859449192786,4.591853699085617,3.408146300914382,历史3/3次成功; 当前距低点3.41%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
21,78.55306051309752,79.4392352489423,002246,北化股份,bottom_area,2024-07-30,7.53,2024-07-25,7.2,4.583333333333335,6.111111111111104,31.882686849574267,False,1.4825,2.0856,3,3,3,100.0,24.565780908291877,31.992687385740403,3.416666666666665,4.583333333333335,历史3/3次成功; 当前距低点4.58%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
22,78.3621106337308,74.12852551751715,002293,罗莱生活,bottom_area,2024-07-30,7.27,2024-07-30,7.19,1.1126564673157047,1.3908205841446404,29.78515625,False,-0.2743,0.1574,1,1,1,100.0,9.27624872579001,9.27624872579001,6.887343532684295,1.1126564673157047,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
