code,name,latest_date,latest_close,current_stage,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,historical_valid_event_count
002855,捷荣技术,2023-02-28,10.25,bottom_area,2023-02-27,10.1,1.4851485148514887,2.0792079207920877,31.710615280594993,False,1
603318,水发燃气,2023-02-28,8.88,bottom_area,2022-12-30,8.53,4.103165298944917,9.613130128956628,30.819140308191407,True,1
000419,通程控股,2023-02-28,6.22,bottom_area,2023-02-16,5.97,4.1876046901172534,7.035175879396983,30.093676814988285,True,1
