rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.57146666820165,80.92463060180506,000426,兴业银锡,bottom_area,2021-10-13,7.74,2021-09-29,7.61,1.708278580814716,4.862023653088043,30.628988149498632,False,0.5195,0.9396,1,1,1,100.0,30.64250411861613,30.64250411861613,6.291721419185284,1.708278580814716,历史1/1次成功; 当前距低点1.71%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
2,81.37942106175939,79.54044981677247,603113,金能科技,bottom_area,2021-10-13,16.09,2021-10-13,15.65,2.811501597444086,3.450479233226843,29.977628635346758,False,1.195,1.3237,2,2,2,100.0,20.057384187876238,20.395634379263292,5.188498402555914,2.811501597444086,历史2/2次成功; 当前距低点2.81%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
3,80.83141969480145,79.12329636968698,002833,弘亚数控,bottom_area,2021-10-13,30.98,2021-10-13,30.11,2.8894055131185685,4.350714048488881,30.86107921928817,False,0.5191,1.8047,1,1,1,100.0,35.43624161073825,35.43624161073825,5.110594486881431,2.8894055131185685,历史1/1次成功; 当前距低点2.89%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
4,79.91830670115594,77.361462734447,300516,久之洋,bottom_area,2021-10-13,29.24,2021-09-30,28.58,2.3093072078376493,6.0531840447865655,27.590575120344567,False,1.2115,0.3796,1,1,1,100.0,18.853135313531354,18.853135313531354,5.690692792162351,2.3093072078376493,历史1/1次成功; 当前距低点2.31%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
5,79.42144796622533,78.24773198642889,000612,焦作万方,bottom_area,2021-10-13,8.0,2021-10-13,7.75,3.225806451612903,4.12903225806452,29.41712204007286,False,0.6289,2.2235,2,2,2,100.0,18.185863957560837,20.790629575402633,4.774193548387097,3.225806451612903,历史2/2次成功; 当前距低点3.23%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
6,79.30443847003157,76.28035705532412,300697,电工合金,bottom_area,2021-10-13,12.37,2021-09-29,12.13,1.9785655399834992,6.9249793899422905,30.96186681844052,False,0.4058,1.2299,1,1,1,100.0,8.986486486486475,8.986486486486475,6.0214344600165015,1.9785655399834992,历史1/1次成功; 当前距低点1.98%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
7,78.86638905210765,77.93469799370155,688355,明志科技,bottom_area,2021-10-13,24.76,2021-10-12,23.95,3.382045929018799,4.759916492693113,31.23743898937697,False,2.1874,1.9097,1,1,1,100.0,35.08474576271185,35.08474576271185,4.6179540709812015,3.382045929018799,历史1/1次成功; 当前距低点3.38%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
8,78.57115144370302,77.01967595680338,300437,清水源,bottom_area,2021-10-13,16.68,2021-10-13,16.2,2.962962962962966,5.432098765432094,29.195804195804197,False,-3.5281,15.0553,3,3,3,100.0,24.382965120209345,30.330330330330323,5.0370370370370345,2.962962962962966,历史3/3次成功; 当前距低点2.96%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
9,77.64465310953064,75.73143783783787,000789,万年青,bottom_area,2021-10-13,12.54,2021-10-13,12.21,2.7027027027026884,6.388206388206383,27.79420461265523,False,-3.3153,3.1778,1,1,1,100.0,47.599999999999994,47.599999999999994,5.297297297297312,2.7027027027026884,历史1/1次成功; 当前距低点2.70%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
10,76.02014175263263,73.4396732342829,600409,三友化工,bottom_area,2021-10-13,10.2,2021-10-13,9.98,2.2044088176352594,6.012024048096189,30.01402524544179,False,-2.7645,3.4887,1,1,1,100.0,18.95551257253386,18.95551257253386,5.795591182364741,2.2044088176352594,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
11,74.34507414741357,74.7720952835658,300447,全信股份,confirmed_rebound,2021-10-13,17.23,2021-09-29,16.52,4.297820823244558,9.564164648910422,28.17391304347826,True,1.592,1.7685,1,1,1,100.0,30.328638497652584,30.328638497652584,3.702179176755443,4.297820823244558,历史1/1次成功; 当前距低点4.30%; 最新日涨幅1.59%; 状态confirmed_rebound; 底部已确认
12,74.30516010047597,71.94626612903228,603225,新凤鸣,bottom_area,2021-10-13,15.86,2021-10-13,15.5,2.3225806451612865,3.3548387096774164,32.900432900432904,False,-0.875,0.5857,1,1,1,100.0,12.375000000000004,12.375000000000004,5.677419354838714,2.3225806451612865,历史1/1次成功; 当前距低点2.32%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
13,73.96394375718391,73.18332165948277,601778,晶科科技,bottom_area,2021-10-13,7.5,2021-10-13,7.25,3.4482758620689653,4.689655172413791,29.47470817120622,False,0.5362,3.1623,1,1,1,100.0,10.351562500000004,10.351562500000004,4.551724137931035,3.4482758620689653,历史1/1次成功; 当前距低点3.45%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
14,72.82595478126271,73.52958719460825,001212,中旗新材,bottom_area,2021-10-13,31.35,2021-10-12,30.0,4.500000000000004,6.733333333333344,32.65993265993266,False,0.9012,2.9646,1,1,1,100.0,25.105307497893843,25.105307497893843,3.4999999999999956,4.500000000000004,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
15,71.82186861707646,72.46872185911401,605365,立达信,bottom_area,2021-10-13,19.18,2021-09-28,18.36,4.466230936819174,7.6797385620915035,29.68211413251628,True,1.0537,2.0239,1,1,1,100.0,9.794238683127569,9.794238683127569,3.5337690631808263,4.466230936819174,历史1/1次成功; 当前距低点4.47%; 最新日涨幅1.05%; 状态bottom_area; 底部已确认
16,67.95602681042622,66.68430987067042,000968,蓝焰控股,confirmed_rebound,2021-10-13,9.9,2021-10-13,9.61,3.0176899063475644,9.573361082206034,28.337061894108878,False,-5.7143,4.124,1,1,1,100.0,13.035714285714295,13.035714285714295,4.982310093652435,3.0176899063475644,历史1/1次成功; 当前距低点3.02%; 最新日涨幅-5.71%; 状态confirmed_rebound; 底部未确认
