rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.51276543308089,84.62931966198721,300351,永贵电器,bottom_area,2023-12-19,19.09,2023-12-19,18.9,1.005291005291012,2.010582010582024,30.258302583025838,False,0.21,5.8145,2,2,2,100.0,25.27625351640169,33.447979363714516,13.994708994708988,1.005291005291012,历史2/2次成功; 当前距低点1.01%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,92.71854780975241,82.87936404868202,301499,维科精密,bottom_area,2023-12-19,30.24,2023-12-19,29.8,1.4765100671140863,1.8120805369127488,28.537170263788976,False,0.1325,4.6729,2,2,2,100.0,21.64412366506522,21.950454687989964,13.523489932885912,1.4765100671140863,历史2/2次成功; 当前距低点1.48%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,90.65986179244258,80.84041855574812,601628,中国人寿,bottom_area,2023-12-19,27.88,2023-12-18,27.51,1.3449654671028624,1.7084696474009409,28.2472613458529,False,0.2878,0.0415,1,1,1,100.0,25.736235595390532,25.736235595390532,13.655034532897137,1.3449654671028624,历史1/1次成功; 当前距低点1.34%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
4,89.04473678182471,78.89685318029652,002137,实益达,bottom_area,2023-12-19,7.04,2023-12-19,6.97,1.0043041606886698,1.5781922525107652,28.144329896907216,False,0.1422,3.0558,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,13.995695839311328,1.0043041606886698,历史2/3次成功; 当前距低点1.00%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
5,87.64877762182678,78.59482357509182,002369,卓翼科技,bottom_area,2023-12-19,5.56,2023-12-19,5.47,1.6453382084095038,2.0109689213894026,29.781771501925547,False,0.5425,2.7522,1,1,1,100.0,17.345132743362825,17.345132743362825,13.354661791590495,1.6453382084095038,历史1/1次成功; 当前距低点1.65%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
6,85.98436949412212,77.62227562861462,300683,海特生物,bottom_area,2023-12-19,36.62,2023-12-11,35.9,2.0055710306406653,6.211699164345416,30.48024786986832,False,0.1093,0.597,1,1,1,100.0,16.532137518684582,16.532137518684582,12.994428969359333,2.0055710306406653,历史1/1次成功; 当前距低点2.01%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
7,82.11672275905805,74.0595150862069,605188,国光连锁,bottom_area,2023-12-19,8.87,2023-12-08,8.7,1.9540229885057463,5.40229885057472,27.680798004987533,False,-0.3371,0.6347,1,1,1,100.0,19.218749999999993,19.218749999999993,13.045977011494253,1.9540229885057463,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
8,80.80069741508473,72.1525109402384,002456,欧菲光,bottom_area,2023-12-19,8.56,2023-12-19,8.44,1.4218009478673106,1.658767772511855,27.115716753022458,False,0.7059,3.1496,2,3,2,66.66666666666666,18.85779803607102,19.191919191919197,13.578199052132689,1.4218009478673106,历史2/3次成功; 当前距低点1.42%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
9,80.7070452075685,71.11492421423242,002142,宁波银行,bottom_area,2023-12-19,19.91,2023-12-19,19.77,0.7081436519979796,2.0738492665655044,32.01513067400275,False,-1.142,0.4677,1,1,1,100.0,27.95425667090217,27.95425667090217,14.29185634800202,0.7081436519979796,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
10,71.57485590022918,63.049138994904474,000301,东方盛虹,bottom_area,2023-12-19,8.73,2023-12-18,8.67,0.6920415224913552,1.7301038062283776,29.683698296836987,False,-0.2286,0.2158,3,5,3,60.0,21.059105732176175,28.337639965546952,14.307958477508645,0.6920415224913552,历史3/5次成功; 当前距低点0.69%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
11,71.2933977872582,63.534889549761395,600328,中盐化工,bottom_area,2023-12-19,7.71,2023-10-26,7.61,1.3140604467805472,8.147174770039422,28.207547169811313,True,-0.2587,0.3718,1,2,1,50.0,37.26315789473683,37.26315789473683,13.685939553219454,1.3140604467805472,历史1/2次成功; 当前距低点1.31%; 最新日涨幅-0.26%; 状态bottom_area; 底部已确认
12,70.14158971269683,62.34425470905225,002459,晶澳科技,bottom_area,2023-12-19,18.11,2023-12-18,17.9,1.1731843575419043,3.3519553072625783,28.22774659182038,False,1.0603,1.3168,1,2,1,50.0,15.855457227138645,15.855457227138645,13.826815642458095,1.1731843575419043,历史1/2次成功; 当前距低点1.17%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
13,66.31056017745108,61.2097478561087,002309,中利集团,bottom_area,2023-12-19,2.58,2023-12-19,2.5,3.200000000000003,5.199999999999996,31.129476584022036,False,-1.9011,2.5738,2,4,2,50.0,23.740579871552146,30.136986301369873,11.799999999999997,3.200000000000003,历史2/4次成功; 当前距低点3.20%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
14,65.917659717462,58.749095524753706,300347,泰格医药,bottom_area,2023-12-19,53.02,2023-12-19,52.33,1.3185553219950408,2.0256067265430966,28.501161360841643,False,-0.1319,1.1758,1,2,1,50.0,20.78172934893761,20.78172934893761,13.681444678004958,1.3185553219950408,历史1/2次成功; 当前距低点1.32%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
15,65.66220893749912,58.38832548403976,000710,贝瑞基因,bottom_area,2023-12-19,11.84,2023-12-19,11.7,1.1965811965812014,3.162393162393171,28.61500915192191,False,-1.6611,5.7005,1,2,1,50.0,17.3469387755102,17.3469387755102,13.803418803418799,1.1965811965812014,历史1/2次成功; 当前距低点1.20%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
16,58.118865767685406,51.419750213093664,002812,恩捷股份,bottom_area,2023-12-19,51.25,2023-12-19,50.78,0.9255612445844799,2.2449783379283192,29.501596556990144,False,-0.3112,1.4738,1,2,1,50.0,16.39800995024876,16.39800995024876,14.07443875541552,0.9255612445844799,历史1/2次成功; 当前距低点0.93%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
