rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.00408823269173,86.5782868204724,002728,特一药业,bottom_area,2025-12-22,11.17,2025-12-19,10.91,2.383134738771767,2.9330889092575645,27.508305647840537,False,0.6306,6.5087,4,4,4,100.0,19.310935617591518,39.3073593073593,7.616865261228234,2.383134738771767,历史4/4次成功; 当前距低点2.38%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
2,89.79573232183101,84.34169267732777,603322,超讯通信,bottom_area,2025-12-22,39.82,2025-12-19,39.15,1.7113665389527504,4.674329501915705,29.217139757729164,False,-1.9695,6.0918,7,7,7,100.0,21.524776269570104,39.45833333333333,8.28863346104725,1.7113665389527504,历史7/7次成功; 当前距低点1.71%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
3,86.75092253560219,82.59511170982397,600048,保利发展,bottom_area,2025-12-22,6.34,2025-12-17,6.19,2.423263327948295,2.9079159935379595,27.60233918128655,False,0.158,0.891,2,2,2,100.0,31.721247836269217,31.987577639751546,7.576736672051705,2.423263327948295,历史2/2次成功; 当前距低点2.42%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
4,86.50485860490897,81.97032972642582,600161,天坛生物,bottom_area,2025-12-22,16.45,2025-12-17,16.1,2.1739130434782474,2.484472049689432,27.08333333333332,False,0.0608,0.2719,2,2,2,100.0,25.305653040624797,36.77455357142857,7.8260869565217535,2.1739130434782474,历史2/2次成功; 当前距低点2.17%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
5,86.37600972270805,84.5111307703751,300598,诚迈科技,bottom_area,2025-12-22,45.0,2025-12-17,43.33,3.854142626355878,4.661897069005316,32.296875,False,0.1781,2.049,5,5,5,100.0,26.22890300250812,45.24950099800398,6.145857373644123,3.854142626355878,历史5/5次成功; 当前距低点3.85%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
6,85.21251606936048,84.97347996419803,603327,福蓉科技,bottom_area,2025-12-22,11.02,2025-12-19,10.51,4.852521408182682,7.4215033301617455,29.651941097724226,False,0.8234,4.6779,7,7,7,100.0,40.952842875562084,129.39632545931758,5.147478591817318,4.852521408182682,历史7/7次成功; 当前距低点4.85%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
7,84.84117433533925,81.96602827802448,002129,TCL中环,bottom_area,2025-12-22,8.41,2025-12-16,8.15,3.190184049079752,4.417177914110422,29.253472222222214,False,0.8393,1.7162,3,3,3,100.0,21.073375859818903,31.12759643916912,6.809815950920248,3.190184049079752,历史3/3次成功; 当前距低点3.19%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
8,83.09774414096627,80.53845498977603,300609,汇纳科技,bottom_area,2025-12-22,36.63,2025-12-17,35.44,3.357787810383761,6.997742663656896,28.20097244732577,False,-2.346,3.309,5,5,5,100.0,21.25919998629576,49.87035436473638,6.64221218961624,3.357787810383761,历史5/5次成功; 当前距低点3.36%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
9,82.21839804769796,78.77411380515927,301487,盟固利,bottom_area,2025-12-22,21.27,2025-12-17,20.7,2.7536231884057982,4.2995169082125635,28.000000000000004,False,0.0,2.9542,2,2,2,100.0,15.227820831852117,18.439999999999998,7.246376811594201,2.7536231884057982,历史2/2次成功; 当前距低点2.75%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,82.05456959006499,77.27022166812657,605368,蓝天燃气,bottom_area,2025-12-22,7.72,2025-12-18,7.58,1.8469656992084391,2.6385224274406354,31.65013525698828,False,0.0,1.4424,1,1,1,100.0,12.695179904955879,12.695179904955879,8.153034300791562,1.8469656992084391,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,80.70653638252483,76.5814802456169,002632,道明光学,bottom_area,2025-12-22,12.29,2025-12-19,12.02,2.2462562396006622,4.908485856905157,27.28372655777375,False,-0.0813,5.895,2,2,2,100.0,19.693249848959194,25.259515570934255,7.753743760399338,2.2462562396006622,历史2/2次成功; 当前距低点2.25%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
