rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.40043346716789,80.75539991032092,002405,四维图新,bottom_area,2023-05-18,11.37,2023-05-16,11.14,2.0646319569120166,2.9622980251346505,27.75616083009079,False,0.5305,1.0221,2,2,2,100.0,17.434197699356595,23.478260869565215,7.935368043087984,2.0646319569120166,历史2/2次成功; 当前距低点2.06%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
2,84.08406412499961,81.5404983114251,688075,安旭生物,bottom_area,2023-05-18,66.84,2023-05-10,64.65,3.3874709976798103,4.94972931167825,30.37906525953047,False,-0.8161,1.3258,5,5,5,100.0,27.010388097500325,40.134529147982065,6.612529002320191,3.3874709976798103,历史5/5次成功; 当前距低点3.39%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
3,83.78430125083123,77.84757731151,300653,正海生物,bottom_area,2023-05-18,34.5,2023-05-18,34.11,1.1433597185576094,1.7883318674875386,29.129441097028884,False,-0.1158,2.1877,1,1,1,100.0,29.647513278609367,29.647513278609367,8.85664028144239,1.1433597185576094,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
4,82.8473719246815,76.21424005107724,300661,圣邦股份,bottom_area,2023-05-18,119.84,2023-05-17,119.1,0.6213266162888407,2.5020990764063846,30.480971281811815,False,0.117,0.5772,1,1,1,100.0,31.832606108687024,31.832606108687024,9.37867338371116,0.6213266162888407,历史1/1次成功; 当前距低点0.62%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
5,81.97156475408687,77.14768357305076,000603,盛达资源,bottom_area,2023-05-18,13.45,2023-05-17,13.21,1.8168054504163393,2.649507948523843,31.87209902011346,False,0.5232,0.9813,1,1,1,100.0,11.666666666666679,11.666666666666679,8.18319454958366,1.8168054504163393,历史1/1次成功; 当前距低点1.82%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
6,81.86940872623335,78.75986922096747,688048,长光华芯,bottom_area,2023-05-18,86.75,2023-05-12,84.25,2.967359050445104,4.87833827893175,29.20168067226891,False,1.5332,2.6597,2,2,2,100.0,17.771225032162963,19.48504983388705,7.032640949554897,2.967359050445104,历史2/2次成功; 当前距低点2.97%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
7,81.40021070909536,77.69862866665032,600199,金种子酒,bottom_area,2023-05-18,22.46,2023-05-17,21.9,2.5570776255707868,3.1963470319634832,30.43202033036849,False,0.8079,1.1021,1,1,1,100.0,23.70304114490161,23.70304114490161,7.442922374429214,2.5570776255707868,历史1/1次成功; 当前距低点2.56%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
8,81.136658644696,79.82408238142051,002690,美亚光电,bottom_area,2023-05-18,24.63,2023-05-15,23.65,4.143763213530657,4.312896405919675,28.765060240963862,False,0.0813,0.717,3,3,3,100.0,21.246572625109707,27.355278093076052,5.856236786469343,4.143763213530657,历史3/3次成功; 当前距低点4.14%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
9,80.99586800603947,76.08258312020459,000629,钒钛股份,bottom_area,2023-05-18,4.15,2023-04-25,4.08,1.715686274509811,9.803921568627459,31.08108108108108,False,-0.7177,0.4168,1,1,1,100.0,27.173913043478265,27.173913043478265,8.28431372549019,1.715686274509811,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
10,78.81306784759428,77.48007727089077,000518,四环生物,bottom_area,2023-05-18,2.79,2023-04-25,2.68,4.104477611940293,9.328358208955223,27.956989247311824,True,0.3597,0.3373,2,2,2,100.0,15.635947452229296,17.834394904458602,5.895522388059708,4.104477611940293,历史2/2次成功; 当前距低点4.10%; 最新日涨幅0.36%; 状态bottom_area; 底部已确认
11,78.54414197267397,76.67897765142312,002245,蔚蓝锂芯,bottom_area,2023-05-18,11.1,2023-04-26,10.7,3.7383177570093498,8.317757009345799,29.512516469038214,False,-0.4484,1.2155,3,3,3,100.0,21.840549125830286,25.653923541247494,6.261682242990652,3.7383177570093498,历史3/3次成功; 当前距低点3.74%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
