rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.47095011270287,82.63190777333507,605188,国光连锁,bottom_area,2025-09-30,15.71,2025-09-29,15.4,2.012987012987016,3.8311688311688306,29.032258064516125,False,-0.1271,2.1106,4,4,4,100.0,16.029667542717576,19.218749999999993,7.987012987012984,2.012987012987016,历史4/4次成功; 当前距低点2.01%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
2,86.28925600963201,83.97276591541369,000718,苏宁环球,bottom_area,2025-09-30,2.61,2025-09-29,2.52,3.571428571428566,5.158730158730155,32.800000000000004,False,0.0,3.9502,4,4,4,100.0,19.86894117349903,36.111111111111114,6.428571428571435,3.571428571428566,历史4/4次成功; 当前距低点3.57%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,86.01508359759521,81.43001266348729,000679,大连友谊,bottom_area,2025-09-30,7.69,2025-09-30,7.53,2.1248339973439596,2.3904382470119483,28.693181818181817,False,1.0512,2.1794,7,8,7,87.5,15.549108480814496,24.94061757719715,7.875166002656041,2.1248339973439596,历史7/8次成功; 当前距低点2.12%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
4,85.86745663013964,82.78903442781626,688205,德科立,bottom_area,2025-09-30,121.02,2025-09-29,117.4,3.0834752981260563,5.1959114139693305,27.441285537700864,False,0.2984,7.752,3,3,3,100.0,24.19009735238528,35.44761904761904,6.916524701873944,3.0834752981260563,历史3/3次成功; 当前距低点3.08%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
5,85.78167762621676,83.9234347355733,300534,陇神戎发,bottom_area,2025-09-30,9.71,2025-09-23,9.35,3.850267379679157,5.454545454545452,27.519379844961243,False,0.4137,1.5182,5,5,5,100.0,23.021743877643914,41.58730158730159,6.149732620320844,3.850267379679157,历史5/5次成功; 当前距低点3.85%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
6,83.88876094233851,78.28909989873414,002059,云南旅游,bottom_area,2025-09-30,5.9,2025-09-29,5.82,1.3745704467353963,6.013745704467348,28.0593325092707,False,-2.9605,6.8529,2,2,2,100.0,18.18881998543464,25.935162094763093,8.625429553264604,1.3745704467353963,历史2/2次成功; 当前距低点1.37%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
7,83.15491647892553,78.06971162961378,301151,冠龙节能,bottom_area,2025-09-30,20.48,2025-09-29,20.14,1.688182720953326,3.674280039721939,29.333333333333332,False,-1.0628,3.859,1,1,1,100.0,37.520259319286865,37.520259319286865,8.311817279046673,1.688182720953326,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
8,82.18812746179081,80.1001242236025,301009,可靠股份,bottom_area,2025-09-30,13.35,2025-09-23,12.88,3.6490683229813574,4.5807453416149055,30.566037735849054,False,1.0598,1.8501,1,1,1,100.0,53.96648044692738,53.96648044692738,6.350931677018642,3.6490683229813574,历史1/1次成功; 当前距低点3.65%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
9,81.39455247791373,76.78361157820066,603280,南方路机,bottom_area,2025-09-30,35.22,2025-09-29,34.55,1.9392185238784423,4.0520984081042135,27.26315789473685,False,-0.6488,7.8095,2,2,2,100.0,17.016289315287736,18.348214285714302,8.060781476121559,1.9392185238784423,历史2/2次成功; 当前距低点1.94%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
10,80.50450892420187,77.89432954371333,000096,广聚能源,bottom_area,2025-09-30,11.37,2025-09-23,11.01,3.2697547683923656,5.812897366030886,28.039215686274517,False,0.7979,1.4751,2,2,2,100.0,16.82457212713937,21.149144254278735,6.730245231607634,3.2697547683923656,历史2/2次成功; 当前距低点3.27%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
11,79.56216880042714,75.48145276055942,002622,皓宸医疗,bottom_area,2025-09-30,3.2,2025-09-29,3.13,2.2364217252396257,8.945686900958474,27.03962703962704,False,-0.3115,6.3945,5,6,5,83.33333333333334,16.4363492514647,20.819112627986343,7.763578274760374,2.2364217252396257,历史5/6次成功; 当前距低点2.24%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
12,77.66234122088866,75.5009417130256,300111,向日葵,confirmed_rebound,2025-09-30,7.65,2025-09-29,7.39,3.5182679296346504,12.04330175913396,28.11284046692607,True,2.0,21.9817,1,1,1,100.0,24.691358024691343,24.691358024691343,6.481732070365351,3.5182679296346504,历史1/1次成功; 当前距低点3.52%; 最新日涨幅2.00%; 状态confirmed_rebound; 底部已确认
13,77.276789486671,74.63582937048463,000926,福星股份,bottom_area,2025-09-30,2.6,2025-09-29,2.52,3.174603174603177,4.761904761904765,27.79369627507164,False,-0.3831,2.3435,2,2,2,100.0,20.612497895590682,28.668941979522177,6.825396825396823,3.174603174603177,历史2/2次成功; 当前距低点3.17%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
14,77.16436746622037,74.91686161768968,002269,美邦服饰,bottom_area,2025-09-30,2.4,2025-09-29,2.32,3.448275862068969,6.034482758620696,27.725856697819317,False,-1.2346,4.3828,6,8,6,75.0,46.3114547484244,173.50993377483442,6.551724137931031,3.448275862068969,历史6/8次成功; 当前距低点3.45%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
