rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
27,68.51539109410926,63.22663110280517,300609,汇纳科技,bottom_area,2024-01-18,23.33,2024-01-18,22.61,3.184431667403799,4.820875718708535,31.69184290030212,False,-0.2565,3.2777,2,4,2,50.0,34.393200561751826,49.87035436473638,11.8155683325962,3.184431667403799,历史2/4次成功; 当前距低点3.18%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
28,68.29586984964517,64.21392912865291,688079,美迪凯,bottom_area,2024-01-18,9.95,2024-01-18,9.55,4.188481675392655,4.607329842931931,32.173295454545446,False,0.3024,2.892,2,4,2,50.0,29.53584595993638,30.064655172413808,10.811518324607345,4.188481675392655,历史2/4次成功; 当前距低点4.19%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
29,67.54044542904431,61.62944518346081,002146,荣盛发展,bottom_area,2024-01-18,1.59,2024-01-18,1.55,2.5806451612903247,3.2258064516129057,30.180180180180184,False,-0.625,1.7206,2,4,2,50.0,18.404925544100795,19.587628865979376,12.419354838709674,2.5806451612903247,历史2/4次成功; 当前距低点2.58%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
30,63.905807749338344,58.53203345297868,600399,抚顺特钢,bottom_area,2024-01-18,7.02,2024-01-18,6.83,2.781844802342599,3.6603221083455346,32.70935960591133,False,1.5919,2.8767,1,2,1,50.0,15.078707539353772,15.078707539353772,12.218155197657401,2.781844802342599,历史1/2次成功; 当前距低点2.78%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
31,63.84676200840945,59.609200605553745,300657,弘信电子,bottom_area,2024-01-18,16.62,2024-01-18,16.01,3.810118675827604,4.184884447220475,28.04494382022471,False,0.1205,2.4402,1,2,1,50.0,33.47457627118643,33.47457627118643,11.189881324172395,3.810118675827604,历史1/2次成功; 当前距低点3.81%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
32,63.292638285447865,58.28063241106721,603037,凯众股份,bottom_area,2024-01-18,18.14,2024-01-18,17.6,3.068181818181813,3.9204545454545325,29.543634907926336,False,-0.4391,3.5036,1,2,1,50.0,39.71014492753625,39.71014492753625,11.931818181818187,3.068181818181813,历史1/2次成功; 当前距低点3.07%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
33,62.486080383169394,58.06283840190816,603229,奥翔药业,bottom_area,2024-01-18,11.65,2024-01-18,11.25,3.555555555555559,3.8222222222222197,28.707224334600756,False,0.0,0.9143,1,3,1,33.33333333333333,41.48479427549196,41.48479427549196,11.444444444444441,3.555555555555559,历史1/3次成功; 当前距低点3.56%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
34,61.65123206711806,56.36906014704579,688156,路德科技,bottom_area,2024-01-18,21.77,2024-01-18,21.2,2.68867924528302,3.820754716981143,29.591497841248753,False,-1.1353,1.0797,1,3,1,33.33333333333333,44.22535211267606,44.22535211267606,12.311320754716979,2.68867924528302,历史1/3次成功; 当前距低点2.69%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
35,61.22083488000821,56.00293982575808,300370,安控科技,bottom_area,2024-01-18,2.27,2024-01-18,2.21,2.714932126696835,3.6199095022624466,28.246753246753247,False,-0.8734,1.2862,1,2,1,50.0,23.13432835820894,23.13432835820894,12.285067873303165,2.714932126696835,历史1/2次成功; 当前距低点2.71%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
36,60.922943861056694,55.93845015448093,688105,诺唯赞,bottom_area,2024-01-18,27.54,2024-01-18,26.76,2.9147982062780176,5.231689088191325,30.88842975206611,False,-2.7886,1.3065,1,2,1,50.0,25.237580993520524,25.237580993520524,12.085201793721982,2.9147982062780176,历史1/2次成功; 当前距低点2.91%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
37,60.64024952065931,57.6278829138015,688326,经纬恒润,bottom_area,2024-01-18,88.0,2024-01-18,84.0,4.761904761904762,5.357142857142857,29.11392405063291,False,1.2775,1.6405,1,2,1,50.0,34.48938586529221,34.48938586529221,10.238095238095237,4.761904761904762,历史1/2次成功; 当前距低点4.76%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
38,60.59089032629355,55.44402130226991,605080,浙江自然,bottom_area,2024-01-18,21.06,2024-01-18,20.5,2.7317073170731643,6.097560975609756,27.56183745583039,False,-2.9493,10.0126,1,2,1,50.0,20.335021425788852,20.335021425788852,12.268292682926834,2.7317073170731643,历史1/2次成功; 当前距低点2.73%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
39,60.368980329323925,55.20684652572927,688356,键凯科技,bottom_area,2024-01-18,94.0,2024-01-18,91.53,2.698568775264939,3.7692559816453657,28.391488030042243,False,0.3952,0.6252,1,3,1,33.33333333333333,15.625,15.625,12.30143122473506,2.698568775264939,历史1/3次成功; 当前距低点2.70%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
40,60.08145062913374,56.37747858119424,688196,卓越新能,bottom_area,2024-01-18,31.88,2024-01-18,30.63,4.080966372837088,4.374795951681358,28.36763330215154,False,0.0,0.4911,1,2,1,50.0,19.41979522184301,19.41979522184301,10.91903362716291,4.080966372837088,历史1/2次成功; 当前距低点4.08%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
41,59.8549699574979,55.22339415976377,603078,江化微,bottom_area,2024-01-18,13.98,2024-01-18,13.55,3.173431734317341,5.018450184501843,28.609062170706007,False,-1.1315,1.8818,1,2,1,50.0,24.563540397888758,24.563540397888758,11.826568265682658,3.173431734317341,历史1/2次成功; 当前距低点3.17%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
42,59.319815834564835,55.078436252755445,601777,千里科技,bottom_area,2024-01-18,3.24,2024-01-18,3.13,3.514376996805122,4.792332268370604,32.104121475054235,False,-1.5198,0.4218,1,2,1,50.0,27.96352583586626,27.96352583586626,11.485623003194878,3.514376996805122,历史1/2次成功; 当前距低点3.51%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
43,58.83960855692626,54.529859348198976,603160,汇顶科技,bottom_area,2024-01-18,60.29,2024-01-18,58.3,3.413379073756436,3.773584905660382,27.125000000000004,False,0.9883,0.8689,1,3,1,33.33333333333333,20.747474747474755,20.747474747474755,11.586620926243562,3.413379073756436,历史1/3次成功; 当前距低点3.41%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
44,58.69634644201287,55.34405081631084,002641,公元股份,bottom_area,2024-01-18,5.77,2024-01-18,5.53,4.339963833634707,5.244122965641954,29.733163913595934,False,1.9435,10.2537,1,2,1,50.0,17.038539553752532,17.038539553752532,10.660036166365291,4.339963833634707,历史1/2次成功; 当前距低点4.34%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
45,58.0229330500043,54.32014140411806,601011,宝泰隆,bottom_area,2024-01-18,2.89,2024-01-18,2.78,3.956834532374112,4.676258992805768,31.527093596059114,False,-0.3448,2.472,1,2,1,50.0,29.31034482758621,29.31034482758621,11.043165467625887,3.956834532374112,历史1/2次成功; 当前距低点3.96%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
46,57.92468897629464,54.38069536029707,688068,热景生物,bottom_area,2024-01-18,36.75,2024-01-18,35.3,4.107648725212473,4.985835694051007,28.686868686868692,False,-0.2984,1.1866,1,2,1,50.0,31.484593837534998,31.484593837534998,10.892351274787526,4.107648725212473,历史1/2次成功; 当前距低点4.11%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
47,56.00469162224611,52.45117142307597,603306,华懋科技,bottom_area,2024-01-18,22.48,2024-01-18,21.62,3.977798334875113,4.3940795559666945,30.926517571884983,False,-0.0445,2.0637,1,2,1,50.0,19.519094766619503,19.519094766619503,11.022201665124886,3.977798334875113,历史1/2次成功; 当前距低点3.98%; 最新日涨幅-0.04%; 状态bottom_area; 底部未确认
48,54.80084360540994,50.40662932795657,603123,翠微股份,bottom_area,2024-01-18,9.24,2024-01-18,8.97,3.0100334448160484,3.5674470457078984,30.303030303030294,False,-1.2821,2.5943,1,3,1,33.33333333333333,16.108452950558224,16.108452950558224,11.989966555183951,3.0100334448160484,历史1/3次成功; 当前距低点3.01%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
