rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.68338392662926,79.0373087785725,688302,海创药业,bottom_area,2023-06-19,55.25,2023-06-19,53.61,3.05913075918672,5.390785301249768,28.367183324425444,False,0.5094,1.7281,1,1,1,100.0,37.054445750097926,37.054445750097926,16.94086924081328,3.05913075918672,历史1/1次成功; 当前距低点3.06%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
2,88.50686104730401,77.50040318529588,688075,安旭生物,bottom_area,2023-06-19,66.4,2023-05-10,64.65,2.7068832173240525,7.764887857695276,30.37906525953047,True,-1.0432,1.2935,4,5,4,80.0,31.086542584917854,40.134529147982065,17.29311678267595,2.7068832173240525,历史4/5次成功; 当前距低点2.71%; 最新日涨幅-1.04%; 状态bottom_area; 底部已确认
3,87.19964132458959,76.86167829012143,688176,亚虹医药,bottom_area,2023-06-19,11.42,2023-06-15,11.08,3.0685920577617316,3.4296028880866496,31.520395550061803,False,2.1467,2.087,1,1,1,100.0,25.473484848484844,25.473484848484844,16.93140794223827,3.0685920577617316,历史1/1次成功; 当前距低点3.07%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
4,83.91546329040538,70.978973042362,600935,华塑股份,bottom_area,2023-06-19,3.72,2023-05-31,3.69,0.8130081300813075,3.2520325203252063,27.788649706457928,False,-1.3263,0.1853,1,1,1,100.0,28.50877192982458,28.50877192982458,19.186991869918693,0.8130081300813075,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
5,83.90718585782653,73.20445027120056,002041,登海种业,bottom_area,2023-06-19,15.54,2023-06-07,15.16,2.506596306068595,4.221635883905018,28.49056603773585,False,-0.6394,0.4676,1,1,1,100.0,21.395106715252467,21.395106715252467,17.493403693931405,2.506596306068595,历史1/1次成功; 当前距低点2.51%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
6,83.21199293684117,72.97386815141832,600256,广汇能源,bottom_area,2023-06-19,7.37,2023-06-01,7.17,2.7894002789400303,5.718270571827059,29.49852507374631,False,-0.8075,0.8439,1,1,1,100.0,23.62204724409449,23.62204724409449,17.21059972105997,2.7894002789400303,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
7,83.12116143709254,70.32631016784575,688289,圣湘生物,bottom_area,2023-06-19,17.05,2023-06-12,16.91,0.8279124778237763,2.956830277942046,31.399594320486813,False,-1.6157,0.7457,1,1,1,100.0,25.182530200451346,25.182530200451346,19.172087522176227,0.8279124778237763,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
8,82.31660366869124,72.94285429804184,000723,美锦能源,bottom_area,2023-06-19,6.77,2023-06-14,6.55,3.3587786259541943,4.8854961832061115,30.907172995780595,False,-1.1679,0.5459,1,1,1,100.0,30.434782608695667,30.434782608695667,16.641221374045806,3.3587786259541943,历史1/1次成功; 当前距低点3.36%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
9,79.67056003274335,71.19143647740732,600995,南网储能,bottom_area,2023-06-19,11.15,2023-06-07,10.74,3.817504655493484,4.934823091247666,32.7909887359199,False,-0.9769,0.9799,1,1,1,100.0,26.64165103189493,26.64165103189493,16.182495344506517,3.817504655493484,历史1/1次成功; 当前距低点3.82%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
10,64.31476128843286,55.34744600021708,601666,平煤股份,bottom_area,2023-06-19,7.53,2023-06-15,7.4,1.756756756756755,3.2432432432432337,27.236971484759092,False,-0.3968,0.8664,1,3,1,33.33333333333333,27.30923694779115,27.30923694779115,18.243243243243246,1.756756756756755,历史1/3次成功; 当前距低点1.76%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
11,64.16690267543004,56.29948769279556,600955,维远股份,bottom_area,2023-06-19,18.62,2023-06-12,18.11,2.8161236885698595,4.638321369409166,28.924646781789644,False,-1.1677,0.4086,1,2,1,50.0,25.969084423305596,25.969084423305596,17.18387631143014,2.8161236885698595,历史1/2次成功; 当前距低点2.82%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
