rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.8840564238474,76.00865155597899,003002,壶化股份,bottom_area,2025-08-27,25.51,2025-08-15,24.85,2.655935613682093,7.967806841046264,28.199942213233165,True,-3.1143,3.4357,1,1,1,100.0,39.32357395254923,39.32357395254923,17.34406438631791,2.655935613682093,历史1/1次成功; 当前距低点2.66%; 最新日涨幅-3.11%; 状态bottom_area; 底部已确认
2,86.45563832416038,77.38313306792134,600620,天宸股份,bottom_area,2025-08-27,6.38,2025-08-04,6.14,3.9087947882736196,8.143322475570033,27.078384798099762,True,0.0,3.8794,1,1,1,100.0,29.38271604938273,29.38271604938273,16.091205211726383,3.9087947882736196,历史1/1次成功; 当前距低点3.91%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
3,83.057576829498,70.0180968726631,300069,金利华电,bottom_area,2025-08-27,20.77,2025-08-27,20.64,0.6298449612403052,4.312015503875972,32.92167695807605,False,-3.0798,8.269,1,1,1,100.0,31.312598840274124,31.312598840274124,19.370155038759695,0.6298449612403052,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
4,79.19712215765142,71.89708559006667,603839,安正时尚,bottom_area,2025-08-27,7.82,2025-08-08,7.47,4.685408299866139,8.433734939759036,28.03468208092486,True,-0.5089,2.9262,1,1,1,100.0,31.88073394495412,31.88073394495412,15.314591700133862,4.685408299866139,历史1/1次成功; 当前距低点4.69%; 最新日涨幅-0.51%; 状态bottom_area; 底部已确认
5,78.77917278151972,66.14224062885272,002795,永和智控,bottom_area,2025-08-27,4.92,2025-08-27,4.9,0.40816326530611374,4.0816326530612095,28.985507246376812,False,-3.3399,6.3749,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,19.59183673469389,0.40816326530611374,历史4/6次成功; 当前距低点0.41%; 最新日涨幅-3.34%; 状态bottom_area; 底部未确认
6,72.51228363325438,61.71789819922068,003001,中岩大地,bottom_area,2025-08-27,27.17,2025-08-15,26.86,1.1541325390915946,7.1109456440804175,27.756858526089296,True,-1.7715,5.4154,1,2,1,50.0,25.533980582524272,25.533980582524272,18.845867460908405,1.1541325390915946,历史1/2次成功; 当前距低点1.15%; 最新日涨幅-1.77%; 状态bottom_area; 底部已确认
7,62.33186043532899,56.174169613378396,605099,共创草坪,bottom_area,2025-08-27,31.4,2025-08-08,30.11,4.284290933244766,9.46529392228496,27.93202489229297,True,-3.0565,0.7609,1,2,1,50.0,44.31372549019606,44.31372549019606,15.715709066755235,4.284290933244766,历史1/2次成功; 当前距低点4.28%; 最新日涨幅-3.06%; 状态bottom_area; 底部已确认
8,61.640082578683376,51.770235189666245,603080,新疆火炬,bottom_area,2025-08-27,21.17,2025-08-15,21.08,0.42694497153701816,8.82352941176472,27.310344827586214,False,-3.1121,4.6878,1,2,1,50.0,22.385321100917427,22.385321100917427,19.57305502846298,0.42694497153701816,历史1/2次成功; 当前距低点0.43%; 最新日涨幅-3.11%; 状态bottom_area; 底部未确认
9,60.231596704108,50.26841358586257,603221,爱丽家居,bottom_area,2025-08-27,12.22,2025-08-27,12.21,0.08190008190008015,2.538902538902528,30.625000000000004,False,-1.9262,3.7271,1,4,1,25.0,20.699708454810505,20.699708454810505,19.918099918099923,0.08190008190008015,历史1/4次成功; 当前距低点0.08%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
10,59.21799700611626,49.40804172163589,605169,洪通燃气,bottom_area,2025-08-27,15.17,2025-08-27,15.16,0.06596306068601442,4.287598944591031,27.32502396931927,False,-4.3506,3.6578,1,4,1,25.0,26.09375,26.09375,19.934036939313987,0.06596306068601442,历史1/4次成功; 当前距低点0.07%; 最新日涨幅-4.35%; 状态bottom_area; 底部未确认
11,59.09376977741254,52.92353744921072,000637,茂化实华,bottom_area,2025-08-27,4.22,2025-07-07,4.06,3.9408866995073932,9.605911330049276,27.370304114490168,True,-3.653,5.5356,1,2,1,50.0,22.627737226277358,22.627737226277358,16.05911330049261,3.9408866995073932,历史1/2次成功; 当前距低点3.94%; 最新日涨幅-3.65%; 状态bottom_area; 底部已确认
