rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.08103792418582,79.86799762570003,603278,大业股份,bottom_area,2026-01-16,12.73,17.72,2026-01-16,12.53,1.5961691939345657,5.027932960893861,29.28893905191873,28.160270880361164,False,-1.4706,12.2357,2,2,2,100.0,29.393889182101233,31.206657420249666,18.403830806065436,1.5961691939345657,历史2/2次成功; 当前距低点1.60%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
2,92.35674001237483,78.66110919906099,301687,新广益,bottom_area,2026-01-16,62.03,88.3,2026-01-14,61.3,1.1908646003262708,3.572593800978801,30.577576443941112,29.75084937712344,False,-1.649,14.5484,1,1,1,100.0,34.60365853658537,34.60365853658537,18.80913539967373,1.1908646003262708,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
3,91.79129003034735,80.02515209754606,600048,保利发展,bottom_area,2026-01-16,6.23,8.55,2025-12-31,6.08,2.4671052631579005,9.210526315789467,28.888888888888893,27.134502923976612,True,-2.5039,1.629,2,2,2,100.0,31.721247836269217,31.987577639751546,17.5328947368421,2.4671052631579005,历史2/2次成功; 当前距低点2.47%; 最新日涨幅-2.50%; 状态bottom_area; 底部已确认
4,87.40456229302299,73.00677498326819,000735,罗牛山,bottom_area,2026-01-16,7.89,11.38,2026-01-16,7.88,0.12690355329948969,2.4111675126903607,30.75571177504394,30.66783831282953,False,-1.1278,3.1098,3,4,3,75.0,35.16728540210225,44.303797468354425,19.87309644670051,0.12690355329948969,历史3/4次成功; 当前距低点0.13%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
5,86.91586320619363,74.44055791950022,300058,蓝色光标,bottom_area,2026-01-16,16.29,23.87,2026-01-16,16.05,1.4953271028037285,14.018691588785046,32.76078759949728,31.75534143276079,False,-11.5155,25.1063,1,1,1,100.0,25.859697386519958,25.859697386519958,18.504672897196272,1.4953271028037285,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-11.52%; 状态bottom_area; 底部未确认
6,83.37462295081967,69.4788524590164,002788,鹭燕医药,bottom_area,2026-01-16,19.68,28.29,2026-01-16,19.68,0.0,0.0,30.43478260869565,30.43478260869565,False,-10.0137,1.3531,1,1,1,100.0,32.950819672131146,32.950819672131146,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
7,82.96684729791801,75.11747765619079,300779,惠城环保,bottom_area,2026-01-16,110.8,155.5,2026-01-15,105.99,4.538163977733751,8.689499009340512,31.83922829581994,28.745980707395503,False,1.9319,5.7148,1,1,1,100.0,34.11016949152542,34.11016949152542,15.461836022266251,4.538163977733751,历史1/1次成功; 当前距低点4.54%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
8,74.03350411255728,62.81736699694649,000572,海马汽车,bottom_area,2026-01-16,7.18,10.2,2026-01-16,7.11,0.9845288326300898,2.1097046413502034,30.294117647058815,29.607843137254903,False,0.0,3.6484,3,8,3,37.5,49.67522975990913,95.5116696588869,19.01547116736991,0.9845288326300898,历史3/8次成功; 当前距低点0.98%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,71.69754342180701,59.74795285150585,002757,南兴股份,bottom_area,2026-01-16,21.4,29.45,2026-01-16,21.4,0.0,2.8037383177570163,27.33446519524618,27.33446519524618,False,-10.0084,4.9937,2,4,2,50.0,38.96748844895619,50.75376884422111,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
10,71.20167156655543,59.60123589687163,600325,华发股份,bottom_area,2026-01-16,4.1,5.74,2026-01-16,4.09,0.24449877750610727,5.867970660146705,28.745644599303137,28.57142857142858,False,-5.53,2.8498,2,4,2,50.0,28.917704890244938,32.553606237816766,19.755501222493894,0.24449877750610727,历史2/4次成功; 当前距低点0.24%; 最新日涨幅-5.53%; 状态bottom_area; 底部未确认
11,68.95254397079113,60.10924202994433,688258,卓易信息,bottom_area,2026-01-16,123.98,179.04,2026-01-16,121.0,2.4628099173553752,12.396694214876034,32.417336907953526,30.752904378909733,False,-5.503,7.6052,2,5,2,40.0,40.66907871782036,53.62126245847176,17.537190082644628,2.4628099173553752,历史2/5次成功; 当前距低点2.46%; 最新日涨幅-5.50%; 状态bottom_area; 底部未确认
