code,name,start_date,end_date,status,rows,reason
301313,凡拓数创,2021-01-01,2024-12-31,updated,545,
301314,科瑞思,2021-01-01,2024-12-31,updated,429,
301315,威士顿,2021-01-01,2024-12-31,updated,372,
301316,慧博云通,2021-01-01,2024-12-31,updated,541,
301317,鑫磊股份,2021-01-01,2024-12-31,updated,472,
301318,维海德,2021-01-01,2024-12-31,updated,581,
301319,唯特偶,2021-01-01,2024-12-31,updated,546,
301320,豪江智能,2021-01-01,2024-12-31,updated,380,
301321,翰博高新,2021-01-01,2024-12-31,updated,575,
301322,绿通科技,2021-01-01,2024-12-31,updated,445,
301323,新莱福,2021-01-01,2024-12-31,updated,383,
301325,曼恩斯特,2021-01-01,2024-12-31,updated,400,
301326,捷邦科技,2021-01-01,2024-12-31,updated,552,
301327,华宝新能,2021-01-01,2024-12-31,updated,554,
301328,维峰电子,2021-01-01,2024-12-31,updated,560,
301329,信音电子,2021-01-01,2024-12-31,updated,356,
301330,熵基科技,2021-01-01,2024-12-31,updated,576,
301331,恩威医药,2021-01-01,2024-12-31,updated,552,
301332,德尔玛,2021-01-01,2024-12-31,updated,396,
301333,诺思格,2021-01-01,2024-12-31,updated,587,
301335,天元宠物,2021-01-01,2024-12-31,updated,515,
301336,趣睡科技,2021-01-01,2024-12-31,updated,579,
301337,亚华电子,2021-01-01,2024-12-31,updated,390,
301338,凯格精机,2021-01-01,2024-12-31,updated,577,
301339,通行宝,2021-01-01,2024-12-31,updated,559,
301345,涛涛车业,2021-01-01,2024-12-31,updated,434,
301348,蓝箭电子,2021-01-01,2024-12-31,updated,338,
301349,信德新材,2021-01-01,2024-12-31,updated,559,
301353,普莱得,2021-01-01,2024-12-31,updated,388,
301355,南王科技,2021-01-01,2024-12-31,updated,379,
301356,天振股份,2021-01-01,2024-12-31,updated,519,
301357,北方长龙,2021-01-01,2024-12-31,updated,415,
301358,湖南裕能,2021-01-01,2024-12-31,updated,462,
301359,东南电子,2021-01-01,2024-12-31,updated,522,
301360,荣旗科技,2021-01-01,2024-12-31,updated,410,
301361,众智科技,2021-01-01,2024-12-31,updated,517,
301362,民爆光电,2021-01-01,2024-12-31,updated,342,
301363,美好医疗,2021-01-01,2024-12-31,updated,542,
301365,矩阵股份,2021-01-01,2024-12-31,updated,513,
301366,一博科技,2021-01-01,2024-12-31,updated,549,
301367,瑞迈特,2021-01-01,2024-12-31,updated,528,
301368,丰立智能,2021-01-01,2024-12-31,updated,496,
301369,联动科技,2021-01-01,2024-12-31,updated,551,
301370,国科恒泰,2021-01-01,2024-12-31,updated,359,
301371,敷尔佳,2021-01-01,2024-12-31,updated,345,
301372,科净源,2021-01-01,2024-12-31,updated,337,
301373,凌玮科技,2021-01-01,2024-12-31,updated,463,
301376,致欧科技,2021-01-01,2024-12-31,updated,372,
301377,鼎泰高科,2021-01-01,2024-12-31,updated,513,
301378,通达海,2021-01-01,2024-12-31,updated,435,
301379,天山电子,2021-01-01,2024-12-31,updated,528,
301380,挖金客,2021-01-01,2024-12-31,updated,533,
301381,赛维时代,2021-01-01,2024-12-31,updated,359,
301382,蜂助手,2021-01-01,2024-12-31,updated,397,
301383,天键股份,2021-01-01,2024-12-31,updated,380,
301386,未来电器,2021-01-01,2024-12-31,updated,428,
301387,光大同创,2021-01-01,2024-12-31,updated,415,
301388,欣灵电气,2021-01-01,2024-12-31,updated,522,
301389,隆扬电子,2021-01-01,2024-12-31,updated,529,
301390,经纬股份,2021-01-01,2024-12-31,updated,404,
301391,卡莱特,2021-01-01,2024-12-31,updated,506,
301392,汇成真空,2021-01-01,2024-12-31,updated,142,
301393,昊帆生物,2021-01-01,2024-12-31,updated,359,
301395,仁信新材,2021-01-01,2024-12-31,updated,366,
301396,宏景科技,2021-01-01,2024-12-31,updated,520,
301397,溯联股份,2021-01-01,2024-12-31,updated,369,
301398,星源卓镁,2021-01-01,2024-12-31,updated,496,
301399,英特科技,2021-01-01,2024-12-31,updated,393,
301408,华人健康,2021-01-01,2024-12-31,updated,448,
301413,安培龙,2021-01-01,2024-12-31,updated,252,
301418,协昌科技,2021-01-01,2024-12-31,updated,331,
301419,阿莱德,2021-01-01,2024-12-31,updated,462,
301421,波长光电,2021-01-01,2024-12-31,updated,329,
301428,世纪恒通,2021-01-01,2024-12-31,updated,395,
301429,森泰股份,2021-01-01,2024-12-31,updated,416,
301439,泓淋电力,2021-01-01,2024-12-31,updated,436,
301446,福事特,2021-01-01,2024-12-31,updated,350,
301448,开创电气,2021-01-01,2024-12-31,updated,374,
301449,天溯计量,2021-01-01,2024-12-31,empty,0,
301456,盘古智能,2021-01-01,2024-12-31,updated,357,
301458,钧崴电子,2021-01-01,2024-12-31,empty,0,
301459,丰茂股份,2021-01-01,2024-12-31,updated,255,
301468,博盈特焊,2021-01-01,2024-12-31,updated,351,
301469,恒达新材,2021-01-01,2024-12-31,updated,330,
301479,弘景光电,2021-01-01,2024-12-31,empty,0,
301486,致尚科技,2021-01-01,2024-12-31,updated,362,
301487,盟固利,2021-01-01,2024-12-31,updated,339,
301488,豪恩汽电,2021-01-01,2024-12-31,updated,365,
301489,思泉新材,2021-01-01,2024-12-31,updated,291,
301491,汉桑科技,2021-01-01,2024-12-31,empty,0,
301498,乖宝宠物,2021-01-01,2024-12-31,updated,334,
301499,维科精密,2021-01-01,2024-12-31,updated,352,
301500,飞南资源,2021-01-01,2024-12-31,updated,308,
301501,恒鑫生活,2021-01-01,2024-12-31,empty,0,
301502,华阳智能,2021-01-01,2024-12-31,updated,219,
301503,智迪科技,2021-01-01,2024-12-31,updated,356,
301505,苏州规划,2021-01-01,2024-12-31,updated,354,
301507,民生健康,2021-01-01,2024-12-31,updated,320,
301508,中机认检,2021-01-01,2024-12-31,updated,263,
301509,金凯生科,2021-01-01,2024-12-31,updated,343,
301510,固高科技,2021-01-01,2024-12-31,updated,335,
301511,德福科技,2021-01-01,2024-12-31,updated,333,
301512,智信精密,2021-01-01,2024-12-31,updated,353,
301513,尚水智能,2021-01-01,2024-12-31,empty,0,
301515,港通医疗,2021-01-01,2024-12-31,updated,350,
301516,中远通,2021-01-01,2024-12-31,updated,258,
301517,陕西华达,2021-01-01,2024-12-31,updated,296,
301518,长华化学,2021-01-01,2024-12-31,updated,343,
301519,舜禹股份,2021-01-01,2024-12-31,updated,348,
301520,万邦医药,2021-01-01,2024-12-31,updated,306,
301522,上大股份,2021-01-01,2024-12-31,updated,55,
301525,儒竞科技,2021-01-01,2024-12-31,updated,324,
301526,国际复材,2021-01-01,2024-12-31,updated,246,
301528,多浦乐,2021-01-01,2024-12-31,updated,326,
301529,福赛科技,2021-01-01,2024-12-31,updated,316,
301531,春光集团,2021-01-01,2024-12-31,empty,0,
301533,威马农机,2021-01-01,2024-12-31,updated,332,
301535,浙江华远,2021-01-01,2024-12-31,empty,0,
301536,星宸科技,2021-01-01,2024-12-31,updated,186,
301538,骏鼎达,2021-01-01,2024-12-31,updated,192,
301539,宏鑫科技,2021-01-01,2024-12-31,updated,176,
301548,崇德科技,2021-01-01,2024-12-31,updated,309,
301550,斯菱智驱,2021-01-01,2024-12-31,updated,312,
301551,无线传媒,2021-01-01,2024-12-31,updated,64,
301552,科力装备,2021-01-01,2024-12-31,updated,110,
301555,惠柏新材,2021-01-01,2024-12-31,updated,286,
301556,托普云农,2021-01-01,2024-12-31,updated,54,
301557,常友科技,2021-01-01,2024-12-31,empty,0,
301558,三态股份,2021-01-01,2024-12-31,updated,303,
301559,中集环科,2021-01-01,2024-12-31,updated,300,
301560,众捷汽车,2021-01-01,2024-12-31,empty,0,
301563,云汉芯城,2021-01-01,2024-12-31,empty,0,
301565,中仑新材,2021-01-01,2024-12-31,updated,132,
301566,达利凯普,2021-01-01,2024-12-31,updated,243,
301567,贝隆精密,2021-01-01,2024-12-31,updated,232,
301568,思泰克,2021-01-01,2024-12-31,updated,266,
301571,国科天成,2021-01-01,2024-12-31,updated,88,
301575,艾芬达,2021-01-01,2024-12-31,empty,0,
301577,美信科技,2021-01-01,2024-12-31,updated,226,
301578,辰奕智能,2021-01-01,2024-12-31,updated,244,
301580,爱迪特,2021-01-01,2024-12-31,updated,128,
301581,黄山谷捷,2021-01-01,2024-12-31,empty,0,
301584,建发致新,2021-01-01,2024-12-31,empty,0,
301585,蓝宇股份,2021-01-01,2024-12-31,updated,8,
301586,佳力奇,2021-01-01,2024-12-31,updated,83,
301587,中瑞股份,2021-01-01,2024-12-31,updated,181,
