code,name,start_date,end_date,status,rows,reason
002392,北京利尔,2021-01-01,2024-12-31,updated,969,
002393,力生制药,2021-01-01,2024-12-31,updated,969,
002394,联发股份,2021-01-01,2024-12-31,updated,969,
002395,双象股份,2021-01-01,2024-12-31,updated,969,
002396,星网锐捷,2021-01-01,2024-12-31,updated,969,
002397,梦洁股份,2021-01-01,2024-12-31,updated,969,
002398,垒知集团,2021-01-01,2024-12-31,updated,969,
002399,海普瑞,2021-01-01,2024-12-31,updated,969,
002400,省广集团,2021-01-01,2024-12-31,updated,969,
002401,中远海科,2021-01-01,2024-12-31,updated,969,
002402,和而泰,2021-01-01,2024-12-31,updated,969,
002403,爱仕达,2021-01-01,2024-12-31,updated,969,
002404,嘉欣丝绸,2021-01-01,2024-12-31,updated,969,
002405,四维图新,2021-01-01,2024-12-31,updated,969,
002406,远东传动,2021-01-01,2024-12-31,updated,969,
002407,多氟多,2021-01-01,2024-12-31,updated,969,
002408,齐翔腾达,2021-01-01,2024-12-31,updated,969,
002409,雅克科技,2021-01-01,2024-12-31,updated,969,
002410,广联达,2021-01-01,2024-12-31,updated,969,
002412,汉森制药,2021-01-01,2024-12-31,updated,969,
002413,雷科防务,2021-01-01,2024-12-31,updated,969,
002414,高德红外,2021-01-01,2024-12-31,updated,969,
002415,海康威视,2021-01-01,2024-12-31,updated,969,
002416,爱施德,2021-01-01,2024-12-31,updated,969,
002418,康盛股份,2021-01-01,2024-12-31,updated,969,
002419,天虹股份,2021-01-01,2024-12-31,updated,969,
002420,毅昌科技,2021-01-01,2024-12-31,updated,969,
002421,达实智能,2021-01-01,2024-12-31,updated,969,
002422,科伦药业,2021-01-01,2024-12-31,updated,969,
002423,中粮资本,2021-01-01,2024-12-31,updated,969,
002424,ST百灵,2021-01-01,2024-12-31,updated,969,
002425,凯撒文化,2021-01-01,2024-12-31,updated,969,
002426,胜利精密,2021-01-01,2024-12-31,updated,969,
002427,尤夫股份,2021-01-01,2024-12-31,updated,969,
002428,云南锗业,2021-01-01,2024-12-31,updated,969,
002429,兆驰股份,2021-01-01,2024-12-31,updated,969,
002430,杭氧股份,2021-01-01,2024-12-31,updated,969,
002431,ST棕榈,2021-01-01,2024-12-31,updated,969,
002432,九安医疗,2021-01-01,2024-12-31,updated,969,
002434,万里扬,2021-01-01,2024-12-31,updated,969,
002436,兴森科技,2021-01-01,2024-12-31,updated,969,
002437,誉衡药业,2021-01-01,2024-12-31,updated,969,
002438,江苏神通,2021-01-01,2024-12-31,updated,969,
002439,启明星辰,2021-01-01,2024-12-31,updated,969,
002440,闰土股份,2021-01-01,2024-12-31,updated,969,
002441,众业达,2021-01-01,2024-12-31,updated,969,
002442,龙星科技,2021-01-01,2024-12-31,updated,969,
002443,金洲管道,2021-01-01,2024-12-31,updated,969,
002444,巨星科技,2021-01-01,2024-12-31,updated,969,
002445,中南文化,2021-01-01,2024-12-31,updated,969,
002446,盛路通信,2021-01-01,2024-12-31,updated,969,
002448,中原内配,2021-01-01,2024-12-31,updated,969,
002449,国星光电,2021-01-01,2024-12-31,updated,969,
002451,摩恩电气,2021-01-01,2024-12-31,updated,969,
002452,长高电气,2021-01-01,2024-12-31,updated,969,
002453,华软科技,2021-01-01,2024-12-31,updated,969,
002454,松芝股份,2021-01-01,2024-12-31,updated,969,
002455,百川股份,2021-01-01,2024-12-31,updated,969,
002456,欧菲光,2021-01-01,2024-12-31,updated,969,
002457,青龙管业,2021-01-01,2024-12-31,updated,969,
002458,益生股份,2021-01-01,2024-12-31,updated,969,
