code,name,start_date,end_date,status,rows,reason
000001,平安银行,2021-01-01,2024-12-31,updated,969,
000002,万科A,2021-01-01,2024-12-31,updated,969,
000004,*ST国华,2021-01-01,2024-12-31,updated,969,
000006,深振业A,2021-01-01,2024-12-31,updated,969,
000007,全新好,2021-01-01,2024-12-31,updated,969,
000008,神州高铁,2021-01-01,2024-12-31,updated,969,
000009,中国宝安,2021-01-01,2024-12-31,updated,969,
000010,*ST美丽,2021-01-01,2024-12-31,updated,969,
000011,深物业A,2021-01-01,2024-12-31,updated,969,
000012,南玻A,2021-01-01,2024-12-31,updated,969,
000014,沙河股份,2021-01-01,2024-12-31,updated,969,
000016,*ST康佳A,2021-01-01,2024-12-31,updated,969,
000017,深中华A,2021-01-01,2024-12-31,updated,969,
000019,深粮控股,2021-01-01,2024-12-31,updated,969,
000020,深华发A,2021-01-01,2024-12-31,updated,969,
000021,深科技,2021-01-01,2024-12-31,updated,969,
000025,特力A,2021-01-01,2024-12-31,updated,969,
000026,飞亚达,2021-01-01,2024-12-31,updated,969,
000027,深圳能源,2021-01-01,2024-12-31,updated,969,
000028,国药一致,2021-01-01,2024-12-31,updated,969,
000029,深深房A,2021-01-01,2024-12-31,updated,969,
000030,富奥股份,2021-01-01,2024-12-31,updated,969,
000031,大悦城,2021-01-01,2024-12-31,updated,969,
000032,深桑达A,2021-01-01,2024-12-31,updated,969,
000034,神州数码,2021-01-01,2024-12-31,updated,969,
000035,中国天楹,2021-01-01,2024-12-31,updated,969,
000036,华联控股,2021-01-01,2024-12-31,updated,969,
000037,深南电A,2021-01-01,2024-12-31,updated,969,
000039,中集集团,2021-01-01,2024-12-31,updated,969,
000042,中洲控股,2021-01-01,2024-12-31,updated,969,
000045,深纺织A,2021-01-01,2024-12-31,updated,969,
000048,京基智农,2021-01-01,2024-12-31,updated,969,
000049,德赛电池,2021-01-01,2024-12-31,updated,969,
000050,深天马A,2021-01-01,2024-12-31,updated,969,
000055,方大集团,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000055, error=10001001, msg=用户未登录"
000056,*ST皇庭,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000056, error=10001001, msg=用户未登录"
000058,深赛格,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000058, error=10001001, msg=用户未登录"
000059,华锦股份,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000059, error=10001001, msg=用户未登录"
000060,中金岭南,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000060, error=10001001, msg=用户未登录"
000061,农产品,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000061, error=10001001, msg=用户未登录"
000062,深圳华强,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000062, error=10001001, msg=用户未登录"
000063,中兴通讯,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000063, error=10001001, msg=用户未登录"
000065,北方国际,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000065, error=10001001, msg=用户未登录"
000066,中国长城,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000066, error=10001001, msg=用户未登录"
000068,华控赛格,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000068, error=10001001, msg=用户未登录"
000069,华侨城A,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000069, error=10001001, msg=用户未登录"
000070,特发信息,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000070, error=10001001, msg=用户未登录"
000078,ST海王,2021-01-01,2024-12-31,failed,0,"RuntimeError: query_history_k_data_plus failed: code=sz.000078, error=10001001, msg=用户未登录"
000055,方大集团,2021-01-01,2024-12-31,updated,969,
000056,*ST皇庭,2021-01-01,2024-12-31,updated,969,
000058,深赛格,2021-01-01,2024-12-31,updated,969,
000059,华锦股份,2021-01-01,2024-12-31,updated,969,
000060,中金岭南,2021-01-01,2024-12-31,updated,969,
000061,农产品,2021-01-01,2024-12-31,updated,969,
000062,深圳华强,2021-01-01,2024-12-31,updated,969,
000063,中兴通讯,2021-01-01,2024-12-31,updated,969,
000065,北方国际,2021-01-01,2024-12-31,updated,969,
000066,中国长城,2021-01-01,2024-12-31,updated,969,
000068,华控赛格,2021-01-01,2024-12-31,updated,969,
000069,华侨城A,2021-01-01,2024-12-31,updated,969,
000070,特发信息,2021-01-01,2024-12-31,updated,969,
000078,ST海王,2021-01-01,2024-12-31,updated,969,
000088,盐田港,2021-01-01,2024-12-31,updated,969,
000089,深圳机场,2021-01-01,2024-12-31,updated,969,
000090,天健集团,2021-01-01,2024-12-31,updated,969,
000096,广聚能源,2021-01-01,2024-12-31,updated,969,
000099,中信海直,2021-01-01,2024-12-31,updated,969,
000100,TCL科技,2021-01-01,2024-12-31,updated,969,
000151,中成股份,2021-01-01,2024-12-31,updated,969,
000153,丰原药业,2021-01-01,2024-12-31,updated,969,
000155,川能动力,2021-01-01,2024-12-31,updated,969,
000156,华数传媒,2021-01-01,2024-12-31,updated,969,
000157,中联重科,2021-01-01,2024-12-31,updated,969,
000158,常山北明,2021-01-01,2024-12-31,updated,969,
