time,code,name,reason
2026-06-08 00:38:49,300412,迦南科技,"RuntimeError: query_history_k_data_plus failed: code=sz.300412, error=10001001, msg=用户未登录"
2026-06-08 00:38:58,300413,芒果超媒,"RuntimeError: query_history_k_data_plus failed: code=sz.300413, error=10001001, msg=用户未登录"
2026-06-08 00:39:06,300414,中光防雷,"RuntimeError: query_history_k_data_plus failed: code=sz.300414, error=10001001, msg=用户未登录"
2026-06-08 00:40:13,300415,伊之密,"RuntimeError: query_history_k_data_plus failed: code=sz.300415, error=10002007, msg=网络接收错误。"
2026-06-08 00:41:28,300416,苏试试验,"RuntimeError: query_history_k_data_plus failed: code=sz.300416, error=10001001, msg=用户未登录"
2026-06-08 00:41:35,300417,南华仪器,"RuntimeError: query_history_k_data_plus failed: code=sz.300417, error=10001001, msg=用户未登录"
2026-06-08 00:41:41,300418,昆仑万维,"RuntimeError: query_history_k_data_plus failed: code=sz.300418, error=10001001, msg=用户未登录"
2026-06-08 00:41:47,300419,ST浩丰,"RuntimeError: query_history_k_data_plus failed: code=sz.300419, error=10001001, msg=用户未登录"
2026-06-08 00:41:53,300420,五洋自控,"RuntimeError: query_history_k_data_plus failed: code=sz.300420, error=10001001, msg=用户未登录"
2026-06-08 00:42:00,300421,力星股份,"RuntimeError: query_history_k_data_plus failed: code=sz.300421, error=10001001, msg=用户未登录"
2026-06-08 00:42:06,300422,博世科,"RuntimeError: query_history_k_data_plus failed: code=sz.300422, error=10001001, msg=用户未登录"
2026-06-08 00:42:12,300423,昇辉科技,"RuntimeError: query_history_k_data_plus failed: code=sz.300423, error=10001001, msg=用户未登录"
2026-06-08 00:42:18,300424,航新科技,"RuntimeError: query_history_k_data_plus failed: code=sz.300424, error=10001001, msg=用户未登录"
2026-06-08 00:42:26,300425,中建环能,"RuntimeError: query_history_k_data_plus failed: code=sz.300425, error=10001001, msg=用户未登录"
2026-06-08 00:43:05,300426,华智数媒,"RuntimeError: query_history_k_data_plus failed: code=sz.300426, error=10001001, msg=用户未登录"
2026-06-08 00:43:41,300427,红相股份,"RuntimeError: query_history_k_data_plus failed: code=sz.300427, error=10001001, msg=用户未登录"
2026-06-08 00:43:48,300428,立中集团,"RuntimeError: query_history_k_data_plus failed: code=sz.300428, error=10001001, msg=用户未登录"
2026-06-08 00:43:55,300429,强力新材,"RuntimeError: query_history_k_data_plus failed: code=sz.300429, error=10001001, msg=用户未登录"
2026-06-08 00:44:02,300430,*ST益通,"RuntimeError: query_history_k_data_plus failed: code=sz.300430, error=10001001, msg=用户未登录"
2026-06-08 00:44:09,300432,富临精工,"RuntimeError: query_history_k_data_plus failed: code=sz.300432, error=10001001, msg=用户未登录"
2026-06-08 00:44:20,300433,蓝思科技,"RuntimeError: query_history_k_data_plus failed: code=sz.300433, error=10001001, msg=用户未登录"
2026-06-08 00:51:09,300928,华安鑫创,"RuntimeError: query_history_k_data_plus failed: code=sz.300928, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:13,300893,松原安全,"RuntimeError: query_history_k_data_plus failed: code=sz.300893, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:15,300929,华骐环保,"RuntimeError: query_history_k_data_plus failed: code=sz.300929, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:19,300894,火星人,"RuntimeError: query_history_k_data_plus failed: code=sz.300894, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:21,300930,屹通新材,"RuntimeError: query_history_k_data_plus failed: code=sz.300930, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:25,300895,铜牛信息,"RuntimeError: query_history_k_data_plus failed: code=sz.300895, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:27,300931,通用电梯,"RuntimeError: query_history_k_data_plus failed: code=sz.300931, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:31,300896,爱美客,"RuntimeError: query_history_k_data_plus failed: code=sz.300896, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:33,300932,三友联众,"RuntimeError: query_history_k_data_plus failed: code=sz.300932, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:38,300897,山科智能,"RuntimeError: query_history_k_data_plus failed: code=sz.300897, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:39,300933,中辰股份,"RuntimeError: query_history_k_data_plus failed: code=sz.300933, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:44,300898,熊猫乳品,"RuntimeError: query_history_k_data_plus failed: code=sz.300898, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:50,300899,上海凯鑫,"RuntimeError: query_history_k_data_plus failed: code=sz.300899, error=10002007, msg=网络接收错误。"
2026-06-08 00:51:56,300900,广联航空,"RuntimeError: query_history_k_data_plus failed: code=sz.300900, error=10002007, msg=网络接收错误。"
2026-06-08 00:52:02,300901,中胤时尚,"RuntimeError: query_history_k_data_plus failed: code=sz.300901, error=10002007, msg=网络接收错误。"
2026-06-08 00:52:08,300902,国安达,"RuntimeError: query_history_k_data_plus failed: code=sz.300902, error=10002007, msg=网络接收错误。"
2026-06-08 00:52:14,300903,科翔股份,"RuntimeError: query_history_k_data_plus failed: code=sz.300903, error=10002007, msg=网络接收错误。"
