code,name,start_date,end_date,status,rows,reason
300334,津膜科技,2021-01-01,2024-12-31,updated,969,
300335,迪森股份,2021-01-01,2024-12-31,updated,969,
300337,银邦股份,2021-01-01,2024-12-31,updated,969,
300338,*ST开元,2021-01-01,2024-12-31,updated,969,
300339,润和软件,2021-01-01,2024-12-31,updated,969,
300340,科恒股份,2021-01-01,2024-12-31,updated,969,
300341,麦克奥迪,2021-01-01,2024-12-31,updated,969,
300342,天银机电,2021-01-01,2024-12-31,updated,969,
300343,ST联创,2021-01-01,2024-12-31,updated,969,
300345,华民股份,2021-01-01,2024-12-31,updated,969,
300346,南大光电,2021-01-01,2024-12-31,updated,969,
300347,泰格医药,2021-01-01,2024-12-31,updated,969,
300348,长亮科技,2021-01-01,2024-12-31,updated,969,
300349,金卡智能,2021-01-01,2024-12-31,updated,969,
300350,华鹏飞,2021-01-01,2024-12-31,updated,969,
300351,永贵电器,2021-01-01,2024-12-31,updated,969,
300352,ST信源,2021-01-01,2024-12-31,updated,969,
300353,东土科技,2021-01-01,2024-12-31,updated,969,
300354,东华测试,2021-01-01,2024-12-31,updated,969,
300355,蒙草生态,2021-01-01,2024-12-31,updated,969,
300357,我武生物,2021-01-01,2024-12-31,updated,969,
300358,楚天科技,2021-01-01,2024-12-31,updated,969,
300359,全通教育,2021-01-01,2024-12-31,updated,969,
300360,炬华科技,2021-01-01,2024-12-31,updated,969,
300363,博腾股份,2021-01-01,2024-12-31,updated,969,
300364,中文在线,2021-01-01,2024-12-31,updated,969,
300365,恒华科技,2021-01-01,2024-12-31,updated,969,
300366,ST创意,2021-01-01,2024-12-31,updated,969,
300368,汇金股份,2021-01-01,2024-12-31,updated,969,
300369,绿盟科技,2021-01-01,2024-12-31,updated,969,
300370,安控科技,2021-01-01,2024-12-31,updated,969,
300371,汇中股份,2021-01-01,2024-12-31,updated,969,
300373,扬杰科技,2021-01-01,2024-12-31,updated,969,
300374,中铁装配,2021-01-01,2024-12-31,updated,969,
300375,鹏翎股份,2021-01-01,2024-12-31,updated,969,
300376,易事特,2021-01-01,2024-12-31,updated,969,
300377,赢时胜,2021-01-01,2024-12-31,updated,969,
300378,鼎捷数智,2021-01-01,2024-12-31,updated,969,
300380,安硕信息,2021-01-01,2024-12-31,updated,969,
300381,溢多利,2021-01-01,2024-12-31,updated,969,
300382,斯莱克,2021-01-01,2024-12-31,updated,969,
