code,name,start_date,end_date,status,rows,reason
605058,澳弘电子,2021-01-01,2024-12-31,updated,969,
605060,联德股份,2021-01-01,2024-12-31,updated,934,
605066,天正电气,2021-01-01,2024-12-31,updated,969,
605068,明新旭腾,2021-01-01,2024-12-31,updated,969,
605069,正和生态,2021-01-01,2024-12-31,updated,819,
605077,华康股份,2021-01-01,2024-12-31,updated,943,
605080,浙江自然,2021-01-01,2024-12-31,updated,890,
605081,*ST太和,2021-01-01,2024-12-31,updated,943,
605086,龙高股份,2021-01-01,2024-12-31,updated,901,
605088,冠盛股份,2021-01-01,2024-12-31,updated,969,
605089,味知香,2021-01-01,2024-12-31,updated,894,
605090,九丰能源,2021-01-01,2024-12-31,updated,877,
605098,行动教育,2021-01-01,2024-12-31,updated,898,
605099,共创草坪,2021-01-01,2024-12-31,updated,969,
605100,华丰股份,2021-01-01,2024-12-31,updated,969,
605108,同庆楼,2021-01-01,2024-12-31,updated,969,
605111,新洁能,2021-01-01,2024-12-31,updated,969,
605116,奥锐特,2021-01-01,2024-12-31,updated,969,
605117,德业股份,2021-01-01,2024-12-31,updated,899,
605118,力鼎光电,2021-01-01,2024-12-31,updated,969,
605122,四方新材,2021-01-01,2024-12-31,updated,927,
605123,派克新材,2021-01-01,2024-12-31,updated,969,
605128,上海沿浦,2021-01-01,2024-12-31,updated,969,
605133,嵘泰股份,2021-01-01,2024-12-31,updated,937,
605136,丽人丽妆,2021-01-01,2024-12-31,updated,969,
605138,盛泰集团,2021-01-01,2024-12-31,updated,774,
605151,西上海,2021-01-01,2024-12-31,updated,969,
605155,西大门,2021-01-01,2024-12-31,updated,969,
605158,华达新材,2021-01-01,2024-12-31,updated,969,
605162,新中港,2021-01-01,2024-12-31,updated,847,
605166,聚合顺,2021-01-01,2024-12-31,updated,969,
605167,利柏特,2021-01-01,2024-12-31,updated,834,
605168,三人行,2021-01-01,2024-12-31,updated,969,
605169,洪通燃气,2021-01-01,2024-12-31,updated,969,
