rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.25357096937996,80.44687895461107,601015,陕西黑猫,bottom_area,2022-08-03,5.32,2022-08-02,5.3,0.3773584905660465,5.094339622641518,27.1978021978022,False,-1.4815,0.7388,4,4,4,100.0,24.0712705005465,65.6514382402707,7.622641509433954,0.3773584905660465,历史4/4次成功; 当前距低点0.38%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
2,85.40002325487893,80.98312247462289,002761,浙江建投,confirmed_rebound,2022-08-03,24.51,2022-08-02,24.21,1.239157372986372,8.756712102437,31.93702558335676,False,-2.0775,3.299,3,3,3,100.0,24.561297231353766,43.73730534867976,6.760842627013627,1.239157372986372,历史3/3次成功; 当前距低点1.24%; 最新日涨幅-2.08%; 状态confirmed_rebound; 底部未确认
3,82.305086456361,77.81703424853832,002157,正邦科技,bottom_area,2022-08-03,5.59,2022-08-02,5.53,1.0849909584086728,6.329113924050627,28.737113402061848,False,-1.5845,1.7443,2,2,2,100.0,12.101148568333835,13.751169317118809,6.915009041591327,1.0849909584086728,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
4,79.88194911319296,78.35197150676784,688185,康希诺,bottom_area,2022-08-03,153.06,2022-08-02,148.61,2.994414911513349,6.76266738442903,31.827148034313495,False,1.1499,2.5359,2,2,2,100.0,15.909879059238028,19.236097367900253,5.005585088486651,2.994414911513349,历史2/2次成功; 当前距低点2.99%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
5,78.87188549487222,77.18096960530374,603069,海汽集团,confirmed_rebound,2022-08-03,25.78,2022-08-02,25.06,2.8731045490822127,8.180367118914608,28.029867892016085,True,-2.5699,4.4292,3,3,3,100.0,14.955096651673086,21.284943599803825,5.126895450917787,2.8731045490822127,历史3/3次成功; 当前距低点2.87%; 最新日涨幅-2.57%; 状态confirmed_rebound; 底部已确认
6,78.46200000000002,72.65,002150,正泰电源,bottom_area,2022-08-03,9.01,2022-08-03,9.01,0.0,5.105438401775815,32.102486812358705,False,-9.99,13.645,1,1,1,100.0,164.87025948103792,164.87025948103792,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
7,77.11264619500714,73.17707254550118,300359,全通教育,confirmed_rebound,2022-08-03,4.76,2022-08-02,4.7,1.2765957446808427,8.51063829787233,30.882352941176467,False,-0.4184,1.3415,1,1,1,100.0,16.38554216867469,16.38554216867469,6.723404255319157,1.2765957446808427,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-0.42%; 状态confirmed_rebound; 底部未确认
8,77.07868020516106,76.22874300096908,601700,风范股份,bottom_area,2022-08-03,5.74,2022-08-02,5.55,3.4234234234234306,6.486486486486492,27.922077922077925,False,2.5,7.2283,2,2,2,100.0,9.753486055776893,10.756972111553786,4.57657657657657,3.4234234234234306,历史2/2次成功; 当前距低点3.42%; 最新日涨幅2.50%; 状态bottom_area; 底部未确认
9,76.07398673246476,70.94398886827456,002110,三钢闽光,bottom_area,2022-08-03,5.41,2022-08-03,5.39,0.37105751391466535,2.968460111317257,27.456258411843876,False,-1.9928,0.5864,1,1,1,100.0,22.90322580645161,22.90322580645161,7.628942486085334,0.37105751391466535,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
10,75.73793786666056,70.50970751479032,000619,海螺新材,bottom_area,2022-08-03,7.11,2022-08-03,7.09,0.28208744710861017,6.488011283497884,29.592850049652437,False,-3.0014,4.0418,1,1,1,100.0,29.692832764505106,29.692832764505106,7.71791255289139,0.28208744710861017,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
11,74.60976414393937,70.18429418858577,000715,中兴商业,bottom_area,2022-08-03,4.91,2022-08-03,4.87,0.8213552361396311,4.928131416837787,27.421758569299552,False,-1.6032,2.524,1,1,1,100.0,24.33862433862435,24.33862433862435,7.178644763860369,0.8213552361396311,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
12,72.87854809714905,68.43023072982994,600062,华润双鹤,bottom_area,2022-08-03,19.42,2022-08-03,19.28,0.7261410788381771,4.875518672199158,29.299596626329294,False,-2.4121,3.34,1,1,1,100.0,13.741034352585885,13.741034352585885,7.273858921161823,0.7261410788381771,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
13,72.7208480868083,68.5095694313406,600248,陕建股份,bottom_area,2022-08-03,4.49,2022-08-03,4.45,0.8988764044943828,4.044943820224713,28.2258064516129,False,-1.7505,1.5044,1,1,1,100.0,16.28498727735369,16.28498727735369,7.101123595505618,0.8988764044943828,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
14,72.2800452642053,67.60320458303804,601007,金陵饭店,bottom_area,2022-08-03,7.69,2022-08-03,7.65,0.5228758169934644,5.88235294117646,31.574239713774592,False,-3.6341,1.235,1,1,1,100.0,17.018072289156624,17.018072289156624,7.477124183006535,0.5228758169934644,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-3.63%; 状态bottom_area; 底部未确认
15,72.13081889763781,66.78779527559055,601828,美凯龙,bottom_area,2022-08-03,4.81,2022-08-03,4.81,0.0,3.534303534303552,27.010622154779973,False,-1.636,0.6631,1,1,1,100.0,8.267716535433069,8.267716535433069,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
16,71.48377848068566,66.95625995068684,002043,兔宝宝,bottom_area,2022-08-03,8.4,2022-08-03,8.35,0.5988023952095893,7.185628742514965,30.125523012552303,False,-3.6697,2.8435,1,1,1,100.0,14.470588235294123,14.470588235294123,7.4011976047904104,0.5988023952095893,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
17,70.08363927223856,65.52481973386256,002379,宏桥控股,confirmed_rebound,2022-08-03,3.99,2022-08-03,3.97,0.5037783375314866,8.81612090680101,28.725314183123878,False,-7.4246,8.9753,1,1,1,100.0,15.824915824915816,15.824915824915816,7.496221662468513,0.5037783375314866,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-7.42%; 状态confirmed_rebound; 底部未确认
18,69.16734816155869,68.68534573534573,000761,本钢板材,confirmed_rebound,2022-08-03,3.42,2022-07-15,3.3,3.63636363636364,8.484848484848492,31.818181818181817,True,-2.2857,0.2085,1,1,1,100.0,11.969111969111971,11.969111969111971,4.363636363636361,3.63636363636364,历史1/1次成功; 当前距低点3.64%; 最新日涨幅-2.29%; 状态confirmed_rebound; 底部已确认
