rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.93602321873132,75.94915912655327,600620,天宸股份,bottom_area,2025-08-07,6.26,2025-08-04,6.14,1.9543973941368098,3.094462540716619,27.078384798099762,False,-0.4769,1.0199,1,1,1,100.0,29.38271604938273,29.38271604938273,18.04560260586319,1.9543973941368098,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
2,87.57421221380336,73.15662502439974,603839,安正时尚,bottom_area,2025-08-07,7.53,2025-08-07,7.52,0.13297872340426428,1.5957446808510654,27.552986512524097,False,-1.8253,4.5527,1,1,1,100.0,31.88073394495412,31.88073394495412,19.867021276595736,0.13297872340426428,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
3,85.29723766498388,71.95507153709318,605033,美邦股份,bottom_area,2025-08-07,21.13,2025-08-04,20.99,0.6669842782277302,1.9533111005240598,32.50803858520901,False,-0.8912,2.6066,1,1,1,100.0,31.96664350243223,31.96664350243223,19.33301572177227,0.6669842782277302,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
4,84.51145582335495,75.81642523676135,603928,兴业股份,bottom_area,2025-08-07,15.73,2025-08-01,15.12,4.034391534391543,4.828042328042331,32.16689098250337,False,0.898,3.3072,1,1,1,100.0,31.69267707082834,31.69267707082834,15.965608465608458,4.034391534391543,历史1/1次成功; 当前距低点4.03%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
5,84.03610375049463,71.0693187704436,002987,京北方,bottom_area,2025-08-07,20.06,2025-08-04,19.9,0.8040201005025134,2.41206030150754,28.158844765342966,False,-0.7422,2.4309,1,1,1,100.0,28.88432580424366,28.88432580424366,19.195979899497488,0.8040201005025134,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
6,83.3509224517891,72.81350182823614,300963,中洲特材,bottom_area,2025-08-07,19.5,2025-08-01,19.01,2.5775907417148787,6.049447659126767,27.93783169067475,False,-1.2658,4.6754,1,1,1,100.0,20.163487738419626,20.163487738419626,17.42240925828512,2.5775907417148787,历史1/1次成功; 当前距低点2.58%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
7,83.28049025158664,72.20643587218647,002658,雪迪龙,bottom_area,2025-08-07,8.02,2025-08-01,7.85,2.1656050955414003,2.292993630573245,31.50087260034905,False,0.3755,2.8845,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,17.834394904458602,2.1656050955414003,历史2/3次成功; 当前距低点2.17%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
8,79.62143561573315,71.3556414270312,000999,华润三九,bottom_area,2025-08-07,31.63,2025-07-15,30.42,3.977646285338584,7.133464825772523,30.036798528058867,True,-0.7531,0.7556,1,1,1,100.0,20.293951384963254,20.293951384963254,16.022353714661417,3.977646285338584,历史1/1次成功; 当前距低点3.98%; 最新日涨幅-0.75%; 状态bottom_area; 底部已确认
9,75.27918376889555,63.72697473231431,000607,华媒控股,bottom_area,2025-08-07,4.7,2025-07-31,4.66,0.858369098712447,3.433476394849788,29.924812030075188,False,-1.0526,2.6076,2,4,2,50.0,48.408904717089726,59.82721382289418,19.141630901287556,0.858369098712447,历史2/4次成功; 当前距低点0.86%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
10,75.13868710867567,62.712215118765144,001226,拓山重工,bottom_area,2025-08-07,35.69,2025-08-07,35.66,0.08412787436904413,1.8508132361189114,31.449442522106892,False,-1.6804,4.4869,2,4,2,50.0,33.46250899100309,41.451766953199616,19.91587212563096,0.08412787436904413,历史2/4次成功; 当前距低点0.08%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
11,74.89244778074941,64.60179948586118,002636,金安国纪,bottom_area,2025-08-07,11.89,2025-07-25,11.67,1.8851756640959778,7.112253641816624,29.698795180722897,True,-0.7513,2.6972,1,2,1,50.0,69.0,69.0,18.11482433590402,1.8851756640959778,历史1/2次成功; 当前距低点1.89%; 最新日涨幅-0.75%; 状态bottom_area; 底部已确认
12,72.53022991582829,62.5066422411253,000514,渝开发,bottom_area,2025-08-07,5.55,2025-08-06,5.45,1.8348623853210944,2.3853211009174293,27.13903743315508,False,0.3617,3.0742,1,2,1,50.0,24.839400428265527,24.839400428265527,18.165137614678905,1.8348623853210944,历史1/2次成功; 当前距低点1.83%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
13,68.82222392677514,60.423070528291746,603022,新通联,bottom_area,2025-08-07,10.46,2025-07-24,10.17,2.851524090462153,3.3431661750245802,32.33532934131736,False,0.0,2.4816,1,2,1,50.0,26.099706744868023,26.099706744868023,17.148475909537847,2.851524090462153,历史1/2次成功; 当前距低点2.85%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,65.70221930113998,55.57074055103217,300651,金陵体育,bottom_area,2025-08-07,21.15,2025-08-04,20.98,0.8102955195424125,4.814108674928494,29.949916527545906,False,-1.0758,8.7698,2,5,2,40.0,25.635560944026203,25.720461095100855,19.18970448045759,0.8102955195424125,历史2/5次成功; 当前距低点0.81%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
15,63.18318195522814,52.73335097001763,001331,胜通能源,bottom_area,2025-08-07,11.98,2025-08-07,11.97,0.08354218880534492,2.923976608187131,29.2971057294743,False,-4.3895,36.3481,1,2,1,50.0,23.35390946502057,23.35390946502057,19.916457811194658,0.08354218880534492,历史1/2次成功; 当前距低点0.08%; 最新日涨幅-4.39%; 状态bottom_area; 底部未确认
16,62.24642911888647,56.75723203049152,000637,茂化实华,bottom_area,2025-08-07,4.26,2025-07-07,4.06,4.926108374384242,7.142857142857144,27.370304114490168,True,0.9479,2.8443,1,2,1,50.0,22.627737226277358,22.627737226277358,15.07389162561576,4.926108374384242,历史1/2次成功; 当前距低点4.93%; 最新日涨幅0.95%; 状态bottom_area; 底部已确认
17,55.84705138779191,50.899782781036926,600241,时代万恒,bottom_area,2025-08-07,8.56,2025-07-15,8.16,4.901960784313729,6.127450980392156,30.25641025641025,False,-0.6961,2.1778,1,2,1,50.0,22.50673854447439,22.50673854447439,15.09803921568627,4.901960784313729,历史1/2次成功; 当前距低点4.90%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
