rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.91310903923207,86.20754131940551,603327,福蓉科技,bottom_area,2023-06-05,11.63,2023-06-01,11.25,3.3777777777777844,3.8222222222222197,27.419354838709676,False,1.6608,0.361,4,4,4,100.0,29.510078778165898,52.609776304888165,6.622222222222216,3.3777777777777844,历史4/4次成功; 当前距低点3.38%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
2,87.70001475645557,81.30384974507182,002179,中航光电,bottom_area,2023-06-05,41.35,2023-06-05,40.93,1.0261421939897426,3.322746151966771,28.743036211699163,False,-1.4538,0.3809,1,1,1,100.0,46.79276315789475,46.79276315789475,8.973857806010258,1.0261421939897426,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
3,86.74547806717717,81.40442363439637,600009,上海机场,bottom_area,2023-06-05,45.8,2023-06-01,45.05,1.6648168701442843,3.1076581576026765,29.477144646211656,False,-0.4131,0.3308,3,3,3,100.0,21.829065044759854,27.704918032786885,8.335183129855716,1.6648168701442843,历史3/3次成功; 当前距低点1.66%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
4,85.67344077577397,78.38939271146175,002795,永和智控,bottom_area,2023-06-05,8.9,2023-06-05,8.87,0.33821871476889676,3.0439684329199705,32.803030303030305,False,-0.5587,2.2889,3,3,3,100.0,29.196405274918448,31.302270011947446,9.661781285231104,0.33821871476889676,历史3/3次成功; 当前距低点0.34%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
5,85.51220275229159,82.24597503556808,002570,贝因美,bottom_area,2023-06-05,4.18,2023-05-30,4.06,2.955665024630545,3.694581280788187,29.636048526863085,False,0.0,0.5958,3,3,3,100.0,19.703716622181236,35.05154639175259,7.0443349753694555,2.955665024630545,历史3/3次成功; 当前距低点2.96%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,83.52065996048802,80.28637472283813,000890,法尔胜,bottom_area,2023-06-05,4.22,2023-05-19,4.1,2.926829268292686,7.56097560975611,27.689594356261026,True,0.716,1.1851,1,1,1,100.0,32.954545454545446,32.954545454545446,7.073170731707315,2.926829268292686,历史1/1次成功; 当前距低点2.93%; 最新日涨幅0.72%; 状态bottom_area; 底部已确认
7,82.89406656572865,77.24895092146757,688238,和元生物,bottom_area,2023-06-05,12.48,2023-06-05,12.32,1.2987012987012998,3.490259740259738,31.47942157953281,False,-1.9639,1.3634,2,2,2,100.0,11.666612271540478,11.958224543080954,8.701298701298702,1.2987012987012998,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
8,82.62833488827691,75.47167548147978,601012,隆基绿能,bottom_area,2023-06-05,28.41,2023-06-05,28.34,0.24700070571630306,3.422724064925896,31.710843373493976,False,-2.8386,1.426,3,3,3,100.0,12.391597260822351,14.403553299492398,9.752999294283697,0.24700070571630306,历史3/3次成功; 当前距低点0.25%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
9,82.49929562279998,81.31082313741118,688075,安旭生物,bottom_area,2023-06-05,67.39,2023-05-10,64.65,4.2382057231245085,7.764887857695276,30.37906525953047,True,-0.8533,1.6155,5,5,5,100.0,27.010388097500325,40.134529147982065,5.7617942768754915,4.2382057231245085,历史5/5次成功; 当前距低点4.24%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
10,81.92732901441126,75.97993416750643,001201,东瑞股份,bottom_area,2023-06-05,23.2,2023-06-01,22.96,1.04529616724738,2.700348432055738,32.4308416715715,False,-0.3436,0.9378,1,1,1,100.0,18.4043517679057,18.4043517679057,8.954703832752621,1.04529616724738,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
11,80.05471308654832,75.39698432514913,688289,圣湘生物,bottom_area,2023-06-05,18.13,2023-05-29,17.8,1.8539325842696532,3.8202247191011214,27.789046653144013,False,-0.7663,0.4729,1,1,1,100.0,25.182530200451346,25.182530200451346,8.146067415730347,1.8539325842696532,历史1/1次成功; 当前距低点1.85%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
12,79.92346021264355,75.71776576348238,000798,中水渔业,bottom_area,2023-06-05,9.92,2023-06-01,9.71,2.162718846549939,4.119464469618935,31.76387912860154,False,-1.7822,1.4014,2,2,2,100.0,14.025616847399025,17.3015873015873,7.8372811534500615,2.162718846549939,历史2/2次成功; 当前距低点2.16%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
13,79.5523165526007,74.13250704373266,300498,温氏股份,bottom_area,2023-06-05,16.4,2023-06-05,16.19,1.2970969734403786,4.014823965410738,28.362831858407077,False,-2.786,0.8041,1,1,1,100.0,11.558538404175993,11.558538404175993,8.702903026559621,1.2970969734403786,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
