rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,78.04941885400457,75.67861670437713,000538,云南白药,bottom_area,2022-05-10,54.7,2022-05-05,53.42,2.396106327218272,3.350804941969298,30.032743942370654,False,0.3854,0.4259,1,1,1,100.0,10.86956521739131,10.86956521739131,5.6038936727817275,2.396106327218272,历史1/1次成功; 当前距低点2.40%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
2,74.19827509490717,73.21078084169363,002753,永东股份,bottom_area,2022-05-10,6.88,2022-04-29,6.66,3.3033033033032995,5.855855855855851,27.21311475409836,False,0.0,1.0061,1,1,1,100.0,8.722109533468572,8.722109533468572,4.6966966966967005,3.3033033033032995,历史1/1次成功; 当前距低点3.30%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,73.34258859158328,72.85008100171252,000959,首钢股份,bottom_area,2022-05-10,4.26,2022-05-10,4.11,3.649635036496337,4.1362530413625285,32.40131578947368,False,-0.4673,0.8638,2,2,2,100.0,16.83467142432352,25.423728813559325,4.350364963503663,3.649635036496337,历史2/2次成功; 当前距低点3.65%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
4,71.15412680505767,71.8759983031674,600250,南京商旅,bottom_area,2022-05-10,4.62,2022-04-28,4.42,4.524886877828059,7.692307692307689,31.472868217054266,True,-0.216,3.1246,2,2,2,100.0,13.133012820512816,14.8076923076923,3.475113122171942,4.524886877828059,历史2/2次成功; 当前距低点4.52%; 最新日涨幅-0.22%; 状态bottom_area; 底部已确认
5,66.65398239475371,67.5102785706131,302132,中航成飞,confirmed_rebound,2022-05-10,9.65,2022-04-28,9.22,4.663774403470712,13.882863340563983,32.255694342395294,True,-0.4128,2.6543,1,1,1,100.0,18.24561403508772,18.24561403508772,3.336225596529288,4.663774403470712,历史1/1次成功; 当前距低点4.66%; 最新日涨幅-0.41%; 状态confirmed_rebound; 底部已确认
