rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,78.79743387987462,75.2518102648414,000538,云南白药,bottom_area,2022-05-05,54.8,2022-05-05,53.42,2.583302134032189,3.350804941969298,30.032743942370654,False,2.7372,0.8901,1,1,1,100.0,10.86956521739131,10.86956521739131,7.416697865967811,2.583302134032189,历史1/1次成功; 当前距低点2.58%; 最新日涨幅2.74%; 状态bottom_area; 底部未确认
2,76.24854835762156,75.08606689354428,300672,国科微,bottom_area,2022-05-05,61.62,2022-04-28,59.14,4.19343929658437,8.555968887385868,27.60435793854817,True,-1.9102,2.3342,2,2,2,100.0,26.328540267508803,33.08187961653309,5.806560703415631,4.19343929658437,历史2/2次成功; 当前距低点4.19%; 最新日涨幅-1.91%; 状态bottom_area; 底部已确认
3,75.05666216575327,75.02432409502265,600250,南京商旅,bottom_area,2022-05-05,4.64,2022-04-28,4.42,4.977375565610854,7.692307692307689,31.472868217054266,True,1.978,4.4965,2,2,2,100.0,13.133012820512816,14.8076923076923,5.022624434389146,4.977375565610854,历史2/2次成功; 当前距低点4.98%; 最新日涨幅1.98%; 状态bottom_area; 底部已确认
4,71.54412838463277,71.46005772848159,603116,红蜻蜓,bottom_area,2022-05-05,5.1,2022-04-28,4.86,4.938271604938257,8.230452674897109,30.96590909090909,True,0.3937,1.5015,1,1,1,100.0,10.157618213660246,10.157618213660246,5.061728395061743,4.938271604938257,历史1/1次成功; 当前距低点4.94%; 最新日涨幅0.39%; 状态bottom_area; 底部已确认
5,69.880971032369,69.82278537788743,000652,泰达股份,bottom_area,2022-05-05,3.6,2022-04-27,3.43,4.956268221574342,6.413994169096203,28.985507246376805,False,0.5587,1.1951,1,1,1,100.0,10.769230769230779,10.769230769230779,5.043731778425658,4.956268221574342,历史1/1次成功; 当前距低点4.96%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
