rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.39052138099859,79.96015209754609,600048,保利发展,bottom_area,2025-12-31,6.1,2025-12-31,6.08,0.3289473684210456,1.1513157894736887,28.888888888888893,False,0.1642,0.6902,2,2,2,100.0,31.721247836269217,31.987577639751546,14.671052631578954,0.3289473684210456,历史2/2次成功; 当前距低点0.33%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
2,90.32938452187094,83.583446164318,603327,福蓉科技,bottom_area,2025-12-31,10.86,2025-12-19,10.51,3.3301617507136028,7.4215033301617455,29.651941097724226,False,0.277,2.6173,6,7,6,85.71428571428571,45.770740930580004,129.39632545931758,11.669838249286396,3.3301617507136028,历史6/7次成功; 当前距低点3.33%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
3,90.13169601222383,80.15082861059625,600325,华发股份,bottom_area,2025-12-31,4.22,2025-12-31,4.17,1.199040767386087,1.4388489208633213,27.351916376306622,False,0.716,0.7197,3,4,3,75.0,24.406675055035087,32.553606237816766,13.800959232613913,1.199040767386087,历史3/4次成功; 当前距低点1.20%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
4,85.00649735327993,73.9186933506782,300705,九典制药,bottom_area,2025-12-31,14.98,2025-12-30,14.98,0.0,1.1348464619492653,27.49273959341723,False,-1.0568,1.2774,2,2,2,100.0,29.939211562786006,41.42097631706138,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
5,81.78131548689653,72.08460589943437,002910,庄园牧场,bottom_area,2025-12-31,11.11,2025-12-31,11.03,0.7252946509519499,3.173164097914791,31.105559025609004,False,-1.5071,7.3511,1,1,1,100.0,33.37783711615487,33.37783711615487,14.27470534904805,0.7252946509519499,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
6,81.50128911853137,74.47756811078222,300768,迪普科技,bottom_area,2025-12-31,18.53,2025-12-17,18.05,2.659279778393354,5.7063711911357204,29.43706020328381,False,0.4336,1.3623,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,12.340720221606645,2.659279778393354,历史2/3次成功; 当前距低点2.66%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
7,81.06388606704483,71.16686672056612,601699,潞安环能,bottom_area,2025-12-31,11.8,2025-12-31,11.74,0.5110732538330536,1.2776831345826265,27.261462205700127,False,-0.4219,0.5013,1,1,1,100.0,25.817815802717657,25.817815802717657,14.488926746166946,0.5110732538330536,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
8,78.48364439280232,72.2290587794028,603072,天和磁材,bottom_area,2025-12-31,40.69,2025-12-17,39.49,3.038743985819184,6.330716637123322,27.05947543405984,False,-0.9494,2.3193,1,1,1,100.0,22.674167027260935,22.674167027260935,11.961256014180815,3.038743985819184,历史1/1次成功; 当前距低点3.04%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
9,77.69814573530289,67.93939531375601,603696,安记食品,bottom_area,2025-12-31,20.28,2025-12-31,20.22,0.29673590504452163,6.2809099901088015,31.619885018599938,False,-4.3847,13.3861,1,1,1,100.0,16.053511705685615,16.053511705685615,14.703264094955479,0.29673590504452163,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
10,76.61386922297122,67.81052199799667,603322,超讯通信,bottom_area,2025-12-31,38.36,2025-12-26,38.0,0.9473684210526301,3.157894736842113,31.29632977761707,False,-0.8786,3.4212,5,7,5,71.42857142857143,25.025847915496684,39.45833333333333,14.05263157894737,0.9473684210526301,历史5/7次成功; 当前距低点0.95%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
11,74.60040199383369,67.16078427446426,600250,南京商旅,bottom_area,2025-12-31,11.51,2025-12-31,11.3,1.8584070796460093,2.6548672566371585,29.726368159203968,False,0.2613,4.3168,3,7,3,42.857142857142854,32.29313894961615,53.93258426966293,13.14159292035399,1.8584070796460093,历史3/7次成功; 当前距低点1.86%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
12,73.9910904820428,65.40648882390522,000692,惠天热电,bottom_area,2025-12-31,3.44,2025-12-17,3.41,0.8797653958944224,6.744868035190615,28.511530398322844,False,-1.1494,2.5342,3,5,3,60.0,36.0341608954005,59.042553191489375,14.120234604105578,0.8797653958944224,历史3/5次成功; 当前距低点0.88%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
