rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.54478582939839,86.26266850035917,002678,珠江钢琴,bottom_area,2025-11-05,5.05,2025-11-03,4.92,2.6422764227642253,4.065040650406507,29.613733905579405,False,0.3976,1.8879,4,4,4,100.0,20.79063841000859,35.5191256830601,5.357723577235775,2.6422764227642253,历史4/4次成功; 当前距低点2.64%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
2,85.339751150065,81.53261625166476,603192,汇得科技,bottom_area,2025-11-05,26.23,2025-11-05,25.81,1.6272762495156985,3.370786516853937,32.7339066979411,False,-6.2545,12.4215,5,5,5,100.0,15.60648441161584,25.562817719680464,6.372723750484302,1.6272762495156985,历史5/5次成功; 当前距低点1.63%; 最新日涨幅-6.25%; 状态bottom_area; 底部未确认
3,84.32681338198005,80.55067961165047,600172,黄河旋风,bottom_area,2025-11-05,6.28,2025-11-05,6.18,1.6181229773462869,4.045307443365696,27.20848056537103,False,-1.2579,6.9778,1,1,1,100.0,51.074589127686465,51.074589127686465,6.381877022653713,1.6181229773462869,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
4,82.28239441830794,79.94130062713924,688205,德科立,bottom_area,2025-11-05,90.23,2025-11-05,88.03,2.4991480177212346,5.021015562876294,28.43089430894309,False,-1.8599,3.4903,3,3,3,100.0,24.19009735238528,35.44761904761904,5.500851982278766,2.4991480177212346,历史3/3次成功; 当前距低点2.50%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
5,81.69680610892993,81.92327463777154,300563,神宇股份,bottom_area,2025-11-05,38.2,2025-10-23,36.68,4.143947655398046,6.27044711014176,28.776699029126213,False,0.2362,2.7464,4,4,4,100.0,15.86814673160799,20.477137176938378,3.856052344601954,4.143947655398046,历史4/4次成功; 当前距低点4.14%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
6,80.07695070003354,76.44577632461436,301117,佳缘科技,bottom_area,2025-11-05,32.0,2025-11-05,31.5,1.5873015873015872,2.825396825396827,29.213483146067414,False,-1.1125,4.6678,1,1,1,100.0,27.552816901408463,27.552816901408463,6.412698412698413,1.5873015873015872,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
7,77.93339575231812,77.39519553826372,603173,福斯达,bottom_area,2025-11-05,40.15,2025-11-05,38.74,3.6396489416623554,4.775425916365517,29.422481326288942,False,2.3712,7.4465,1,1,1,100.0,35.34190927555856,35.34190927555856,4.360351058337645,3.6396489416623554,历史1/1次成功; 当前距低点3.64%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
8,76.51653945948537,75.82720126615669,002716,湖南白银,bottom_area,2025-11-05,6.16,2025-11-05,5.95,3.529411764705882,4.033613445378155,28.053204353083427,False,0.4894,3.5586,1,1,1,100.0,25.560538116591918,25.560538116591918,4.470588235294119,3.529411764705882,历史1/1次成功; 当前距低点3.53%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
9,74.40198174916357,74.71769029972579,601669,中国电建,confirmed_rebound,2025-11-05,5.68,2025-09-29,5.45,4.220183486238524,9.174311926605503,30.484693877551017,True,1.2478,1.2811,2,2,2,100.0,12.417788431987212,16.457680250783696,3.7798165137614763,4.220183486238524,历史2/2次成功; 当前距低点4.22%; 最新日涨幅1.25%; 状态confirmed_rebound; 底部已确认
10,72.31936696635194,73.35064843666393,002790,瑞尔特,bottom_area,2025-11-05,9.73,2025-11-05,9.29,4.736275565123804,6.996770721205602,29.72768532526476,False,-1.3185,17.7097,1,1,1,100.0,49.512670565302145,49.512670565302145,3.2637244348761967,4.736275565123804,历史1/1次成功; 当前距低点4.74%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
11,68.91365723574278,67.61406227258146,002123,梦网科技,bottom_area,2025-11-05,12.32,2025-10-31,11.96,3.0100334448160484,4.682274247491628,31.066282420749282,False,-0.4042,1.4075,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,4.989966555183951,3.0100334448160484,历史2/3次成功; 当前距低点3.01%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
