rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.82686249474854,82.19434312210201,603790,雅运股份,bottom_area,2026-03-24,19.94,26.8,2026-03-24,19.41,2.730551262235967,4.070066975785673,27.574626865671643,25.59701492537313,False,2.414,2.0787,1,1,1,100.0,63.59797297297298,63.59797297297298,17.269448737764034,2.730551262235967,历史1/1次成功; 当前距低点2.73%; 最新日涨幅2.41%; 状态bottom_area; 底部未确认
2,92.13008934191065,81.78497337767068,002413,雷科防务,bottom_area,2026-03-24,12.57,16.71,2026-03-23,12.15,3.456790123456789,6.09053497942387,27.289048473967686,24.775583482944345,False,2.6122,8.2029,2,2,2,100.0,40.034703543828805,51.174934725848566,16.543209876543212,3.456790123456789,历史2/2次成功; 当前距低点3.46%; 最新日涨幅2.61%; 状态bottom_area; 底部未确认
3,91.36830069795181,80.37999762275712,301137,哈焊华通,bottom_area,2026-03-24,45.88,62.69,2026-03-24,44.56,2.9622980251346505,4.15170556552961,28.920082947838566,26.814483968735036,False,1.3027,2.7434,2,2,2,100.0,26.419554408946887,27.967914438502678,17.03770197486535,2.9622980251346505,历史2/2次成功; 当前距低点2.96%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
4,89.89662337623307,78.75421164211133,600592,龙溪股份,bottom_area,2026-03-24,19.55,28.09,2026-03-23,19.03,2.732527588018915,6.305832895428266,32.25347098611605,30.402278390886433,False,2.249,1.5562,1,1,1,100.0,31.52889539136796,31.52889539136796,17.267472411981085,2.732527588018915,历史1/1次成功; 当前距低点2.73%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
5,89.84875915296685,78.64706503082012,001391,国货航,bottom_area,2026-03-24,5.35,7.73,2026-03-23,5.21,2.6871401151631416,4.222648752399227,32.60025873221217,30.789133247089275,False,2.0992,1.3883,1,1,1,100.0,30.39647577092513,30.39647577092513,17.312859884836858,2.6871401151631416,历史1/1次成功; 当前距低点2.69%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
6,89.79008709726602,79.74827238609326,301117,佳缘科技,bottom_area,2026-03-24,42.17,59.95,2026-03-24,40.75,3.4846625766871204,5.177914110429446,32.02668890742286,29.658048373644704,False,2.156,5.8773,2,2,2,100.0,29.426360542687625,31.299904183966788,16.515337423312882,3.4846625766871204,历史2/2次成功; 当前距低点3.48%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
7,89.62829064420579,78.93873251181874,300488,恒锋工具,bottom_area,2026-03-24,26.57,37.8,2026-03-23,25.79,3.024428072896476,5.234587049243899,31.77248677248677,29.7089947089947,False,2.6662,1.9446,3,4,3,75.0,40.26574472055218,65.52470248827983,16.975571927103523,3.024428072896476,历史3/4次成功; 当前距低点3.02%; 最新日涨幅2.67%; 状态bottom_area; 底部未确认
8,88.87049951325812,78.90829997588618,688377,迪威尔,bottom_area,2026-03-24,36.99,50.95,2026-03-24,35.75,3.4685314685314745,4.055944055944064,29.83316977428852,27.399411187438666,False,2.579,0.783,1,1,1,100.0,41.37931034482759,41.37931034482759,16.531468531468526,3.4685314685314745,历史1/1次成功; 当前距低点3.47%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
9,88.52720819769957,77.41560494214345,002088,鲁阳节能,bottom_area,2026-03-24,9.74,13.93,2026-03-23,9.49,2.634351949420443,9.272918861959948,31.873653984206747,30.078966259870782,False,1.2474,0.8136,1,1,1,100.0,23.128641864634695,23.128641864634695,17.36564805057956,2.634351949420443,历史1/1次成功; 当前距低点2.63%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
10,87.23546564735611,76.81211037699185,600611,大众交通,bottom_area,2026-03-24,4.79,6.6,2026-03-23,4.65,3.010752688172036,7.3118279569892435,29.545454545454536,27.42424242424242,False,2.1322,1.0502,1,1,1,100.0,24.497991967871478,24.497991967871478,16.989247311827967,3.010752688172036,历史1/1次成功; 当前距低点3.01%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
11,87.05033907334042,78.30959395052408,300358,楚天科技,bottom_area,2026-03-24,9.21,12.31,2026-03-23,8.84,4.185520361990962,6.447963800904981,28.188464662875717,25.182778229082043,False,3.367,2.0672,4,5,4,80.0,40.28269019281432,59.00116144018583,15.814479638009038,4.185520361990962,历史4/5次成功; 当前距低点4.19%; 最新日涨幅3.37%; 状态bottom_area; 底部未确认
