rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.83405426967087,77.25743405854568,688819,天能股份,bottom_area,2026-05-18,26.29,36.54,2026-05-18,26.0,1.115384615384612,2.1923076923076934,28.845101258894363,28.051450465243573,False,-1.0538,0.3527,1,1,1,100.0,26.131779471089207,26.131779471089207,18.884615384615387,1.115384615384612,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
2,89.77242652628736,76.56356749678702,603277,银都股份,bottom_area,2026-05-18,12.81,17.69,2026-05-18,12.65,1.264822134387353,2.6877470355731212,28.49067269643867,27.58620689655173,False,-1.5373,0.2828,1,1,1,100.0,24.23312883435582,24.23312883435582,18.73517786561265,1.264822134387353,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
3,87.34128867063775,77.6814226425488,600338,西藏珠峰,bottom_area,2026-05-18,21.23,28.28,2026-05-18,20.5,3.5609756097560994,6.341463414634149,27.51060820367751,24.929278642149928,False,0.0,6.8993,3,4,3,75.0,40.08304856340157,59.223300970873794,16.4390243902439,3.5609756097560994,历史3/4次成功; 当前距低点3.56%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,84.90564879688606,71.92007898089172,601136,首创证券,bottom_area,2026-05-18,15.84,21.55,2026-05-18,15.7,0.8917197452229335,2.9936305732484234,27.146171693735504,26.496519721577727,False,-1.5538,0.4552,1,1,1,100.0,34.53333333333333,34.53333333333333,19.108280254777068,0.8917197452229335,历史1/1次成功; 当前距低点0.89%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
5,84.07116806163592,70.65717512291614,601186,中国铁建,bottom_area,2026-05-18,6.5,8.93,2026-05-18,6.47,0.46367851622875195,1.7001545595054144,27.547592385218366,27.21164613661814,False,-1.3657,0.5571,1,1,1,100.0,22.496570644718787,22.496570644718787,19.53632148377125,0.46367851622875195,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
6,81.35767065787596,68.61759585705471,002773,康弘药业,bottom_area,2026-05-18,21.49,30.6,2026-05-18,21.35,0.6557377049180187,3.51288056206089,30.22875816993464,29.77124183006537,False,-3.0672,1.4284,1,1,1,100.0,24.10041841004185,24.10041841004185,19.344262295081982,0.6557377049180187,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
7,81.07445191409897,68.38142857142857,000007,全新好,bottom_area,2026-05-18,12.24,17.79,2026-05-15,12.16,0.6578947368421059,5.09868421052631,31.646992692523884,31.1973018549747,False,-3.5461,3.9447,1,1,1,100.0,22.85714285714285,22.85714285714285,19.342105263157897,0.6578947368421059,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
8,80.31766461319825,69.31604949378513,000973,佛塑科技,bottom_area,2026-05-18,16.52,22.25,2026-05-18,16.21,1.9123997532387336,3.6397285626156686,27.146067415730336,25.75280898876405,False,-2.6517,5.8282,2,3,2,66.66666666666666,32.09491540055248,32.421875,18.08760024676127,1.9123997532387336,历史2/3次成功; 当前距低点1.91%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
9,80.11543362435106,72.10163285324805,603319,美湖股份,bottom_area,2026-05-18,31.94,42.06,2026-05-18,30.65,4.208809135399683,5.383360522022834,27.127912505943897,24.060865430337614,False,-1.6928,6.0327,4,5,4,80.0,29.665148827738342,43.981481481481474,15.791190864600319,4.208809135399683,历史4/5次成功; 当前距低点4.21%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
10,79.51086658791017,68.66370613456118,002083,孚日股份,bottom_area,2026-05-18,10.47,14.53,2026-05-18,10.27,1.947419668938667,2.9211295034079914,29.318651066758434,27.942188575361314,False,-0.5698,2.196,2,3,2,66.66666666666666,29.01696942513269,31.79487179487179,18.052580331061336,1.947419668938667,历史2/3次成功; 当前距低点1.95%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
11,79.43792862076434,68.67297567682898,000723,美锦能源,bottom_area,2026-05-18,4.07,5.67,2026-05-18,3.99,2.0050125313283225,2.2556390977443574,29.629629629629623,28.218694885361543,False,0.9926,1.2262,2,4,2,50.0,26.74410886159975,30.434782608695667,17.994987468671678,2.0050125313283225,历史2/4次成功; 当前距低点2.01%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
12,77.62519124553934,66.05015674434955,601808,中海油服,bottom_area,2026-05-18,14.22,20.55,2026-05-18,14.06,1.1379800853485074,2.347083926031295,31.581508515815088,30.802919708029197,False,0.8511,0.9214,1,2,1,50.0,35.34812547819435,35.34812547819435,18.862019914651494,1.1379800853485074,历史1/2次成功; 当前距低点1.14%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
13,76.84555239199709,67.89789549504471,688326,经纬恒润,bottom_area,2026-05-18,90.62,125.0,2026-05-06,87.81,3.200091105796609,7.7212162623846945,29.752000000000002,27.503999999999994,True,-0.81,1.6472,2,3,2,66.66666666666666,31.061486825775873,34.48938586529221,16.79990889420339,3.200091105796609,历史2/3次成功; 当前距低点3.20%; 最新日涨幅-0.81%; 状态bottom_area; 底部已确认
14,75.17150413471867,66.21735762875794,601567,三星电气,bottom_area,2026-05-18,18.34,26.41,2026-05-15,17.8,3.0337078651685343,6.179775280898864,32.601287391139714,30.556607345702385,False,1.326,1.3425,2,4,2,50.0,26.151675060979485,31.09512390087929,16.966292134831466,3.0337078651685343,历史2/4次成功; 当前距低点3.03%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
15,74.22162398643836,63.41829225925524,000012,南玻A,bottom_area,2026-05-18,3.71,5.27,2026-05-18,3.66,1.36612021857923,1.6393442622950833,30.550284629981018,29.60151802656546,False,-0.5362,0.9315,1,2,1,50.0,46.467991169977914,46.467991169977914,18.63387978142077,1.36612021857923,历史1/2次成功; 当前距低点1.37%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
16,71.99305859893424,61.30102019315191,002676,顺威股份,bottom_area,2026-05-18,6.02,8.23,2026-05-18,5.95,1.176470588235284,5.042016806722685,27.703523693803163,26.852976913730263,False,-3.9872,3.5794,2,5,2,40.0,31.308457711442777,39.33333333333333,18.823529411764717,1.176470588235284,历史2/5次成功; 当前距低点1.18%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
