rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.27205616359866,81.86108731466231,002826,易明医药,bottom_area,2025-07-09,18.4,2025-07-09,18.21,1.0433827567270606,1.9220208676551227,28.05215329909126,False,-0.8621,6.4877,1,1,1,100.0,50.0,50.0,8.956617243272941,1.0433827567270606,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
2,84.76854665361918,77.4215002729204,002658,雪迪龙,bottom_area,2025-07-09,8.23,2025-07-09,8.21,0.24360535931789978,2.8014616321558905,28.359511343804535,False,-2.9481,14.9779,3,3,3,100.0,22.83290587185592,34.81481481481481,9.756394640682101,0.24360535931789978,历史3/3次成功; 当前距低点0.24%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
3,83.88375230711057,78.86983023710627,000999,华润三九,bottom_area,2025-07-09,31.13,2025-06-23,30.59,1.7652827721477578,4.347826086956528,29.645814167433297,False,0.0643,0.4303,1,1,1,100.0,20.293951384963254,20.293951384963254,8.234717227852242,1.7652827721477578,历史1/1次成功; 当前距低点1.77%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
4,83.3617187191251,77.54988368606173,002155,湖南黄金,bottom_area,2025-07-09,17.6,2025-06-30,17.39,1.2075905692927018,5.405405405405392,29.28019520130134,False,-2.2222,2.1571,1,1,1,100.0,28.834355828220854,28.834355828220854,8.792409430707298,1.2075905692927018,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
5,82.87597025146015,79.99603375383089,605198,安德利,bottom_area,2025-07-09,40.36,2025-06-20,39.13,3.1433682596473216,5.877843087145405,29.748653500897664,False,0.6233,1.0348,1,1,1,100.0,43.241469816272954,43.241469816272954,6.856631740352678,3.1433682596473216,历史1/1次成功; 当前距低点3.14%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
6,82.49494329982686,79.9440391757945,688159,有方科技,confirmed_rebound,2025-07-09,54.28,2025-07-07,52.52,3.351104341203347,19.002284843868996,30.867447676714487,True,-7.7968,10.4265,5,5,5,100.0,29.218048783538368,61.150808574652125,6.648895658796652,3.351104341203347,历史5/5次成功; 当前距低点3.35%; 最新日涨幅-7.80%; 状态confirmed_rebound; 底部已确认
7,80.00731148236882,73.273498195899,603022,新通联,bottom_area,2025-07-09,10.37,2025-07-04,10.33,0.3872216844143189,2.2265246853823855,31.270791749833666,False,-1.6129,6.3799,2,2,2,100.0,18.958944281524914,26.099706744868023,9.612778315585683,0.3872216844143189,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
8,79.9959928260234,75.47419107027144,301348,蓝箭电子,bottom_area,2025-07-09,20.43,2025-07-07,20.04,1.9461077844311405,3.5928143712574974,29.036827195467417,False,-1.0174,6.7186,1,1,1,100.0,26.727509778357234,26.727509778357234,8.05389221556886,1.9461077844311405,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
9,75.42370824093027,75.35489098888564,300640,德艺文创,bottom_area,2025-07-09,6.57,2025-06-23,6.26,4.952076677316302,7.348242811501597,27.880184331797235,True,0.7669,5.6411,2,2,2,100.0,14.600138780466654,17.724867724867735,5.047923322683699,4.952076677316302,历史2/2次成功; 当前距低点4.95%; 最新日涨幅0.77%; 状态bottom_area; 底部已确认
10,73.74345655324302,72.33471785040469,002041,登海种业,bottom_area,2025-07-09,9.91,2025-06-23,9.53,3.9874081846799663,4.826862539349432,29.719764011799416,False,-0.502,0.8872,2,2,2,100.0,18.2043468358871,21.395106715252467,6.012591815320034,3.9874081846799663,历史2/2次成功; 当前距低点3.99%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
11,72.13045841969206,69.98289338107367,002371,北方华创,bottom_area,2025-07-09,331.15,2025-07-03,320.22,3.4132783711198393,6.648554119043146,28.602006688963204,False,-0.8444,0.6088,1,1,1,100.0,15.189075630252091,15.189075630252091,6.586721628880161,3.4132783711198393,历史1/1次成功; 当前距低点3.41%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
