rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,80.92853666273383,76.74195128557596,688355,明志科技,bottom_area,2021-09-27,25.34,2021-09-27,25.03,1.238513783459843,6.272473032361167,28.136663795578514,False,-3.5769,4.1476,1,1,1,100.0,35.08474576271185,35.08474576271185,6.761486216540158,1.238513783459843,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-3.58%; 状态bottom_area; 底部未确认
2,80.22252478032907,77.05281528421625,688135,利扬芯片,bottom_area,2021-09-27,38.0,2021-09-17,37.29,1.9039957093054463,5.3901850362027295,29.641509433962266,False,1.037,3.7971,1,1,1,100.0,12.225405921680993,12.225405921680993,6.0960042906945535,1.9039957093054463,历史1/1次成功; 当前距低点1.90%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
3,78.10779652641001,74.69353437296064,300688,创业黑马,confirmed_rebound,2021-09-27,28.51,2021-09-27,28.04,1.6761768901569274,15.549215406562054,32.757793764988016,False,-12.0062,21.4598,1,1,1,100.0,39.651707970529145,39.651707970529145,6.323823109843072,1.6761768901569274,历史1/1次成功; 当前距低点1.68%; 最新日涨幅-12.01%; 状态confirmed_rebound; 底部未确认
4,77.6007204594164,71.98367810369916,001212,中旗新材,bottom_area,2021-09-27,31.71,2021-09-27,31.68,0.09469696969697329,3.1565656565656566,28.888888888888886,False,-2.4308,4.3902,1,1,1,100.0,25.105307497893843,25.105307497893843,7.905303030303027,0.09469696969697329,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
5,77.19261803475419,74.10380059727582,300727,润禾材料,confirmed_rebound,2021-09-27,28.77,2021-09-27,28.24,1.8767705382436302,8.356940509915026,27.534000513215297,False,-4.5771,3.391,2,2,2,100.0,22.273319486404827,26.812499999999993,6.12322946175637,1.8767705382436302,历史2/2次成功; 当前距低点1.88%; 最新日涨幅-4.58%; 状态confirmed_rebound; 底部未确认
6,77.11600845590675,74.48503352472324,300340,科恒股份,confirmed_rebound,2021-09-27,16.76,2021-09-27,16.4,2.1951219512195306,10.548780487804882,28.321678321678323,False,-5.8427,6.6056,2,2,2,100.0,28.225331040342816,42.54473161033797,5.804878048780469,2.1951219512195306,历史2/2次成功; 当前距低点2.20%; 最新日涨幅-5.84%; 状态confirmed_rebound; 底部未确认
7,76.38389246310497,73.03462771728213,000426,兴业银锡,confirmed_rebound,2021-09-27,7.92,2021-09-27,7.79,1.6688061617458265,8.729139922978185,28.988149498632637,False,-5.9382,4.1327,1,1,1,100.0,30.64250411861613,30.64250411861613,6.3311938382541735,1.6688061617458265,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-5.94%; 状态confirmed_rebound; 底部未确认
8,74.44824884811214,70.10412811010086,603005,晶方科技,bottom_area,2021-09-27,43.83,2021-09-27,43.45,0.8745684695051678,3.1530494821634,31.574803149606296,False,-0.6573,1.7943,1,1,1,100.0,24.55991516436903,24.55991516436903,7.125431530494833,0.8745684695051678,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
9,74.44567527675278,68.93118081180812,600331,宏达股份,confirmed_rebound,2021-09-27,4.32,2021-09-27,4.32,0.0,11.1111111111111,28.595041322314042,False,-10.0,6.2618,1,1,1,100.0,40.221402214022135,40.221402214022135,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态confirmed_rebound; 底部未确认
10,74.41869366642183,69.7150290554516,002127,南极电商,bottom_area,2021-09-27,6.64,2021-09-27,6.6,0.6060606060606066,3.787878787878788,30.453108535300323,False,-1.6296,2.9205,1,1,1,100.0,19.17659804983748,19.17659804983748,7.393939393939393,0.6060606060606066,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
11,74.38282529937304,71.73302915489343,601606,长城军工,bottom_area,2021-09-27,11.11,2021-09-27,10.88,2.1139705882352815,6.525735294117638,27.707641196013288,False,-4.1415,1.2622,1,1,1,100.0,18.886462882096076,18.886462882096076,5.886029411764719,2.1139705882352815,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
