rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.97294637317468,86.57315630523719,002678,珠江钢琴,bottom_area,2025-11-21,4.99,2025-11-03,4.92,1.4227642276422823,7.113821138211375,29.613733905579405,True,-2.1569,1.1153,4,4,4,100.0,20.79063841000859,35.5191256830601,6.577235772357717,1.4227642276422823,历史4/4次成功; 当前距低点1.42%; 最新日涨幅-2.16%; 状态bottom_area; 底部已确认
2,89.41940859595985,86.77484198314036,600094,大名城,bottom_area,2025-11-21,4.2,2025-11-21,4.1,2.4390243902439157,4.87804878048781,30.743243243243246,False,0.2387,3.1934,3,3,3,100.0,37.7194494241746,87.28070175438596,5.560975609756085,2.4390243902439157,历史3/3次成功; 当前距低点2.44%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
3,85.85258623396996,79.76287621169678,688008,澜起科技,bottom_area,2025-11-21,113.9,2025-11-21,113.7,0.1759014951627114,2.902374670184694,28.43655589123867,False,-3.4909,2.0901,4,4,4,100.0,28.13941731541803,62.20095693779905,7.824098504837289,0.1759014951627114,历史4/4次成功; 当前距低点0.18%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
4,85.7058227093586,81.81940115451893,300559,佳发教育,bottom_area,2025-11-21,11.52,2025-11-21,11.34,1.5873015873015848,4.409171075837742,27.908455181182457,False,-1.9574,2.8404,3,3,3,100.0,23.109939642830778,29.09783989834816,6.412698412698416,1.5873015873015848,历史3/3次成功; 当前距低点1.59%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
5,84.9382702706037,78.64654654685526,601127,赛力斯,bottom_area,2025-11-21,123.4,2025-11-21,123.4,0.0,2.6742301458670967,28.255813953488367,False,-2.5815,1.6508,9,9,9,100.0,22.02444380029711,42.19143576826195,8.0,0.0,历史9/9次成功; 当前距低点0.00%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
6,84.65279326947125,78.38221599025115,000619,海螺新材,bottom_area,2025-11-21,6.19,2025-11-21,6.19,0.0,6.1389337641357,27.85547785547785,False,-5.4962,7.3768,4,4,4,100.0,30.81836553898465,43.133047210300425,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-5.50%; 状态bottom_area; 底部未确认
7,84.62438951711334,78.35591621954939,001309,德明利,bottom_area,2025-11-21,222.71,2025-11-21,222.71,0.0,3.2688249292802305,27.21895424836601,False,-10.0016,8.0203,7,7,7,100.0,30.676968922308458,64.1432791728213,8.0,0.0,历史7/7次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
8,84.48050762485805,78.32945567726479,002636,金安国纪,bottom_area,2025-11-21,14.13,2025-11-21,14.12,0.07082152974505357,5.7365439093484465,27.36625514403293,False,-6.2997,3.4729,3,3,3,100.0,35.811444973567276,69.0,7.929178470254946,0.07082152974505357,历史3/3次成功; 当前距低点0.07%; 最新日涨幅-6.30%; 状态bottom_area; 底部未确认
9,84.1658341452359,78.23086439325463,002160,常铝股份,bottom_area,2025-11-21,5.03,2025-11-21,5.02,0.1992031872510095,6.573705179282871,27.665706051873208,False,-7.024,10.3047,3,3,3,100.0,36.855094947241525,40.066225165562926,7.800796812748991,0.1992031872510095,历史3/3次成功; 当前距低点0.20%; 最新日涨幅-7.02%; 状态bottom_area; 底部未确认
10,83.47766952769477,78.32917230194755,002337,赛象科技,bottom_area,2025-11-21,5.83,2025-11-21,5.79,0.6908462867012095,5.1813471502590644,29.47624847746651,False,-4.2693,3.8542,4,4,4,100.0,26.74355825605545,60.465116279069754,7.309153713298791,0.6908462867012095,历史4/4次成功; 当前距低点0.69%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
11,83.45825099170838,80.05163997132583,300560,中富通,confirmed_rebound,2025-11-21,17.22,2025-11-21,16.91,1.833234772324061,11.235955056179767,31.70436187399031,False,-12.8101,29.5753,5,5,5,100.0,20.383952968949895,41.47727272727274,6.166765227675939,1.833234772324061,历史5/5次成功; 当前距低点1.83%; 最新日涨幅-12.81%; 状态confirmed_rebound; 底部未确认
