rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.1125,75.75,002137,实益达,bottom_area,2022-10-28,6.23,2022-10-28,6.23,0.0,7.704654895666124,27.04918032786884,False,-9.9711,22.9055,2,2,2,100.0,55.55040286140998,89.3034825870647,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
2,85.98049199519542,76.87065415284735,301313,凡拓数创,bottom_area,2022-10-28,22.53,2022-10-28,22.2,1.4864864864864948,6.801801801801808,30.407523510971785,False,-4.8162,14.797,1,1,1,100.0,38.816362053959956,38.816362053959956,13.513513513513503,1.4864864864864948,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-4.82%; 状态bottom_area; 底部未确认
3,85.42309693577582,75.81556364861169,002677,浙江美大,bottom_area,2022-10-28,10.16,2022-10-28,10.05,1.0945273631840737,3.3830845771144267,32.955303535690454,False,-2.3077,0.7466,1,1,1,100.0,18.124118476727787,18.124118476727787,13.905472636815924,1.0945273631840737,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
4,85.17632992344113,75.6495655989469,603030,全筑股份,bottom_area,2022-10-28,2.68,2022-10-28,2.65,1.1320754716981227,7.547169811320761,31.70103092783505,False,-6.2937,5.1281,1,1,1,100.0,27.906976744186036,27.906976744186036,13.867924528301877,1.1320754716981227,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-6.29%; 状态bottom_area; 底部未确认
5,84.85834615695352,74.10985051625829,002796,世嘉科技,bottom_area,2022-10-28,8.66,2022-10-28,8.64,0.23148148148147651,10.300925925925911,32.97129557796741,False,-9.7917,13.2466,2,2,2,100.0,31.7614424410541,36.33841886269071,14.768518518518523,0.23148148148147651,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-9.79%; 状态bottom_area; 底部未确认
6,84.59108311916637,73.9063848101266,000789,万年青,bottom_area,2022-10-28,7.92,2022-10-28,7.9,0.2531645569620199,6.835443037974673,29.020664869721475,False,-6.2722,1.1785,1,1,1,100.0,47.599999999999994,47.599999999999994,14.746835443037979,0.2531645569620199,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-6.27%; 状态bottom_area; 底部未确认
7,80.80865891321287,71.09917748756699,001296,长江材料,bottom_area,2022-10-28,20.8,2022-10-28,20.67,0.6289308176100581,7.402031930333805,28.724137931034477,False,-6.0948,13.1774,2,2,2,100.0,20.446987912461964,20.884413309982484,14.371069182389942,0.6289308176100581,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-6.09%; 状态bottom_area; 底部未确认
8,80.56280363253933,70.3911870845204,600126,杭钢股份,bottom_area,2022-10-28,3.91,2022-10-11,3.9,0.2564102564102623,7.179487179487174,31.698774080560423,True,-3.9312,0.3798,1,1,1,100.0,19.54732510288064,19.54732510288064,14.74358974358974,0.2564102564102623,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-3.93%; 状态bottom_area; 底部已确认
9,80.54552747852266,74.0525169356171,000591,太阳能,bottom_area,2022-10-28,6.9,2022-10-10,6.7,2.9850746268656745,9.552238805970143,29.769392033542967,True,-3.4965,1.4167,1,1,1,100.0,32.84132841328414,32.84132841328414,12.014925373134325,2.9850746268656745,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-3.50%; 状态bottom_area; 底部已确认
10,78.99769763735235,69.20463980132726,603363,傲农生物,bottom_area,2022-10-28,12.66,2022-10-28,12.61,0.39651070578906195,7.057890563045207,32.05818965517241,False,-7.2527,5.2174,1,1,1,100.0,24.078947368421055,24.078947368421055,14.603489294210936,0.39651070578906195,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-7.25%; 状态bottom_area; 底部未确认
11,74.84819872210775,70.98883847549908,600178,东安动力,bottom_area,2022-10-28,6.07,2022-10-11,5.8,4.655172413793111,11.206896551724146,28.746928746928752,True,-4.1074,0.781,1,1,1,100.0,36.84210526315788,36.84210526315788,10.344827586206888,4.655172413793111,历史1/1次成功; 当前距低点4.66%; 最新日涨幅-4.11%; 状态bottom_area; 底部已确认
12,73.67406336233266,69.41606747106623,600203,福日电子,bottom_area,2022-10-28,5.82,2022-10-10,5.58,4.3010752688172085,11.469534050179206,29.6343001261034,True,-5.0571,1.1617,1,1,1,100.0,24.045801526717554,24.045801526717554,10.69892473118279,4.3010752688172085,历史1/1次成功; 当前距低点4.30%; 最新日涨幅-5.06%; 状态bottom_area; 底部已确认
13,73.1294167992981,68.19355426905693,300595,欧普康视,bottom_area,2022-10-28,31.3,2022-10-28,30.17,3.7454424925422574,6.065628107391443,30.048690006955713,False,-6.5393,7.5038,1,1,1,100.0,19.855715871254166,19.855715871254166,11.254557507457742,3.7454424925422574,历史1/1次成功; 当前距低点3.75%; 最新日涨幅-6.54%; 状态bottom_area; 底部未确认
14,66.79478909099235,58.33865376458329,000301,东方盛虹,bottom_area,2022-10-28,12.77,2022-10-28,12.74,0.23547880690737333,5.8869701726844585,32.34200743494423,False,-5.1967,0.9448,2,4,2,50.0,22.019061528667194,28.337639965546952,14.764521193092625,0.23547880690737333,历史2/4次成功; 当前距低点0.24%; 最新日涨幅-5.20%; 状态bottom_area; 底部未确认
15,64.52416005692854,61.45807008590235,002600,领益智造,bottom_area,2022-10-28,4.51,2022-10-10,4.3,4.883720930232557,12.093023255813964,30.533117932148635,True,-5.0526,0.5637,2,3,2,66.66666666666666,27.29186634497801,38.381201044386415,10.116279069767442,4.883720930232557,历史2/3次成功; 当前距低点4.88%; 最新日涨幅-5.05%; 状态bottom_area; 底部已确认
16,64.07917556918633,59.37166242409374,601919,中远海控,bottom_area,2022-10-28,11.25,2022-10-10,10.88,3.4007352941176396,8.915441176470578,28.13738441215323,True,-1.918,0.66,1,2,1,50.0,40.45881126173098,40.45881126173098,11.599264705882359,3.4007352941176396,历史1/2次成功; 当前距低点3.40%; 最新日涨幅-1.92%; 状态bottom_area; 底部已确认
17,58.92296195541029,51.74284020403977,600346,恒力石化,bottom_area,2022-10-28,15.31,2022-10-28,15.23,0.5252790544977024,4.136572554169396,29.458082445576654,False,-4.0727,0.2788,1,2,1,50.0,23.443421765024375,23.443421765024375,14.474720945502298,0.5252790544977024,历史1/2次成功; 当前距低点0.53%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
18,54.0043693711671,47.20143090112756,002157,正邦科技,bottom_area,2022-10-28,3.66,2022-10-28,3.65,0.27397260273973234,7.123287671232884,29.126213592233018,False,-8.9552,4.4369,1,4,1,25.0,16.780045351473927,16.780045351473927,14.726027397260266,0.27397260273973234,历史1/4次成功; 当前距低点0.27%; 最新日涨幅-8.96%; 状态bottom_area; 底部未确认
