rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.10825755775335,76.64759064723823,001391,国货航,bottom_area,2026-04-13,5.29,7.73,2026-04-03,5.2,1.7307692307692282,3.0769230769230793,32.729624838292374,31.56532988357051,False,-0.5639,0.8304,1,1,1,100.0,30.39647577092513,30.39647577092513,18.269230769230774,1.7307692307692282,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
2,87.06162683935631,73.56611862162691,002788,鹭燕医药,bottom_area,2026-04-13,14.62,20.29,2026-04-13,14.51,0.7580978635423807,7.649896623018604,28.486939379004433,27.944800394282897,False,-4.2567,15.1535,2,2,2,100.0,35.293450271524364,37.636080870917574,19.241902136457618,0.7580978635423807,历史2/2次成功; 当前距低点0.76%; 最新日涨幅-4.26%; 状态bottom_area; 底部未确认
3,84.03046554243966,75.75073413679047,600843,上工申贝,bottom_area,2026-04-13,9.46,12.64,2026-04-07,9.07,4.299889746416765,5.181918412348389,28.24367088607595,25.158227848101262,False,0.3181,0.8486,1,1,1,100.0,34.59399332591768,34.59399332591768,15.700110253583235,4.299889746416765,历史1/1次成功; 当前距低点4.30%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
4,83.79648619633903,72.54466119471046,000966,长源电力,bottom_area,2026-04-13,4.41,5.95,2026-04-03,4.32,2.08333333333333,4.86111111111111,27.394957983193276,25.882352941176475,False,1.3793,1.6682,2,3,2,66.66666666666666,29.075239398084808,37.20930232558138,17.91666666666667,2.08333333333333,历史2/3次成功; 当前距低点2.08%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
5,82.05029461536604,74.76939666011016,001328,登康口腔,bottom_area,2026-04-13,32.8,44.35,2026-04-07,31.27,4.892868564118956,5.148704828909508,29.492671927846676,26.042841037204067,False,2.5641,1.3438,1,1,1,100.0,36.58675799086758,36.58675799086758,15.107131435881044,4.892868564118956,历史1/1次成功; 当前距低点4.89%; 最新日涨幅2.56%; 状态bottom_area; 底部未确认
6,79.9355890726414,71.20859096250402,603848,好太太,bottom_area,2026-04-13,15.34,21.38,2026-04-03,14.8,3.6486486486486425,5.810810810810807,30.776426566884936,28.250701590271277,False,-0.5833,0.2714,1,1,1,100.0,24.664031620553352,24.664031620553352,16.351351351351358,3.6486486486486425,历史1/1次成功; 当前距低点3.65%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
7,76.74236691446636,69.36329317269076,600611,大众交通,bottom_area,2026-04-13,4.7,6.6,2026-04-07,4.5,4.444444444444448,5.3333333333333375,31.818181818181813,28.78787878787878,False,-0.4237,0.6684,1,1,1,100.0,24.497991967871478,24.497991967871478,15.555555555555554,4.444444444444448,历史1/1次成功; 当前距低点4.44%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
8,67.87154535077406,61.86423845411602,002481,双塔食品,bottom_area,2026-04-13,4.49,6.06,2026-03-23,4.28,4.906542056074765,9.345794392523352,29.37293729372936,25.907590759075898,True,0.0,0.5452,2,5,2,40.0,38.17824915035744,54.6583850931677,15.093457943925237,4.906542056074765,历史2/5次成功; 当前距低点4.91%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
9,67.78723004222647,57.66748778854035,300760,迈瑞医疗,bottom_area,2026-04-13,157.94,214.12,2026-04-09,156.18,1.1269048533743058,3.6688436419515877,27.059592751728,26.237623762376238,False,-0.1517,0.4945,1,3,1,33.33333333333333,32.06181462849697,32.06181462849697,18.873095146625694,1.1269048533743058,历史1/3次成功; 当前距低点1.13%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
10,67.2079187525837,60.76224701256982,002584,西陇科学,bottom_area,2026-04-13,7.73,10.48,2026-03-23,7.4,4.4594594594594605,9.729729729729714,29.389312977099237,26.240458015267176,True,-0.3866,2.3973,2,5,2,40.0,49.24631494697527,68.08510638297875,15.54054054054054,4.4594594594594605,历史2/5次成功; 当前距低点4.46%; 最新日涨幅-0.39%; 状态bottom_area; 底部已确认
11,66.21271223433209,60.42564115108968,603000,人民网,bottom_area,2026-04-13,19.63,27.18,2026-03-23,18.7,4.97326203208556,9.03743315508022,31.199411331861665,27.77777777777778,True,-0.5068,0.9294,3,6,3,50.0,32.068164431423405,48.493150684931514,15.02673796791444,4.97326203208556,历史3/6次成功; 当前距低点4.97%; 最新日涨幅-0.51%; 状态bottom_area; 底部已确认
12,65.94523269445024,56.981022459239995,600185,珠免集团,bottom_area,2026-04-13,5.67,8.28,2026-04-03,5.56,1.978417266187056,4.676258992805768,32.850241545893724,31.521739130434778,False,-1.7331,1.3649,1,3,1,33.33333333333333,38.80903490759753,38.80903490759753,18.021582733812945,1.978417266187056,历史1/3次成功; 当前距低点1.98%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
