rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.32516897576126,80.87693741778317,300422,博世科,bottom_area,2025-03-07,4.16,2025-02-06,4.11,1.2165450121654457,6.5693430656934195,30.220713073005083,False,-1.4218,1.9799,2,2,2,100.0,30.164838954410644,45.4320987654321,6.7834549878345545,1.2165450121654457,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
2,82.56645784410708,77.34508400497259,600421,退市华嵘,bottom_area,2025-03-07,6.66,2025-03-05,6.62,0.6042296072507558,4.682779456193348,27.886710239651414,False,-2.6316,4.1248,3,3,3,100.0,26.842621018840468,44.900662251655625,7.395770392749244,0.6042296072507558,历史3/3次成功; 当前距低点0.60%; 最新日涨幅-2.63%; 状态bottom_area; 底部未确认
3,79.03484500085206,75.10038248483251,002718,友邦吊顶,bottom_area,2025-03-07,13.56,2025-03-05,13.38,1.3452914798206257,3.5127055306427417,27.32210755024443,False,-1.3818,3.1005,1,1,1,100.0,17.352941176470598,17.352941176470598,6.654708520179374,1.3452914798206257,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
4,77.16060590613166,72.82526964219367,603103,横店影视,bottom_area,2025-03-07,13.21,2025-03-07,13.08,0.9938837920489355,6.116207951070342,27.413984461709212,False,-4.964,1.6851,2,2,2,100.0,34.20067036594215,37.951807228915676,7.006116207951065,0.9938837920489355,历史2/2次成功; 当前距低点0.99%; 最新日涨幅-4.96%; 状态bottom_area; 底部未确认
5,66.36417183338746,66.72679453989176,001258,立新能源,confirmed_rebound,2025-03-07,6.33,2025-01-13,6.07,4.283360790774296,10.049423393739694,29.98846597462514,True,-0.4717,1.6391,1,1,1,100.0,9.370199692780343,9.370199692780343,3.716639209225704,4.283360790774296,历史1/1次成功; 当前距低点4.28%; 最新日涨幅-0.47%; 状态confirmed_rebound; 底部已确认
