rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.26032360065192,86.78046688643886,301421,波长光电,bottom_area,2024-08-28,30.15,2024-08-28,29.74,1.3786146603900475,2.689979825151314,31.045675863667988,False,-0.0663,8.9821,3,3,3,100.0,47.22423823724819,56.02000000000002,13.621385339609951,1.3786146603900475,历史3/3次成功; 当前距低点1.38%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
2,96.02087822769278,85.51066487575557,603004,鼎龙科技,bottom_area,2024-08-28,15.08,2024-08-28,14.89,1.2760241773001981,2.0819341840161094,27.1882640586797,False,0.1993,2.4846,1,1,1,100.0,55.7168784029038,55.7168784029038,13.723975822699803,1.2760241773001981,历史1/1次成功; 当前距低点1.28%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
3,90.2541267198209,81.81930063606642,001218,丽臣实业,bottom_area,2024-08-28,13.75,2024-08-26,13.45,2.23048327137547,3.2713754646840245,32.07070707070708,False,0.8804,0.5562,2,2,2,100.0,25.18711018711019,29.999999999999993,12.76951672862453,2.23048327137547,历史2/2次成功; 当前距低点2.23%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
4,89.60545229020899,79.6105961661165,000708,中信特钢,bottom_area,2024-08-28,11.43,2024-08-23,11.3,1.1504424778760973,3.0088495575221224,30.67484662576687,False,0.3512,0.1025,1,1,1,100.0,16.739811912225715,16.739811912225715,13.8495575221239,1.1504424778760973,历史1/1次成功; 当前距低点1.15%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
5,88.9873596876805,79.50891077756293,000539,粤电力A,bottom_area,2024-08-28,4.19,2024-08-26,4.13,1.4527845036319733,3.1476997578692467,31.395348837209298,False,0.2392,0.3764,1,1,1,100.0,19.89924433249369,19.89924433249369,13.547215496368025,1.4527845036319733,历史1/1次成功; 当前距低点1.45%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
6,88.58941212011277,82.3103112345088,002219,新里程,bottom_area,2024-08-28,1.75,2024-08-23,1.69,3.550295857988169,7.6923076923077,29.288702928870297,True,0.5747,0.7925,2,2,2,100.0,34.81175156302061,45.685279187817265,11.449704142011829,3.550295857988169,历史2/2次成功; 当前距低点3.55%; 最新日涨幅0.57%; 状态bottom_area; 底部已确认
7,87.58248166969732,81.4257341743224,603063,禾望电气,bottom_area,2024-08-28,11.85,2024-08-27,11.44,3.5839160839160855,4.982517482517485,27.180140038192242,False,3.0435,2.1236,3,3,3,100.0,22.994961535758502,28.846153846153843,11.416083916083913,3.5839160839160855,历史3/3次成功; 当前距低点3.58%; 最新日涨幅3.04%; 状态bottom_area; 底部未确认
8,86.73016527836552,77.08204896022998,301333,诺思格,bottom_area,2024-08-28,38.96,2024-08-23,38.51,1.1685276551545127,5.115554401454165,27.17473524962179,False,-0.256,1.0403,1,1,1,100.0,25.840279645065877,25.840279645065877,13.831472344845485,1.1685276551545127,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
9,86.72355260591101,79.90153303235108,688239,航宇科技,bottom_area,2024-08-28,26.95,2024-08-27,26.14,3.0986993114001478,3.7107880642693143,30.293333333333333,False,1.4684,1.0093,2,2,2,100.0,25.519179905072154,33.80660015349194,11.901300688599852,3.0986993114001478,历史2/2次成功; 当前距低点3.10%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
10,85.91317900249,79.04476496201531,002715,登云股份,bottom_area,2024-08-28,9.88,2024-08-23,9.59,3.0239833159541285,5.5265901981230385,31.45103645461044,False,1.0225,1.2526,1,1,1,100.0,36.66369313113291,36.66369313113291,11.97601668404587,3.0239833159541285,历史1/1次成功; 当前距低点3.02%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
11,85.55453582189864,75.02565462753947,000957,中通客车,bottom_area,2024-08-28,8.9,2024-08-28,8.86,0.45146726862303527,2.934537246049659,30.78125000000001,False,-1.5487,3.7952,3,4,3,75.0,132.3344468028054,354.54545454545456,14.548532731376964,0.45146726862303527,历史3/4次成功; 当前距低点0.45%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
12,85.0860926578811,74.800960578357,600956,新天绿能,bottom_area,2024-08-28,6.88,2024-08-28,6.84,0.5847953216374274,2.192982456140356,27.15654952076678,False,-1.0072,0.2162,2,2,2,100.0,29.592978019840494,41.27358490566036,14.415204678362572,0.5847953216374274,历史2/2次成功; 当前距低点0.58%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
13,84.74796494801245,77.02560365602068,000983,山西焦煤,bottom_area,2024-08-28,7.78,2024-08-26,7.6,2.368421052631587,3.4210526315789567,29.95391705069125,False,1.5666,0.6221,3,4,3,75.0,21.938729333444627,27.212389380530986,12.631578947368412,2.368421052631587,历史3/4次成功; 当前距低点2.37%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
14,84.71878382114089,77.33032799874657,603079,圣达生物,bottom_area,2024-08-28,10.66,2024-08-26,10.39,2.598652550529351,4.523580365736274,28.83561643835616,False,0.0,1.336,1,1,1,100.0,22.232558139534888,22.232558139534888,12.401347449470649,2.598652550529351,历史1/1次成功; 当前距低点2.60%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
15,84.62302454365957,77.2792959900588,600011,华能国际,bottom_area,2024-08-28,7.04,2024-08-27,6.86,2.6239067055393543,3.6443148688046643,30.707070707070706,False,1.1494,0.5215,1,1,1,100.0,22.267759562841515,22.267759562841515,12.376093294460645,2.6239067055393543,历史1/1次成功; 当前距低点2.62%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
