rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.22439510918386,85.80884559323685,603215,比依股份,bottom_area,2024-07-16,11.66,2024-07-09,11.5,1.3913043478260883,6.956521739130441,32.70918665886483,False,-0.5119,1.4484,4,4,4,100.0,25.48935218430281,36.01562499999999,6.608695652173912,1.3913043478260883,历史4/4次成功; 当前距低点1.39%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
2,88.95595942874972,84.28771665989404,603368,柳药集团,bottom_area,2024-07-16,16.9,2024-07-16,16.7,1.1976047904191574,3.413173652694613,30.705394190871377,False,-2.3686,2.1494,3,3,3,100.0,31.603524634675978,42.85714285714285,6.802395209580843,1.1976047904191574,历史3/3次成功; 当前距低点1.20%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
3,88.35151590737276,84.29011824070768,603113,金能科技,bottom_area,2024-07-16,5.23,2024-07-09,5.15,1.5533980582524285,6.407766990291264,28.867403314917123,False,-0.947,0.5617,5,5,5,100.0,19.31110652431836,31.03448275862069,6.446601941747572,1.5533980582524285,历史5/5次成功; 当前距低点1.55%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
4,87.23741434055799,82.7242619457211,600973,宝胜股份,bottom_area,2024-07-16,3.27,2024-07-16,3.23,1.2383900928792582,2.4767801857585163,30.237580993520517,False,-0.3049,0.6566,2,2,2,100.0,40.36446966390223,46.551724137931025,6.761609907120741,1.2383900928792582,历史2/2次成功; 当前距低点1.24%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
5,87.10834723320036,81.8034648898737,000065,北方国际,bottom_area,2024-07-16,9.61,2024-07-09,9.54,0.7337526205450764,4.088050314465415,28.000000000000007,False,0.0,0.5205,3,3,3,100.0,29.926993896325044,41.48061104582843,7.266247379454923,0.7337526205450764,历史3/3次成功; 当前距低点0.73%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,86.5564185532989,82.40923524894228,002246,北化股份,bottom_area,2024-07-16,7.71,2024-07-16,7.6,1.4473684210526359,3.157894736842108,28.098391674550623,False,-1.9084,2.0788,3,3,3,100.0,24.565780908291877,31.992687385740403,6.552631578947364,1.4473684210526359,历史3/3次成功; 当前距低点1.45%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
7,86.22795128603383,83.30985475201723,000697,炼石航空,bottom_area,2024-07-16,5.55,2024-07-10,5.43,2.2099447513812174,5.893186003683247,28.83355176933159,False,0.1805,0.9533,3,3,3,100.0,16.282412823475326,27.861771058315338,5.790055248618783,2.2099447513812174,历史3/3次成功; 当前距低点2.21%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
8,86.177062713224,81.89660039903448,601515,衢州东峰,bottom_area,2024-07-16,3.0,2024-07-16,2.96,1.3513513513513526,4.3918918918918886,29.52380952380953,False,-1.6393,0.8957,3,3,3,100.0,20.632696129653542,34.48275862068966,6.648648648648647,1.3513513513513526,历史3/3次成功; 当前距低点1.35%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
9,86.1233062111467,82.9384690014895,600966,博汇纸业,confirmed_rebound,2024-07-16,4.5,2024-07-10,4.41,2.040816326530609,8.616780045351472,28.640776699029118,True,-2.1739,0.6832,5,5,5,100.0,19.04048508591009,40.28436018957346,5.959183673469391,2.040816326530609,历史5/5次成功; 当前距低点2.04%; 最新日涨幅-2.17%; 状态confirmed_rebound; 底部已确认
10,85.9980138652472,81.55501663972129,000923,河钢资源,bottom_area,2024-07-16,16.3,2024-07-12,16.1,1.242236024844716,7.4534161490683175,27.050294517444488,False,-0.7308,0.947,3,3,3,100.0,17.458681593372262,27.519999999999996,6.757763975155284,1.242236024844716,历史3/3次成功; 当前距低点1.24%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
11,85.96455737468916,82.01193331054778,688215,瑞晟智能,bottom_area,2024-07-16,16.35,2024-07-16,16.1,1.5527950310559004,2.7329192546583707,32.860717264386984,False,0.0,0.4552,2,2,2,100.0,17.915623555673264,18.13676907829534,6.447204968944099,1.5527950310559004,历史2/2次成功; 当前距低点1.55%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
