rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,101.26789412251301,86.7439836946857,002695,煌上煌,bottom_area,2025-09-04,12.16,2025-09-04,11.98,1.502504173622702,2.67111853088481,27.305825242718445,False,1.0806,1.9232,3,3,3,100.0,26.073619411534626,30.57176196032671,18.4974958263773,1.502504173622702,历史3/3次成功; 当前距低点1.50%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
2,96.06630560702179,83.36830132939438,301009,可靠股份,bottom_area,2025-09-04,13.84,2025-09-03,13.54,2.215657311669134,3.9881831610044385,27.008086253369278,False,1.9897,5.6774,1,1,1,100.0,53.96648044692738,53.96648044692738,17.784342688330867,2.215657311669134,历史1/1次成功; 当前距低点2.22%; 最新日涨幅1.99%; 状态bottom_area; 底部未确认
3,92.01457492190774,79.63652085646211,688448,磁谷科技,bottom_area,2025-09-04,44.92,2025-09-04,44.01,2.0677118836628128,8.588957055214728,31.08362041966803,False,-5.7688,7.774,2,2,2,100.0,44.14464489899632,63.23529411764706,17.93228811633719,2.0677118836628128,历史2/2次成功; 当前距低点2.07%; 最新日涨幅-5.77%; 状态bottom_area; 底部未确认
4,91.86081878688857,79.45099520029397,300510,金冠股份,bottom_area,2025-09-04,4.52,2025-09-03,4.43,2.0316027088036086,3.6117381489842018,30.01579778830964,False,1.3453,5.9211,3,4,3,75.0,30.849727829925854,40.000000000000014,17.968397291196393,2.0316027088036086,历史3/4次成功; 当前距低点2.03%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
5,89.97391807953747,77.12888023115501,300645,正元智慧,bottom_area,2025-09-04,18.41,2025-09-04,18.13,1.5444015444015506,4.467733039161623,27.276373846770962,False,-1.1809,6.3591,1,1,1,100.0,30.699547055863096,30.699547055863096,18.45559845559845,1.5444015444015506,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
6,89.76695849636548,75.50314093868029,300192,科德教育,bottom_area,2025-09-04,19.85,2025-09-03,19.75,0.5063291139240579,6.227848101265825,28.905687544996404,False,0.0504,13.6887,1,1,1,100.0,26.599845797995382,26.599845797995382,19.493670886075943,0.5063291139240579,历史1/1次成功; 当前距低点0.51%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
7,88.80715855914639,76.03707460414071,688205,德科立,confirmed_rebound,2025-09-04,95.4,2025-09-04,94.01,1.4785661099882996,24.454845229230926,28.41696489758624,False,-11.2806,8.0989,2,2,2,100.0,27.786050187709932,35.44761904761904,18.5214338900117,1.4785661099882996,历史2/2次成功; 当前距低点1.48%; 最新日涨幅-11.28%; 状态confirmed_rebound; 底部未确认
8,88.33801267803697,75.31870321433722,000026,飞亚达,bottom_area,2025-09-04,16.21,2025-09-04,16.01,1.2492192379762603,6.058713304184877,30.602514087559594,False,-4.1962,2.791,1,1,1,100.0,27.564102564102562,27.564102564102562,18.75078076202374,1.2492192379762603,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-4.20%; 状态bottom_area; 底部未确认
9,83.83109490005519,73.77136351204857,002795,永和智控,bottom_area,2025-09-04,4.84,2025-08-28,4.7,2.9787234042553123,5.957446808510643,31.884057971014496,False,0.8333,3.7831,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,17.021276595744688,2.9787234042553123,历史4/6次成功; 当前距低点2.98%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
10,80.33608230037633,70.19511273735371,300730,科创信息,bottom_area,2025-09-04,18.62,2025-09-04,18.15,2.5895316804407846,5.7851239669421535,29.267342166796578,False,0.3233,9.9759,2,3,2,66.66666666666666,22.648270441355024,24.329896907216508,17.410468319559218,2.5895316804407846,历史2/3次成功; 当前距低点2.59%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
11,79.9660775183391,67.65538596883272,688552,航天南湖,bottom_area,2025-09-04,32.93,2025-09-04,32.66,0.826699326393151,9.920391916717705,28.860814637333913,False,-7.8366,14.7142,1,1,1,100.0,21.02290555381236,21.02290555381236,19.17330067360685,0.826699326393151,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-7.84%; 状态bottom_area; 底部未确认
