rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.75665150760958,86.01079737261954,603139,康惠股份,bottom_area,2025-06-30,21.2,2025-06-20,20.71,2.3660067600193067,5.5528730082085875,31.42384105960264,False,2.0703,3.7371,4,4,4,100.0,16.049961212169606,29.315476190476186,5.633993239980693,2.3660067600193067,历史4/4次成功; 当前距低点2.37%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
2,87.0614787358773,86.15842783451025,603333,尚纬股份,bottom_area,2025-06-30,7.48,2025-06-23,7.23,3.457814661134163,7.1922544951590535,28.838582677165352,True,1.355,2.3784,5,5,5,100.0,21.03357667686099,47.19626168224298,4.5421853388658375,3.457814661134163,历史5/5次成功; 当前距低点3.46%; 最新日涨幅1.35%; 状态bottom_area; 底部已确认
3,82.61128250371593,83.24302037234455,688114,华大智造,bottom_area,2025-06-30,64.83,2025-06-23,62.1,4.396135265700478,7.004830917874398,28.20809248554913,True,0.3716,1.7705,4,4,4,100.0,16.861337516890426,27.745919717688572,3.6038647342995223,4.396135265700478,历史4/4次成功; 当前距低点4.40%; 最新日涨幅0.37%; 状态bottom_area; 底部已确认
4,81.82181314482249,80.2873703242372,605198,安德利,bottom_area,2025-06-30,40.31,2025-06-20,39.13,3.015589062100689,5.877843087145405,29.748653500897664,False,0.0248,0.9075,1,1,1,100.0,43.241469816272954,43.241469816272954,4.9844109378993116,3.015589062100689,历史1/1次成功; 当前距低点3.02%; 最新日涨幅0.02%; 状态bottom_area; 底部未确认
5,81.35123723699981,79.38565174337427,002041,登海种业,bottom_area,2025-06-30,9.79,2025-06-23,9.53,2.728226652675759,3.147953830010501,29.719764011799416,False,0.1022,0.6206,2,2,2,100.0,18.2043468358871,21.395106715252467,5.271773347324241,2.728226652675759,历史2/2次成功; 当前距低点2.73%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
6,81.10096608416954,82.15871173101348,605136,丽人丽妆,bottom_area,2025-06-30,10.75,2025-06-26,10.27,4.67380720545278,4.77117818889971,29.318651066758434,False,1.7029,4.7914,4,4,4,100.0,23.62899010454739,52.667814113597245,3.32619279454722,4.67380720545278,历史4/4次成功; 当前距低点4.67%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
7,80.52309849138965,78.45213785512439,002155,湖南黄金,bottom_area,2025-06-30,17.85,2025-06-30,17.39,2.645198389879246,2.702702702702696,29.28019520130134,False,0.9615,2.1918,1,1,1,100.0,28.834355828220854,28.834355828220854,5.354801610120755,2.645198389879246,历史1/1次成功; 当前距低点2.65%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
8,78.50897822661683,78.72551205151291,001282,三联锻造,bottom_area,2025-06-30,20.36,2025-06-26,19.55,4.1432225063938555,7.161125319693087,30.62455642299503,True,0.9921,10.3087,2,2,2,100.0,22.80677078543491,37.31343283582089,3.856777493606145,4.1432225063938555,历史2/2次成功; 当前距低点4.14%; 最新日涨幅0.99%; 状态bottom_area; 底部已确认
9,78.27560097486023,75.68124274015211,301287,康力源,bottom_area,2025-06-30,40.49,2025-06-27,39.6,2.2474747474747487,2.2474747474747487,32.098765432098766,False,1.4787,11.7173,1,1,1,100.0,9.0617481956696,9.0617481956696,5.752525252525252,2.2474747474747487,历史1/1次成功; 当前距低点2.25%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
10,78.27434827504572,76.15309222423147,688556,高测股份,bottom_area,2025-06-30,7.18,2025-06-27,7.0,2.571428571428567,4.142857142857143,31.10236220472441,False,2.5714,1.9667,1,1,1,100.0,15.569620253164562,15.569620253164562,5.428571428571432,2.571428571428567,历史1/1次成功; 当前距低点2.57%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
11,78.07850181818182,72.29490909090909,300849,锦盛新材,bottom_area,2025-06-30,13.18,2025-06-30,13.18,0.0,7.435508345978759,31.318394997394485,False,-20.0243,18.2055,1,1,1,100.0,48.090909090909086,48.090909090909086,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-20.02%; 状态bottom_area; 底部未确认
