rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.72054529760689,77.30270758014368,605298,必得科技,bottom_area,2025-10-14,39.13,2025-10-13,38.66,1.2157268494568183,7.682359027418537,28.007448789571704,True,-4.77,2.2468,1,1,1,100.0,28.626692456479695,28.626692456479695,18.784273150543182,1.2157268494568183,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-4.77%; 状态bottom_area; 底部已确认
2,89.44656245440892,75.11989830508475,688621,阳光诺和,bottom_area,2025-10-14,59.25,2025-10-14,59.0,0.423728813559322,5.898305084745757,31.355439208842352,False,-1.7576,3.6502,1,1,1,100.0,46.0,46.0,19.57627118644068,0.423728813559322,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
3,89.39924328360765,76.98780941100185,688183,生益电子,bottom_area,2025-10-14,70.9,2025-10-13,69.65,1.7946877243359656,9.260588657573566,27.440358370663603,True,-3.2742,1.4746,1,1,1,100.0,34.030631303698186,34.030631303698186,18.205312275664035,1.7946877243359656,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-3.27%; 状态bottom_area; 底部已确认
4,88.42610276657054,78.63471591359084,301191,菲菱科思,bottom_area,2025-10-14,99.97,2025-10-13,96.54,3.552931427387603,8.245286927698356,27.890648341798617,True,0.3513,10.1882,1,1,1,100.0,31.749460043196553,31.749460043196553,16.447068572612398,3.552931427387603,历史1/1次成功; 当前距低点3.55%; 最新日涨幅0.35%; 状态bottom_area; 底部已确认
5,87.66466009101917,75.13756519495512,300049,福瑞医科,bottom_area,2025-10-14,66.11,2025-10-13,65.11,1.5358623867301489,8.692981108892637,28.19805910895457,True,-3.4891,4.0003,1,1,1,100.0,20.910384068278802,20.910384068278802,18.464137613269852,1.5358623867301489,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-3.49%; 状态bottom_area; 底部已确认
6,87.62459541221084,77.43587883022637,300486,东杰智能,bottom_area,2025-10-14,18.97,2025-10-13,18.38,3.210010881392818,12.078346028291636,32.40161824200074,True,-5.5749,5.0721,2,2,2,100.0,37.12206257958064,45.88591620393741,16.789989118607185,3.210010881392818,历史2/2次成功; 当前距低点3.21%; 最新日涨幅-5.57%; 状态bottom_area; 底部已确认
7,86.1451297068405,76.65456456964621,002269,美邦服饰,bottom_area,2025-10-14,2.31,2025-10-13,2.23,3.587443946188344,8.520179372197308,30.529595015576323,True,-1.7021,4.2888,2,2,2,100.0,27.33299337072922,31.08108108108108,16.412556053811656,3.587443946188344,历史2/2次成功; 当前距低点3.59%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
8,85.63501322911524,72.3338405458564,688039,当虹科技,bottom_area,2025-10-14,51.88,2025-10-14,51.5,0.7378640776699079,11.456310679611647,27.434127095956036,False,-5.3285,7.0988,1,1,1,100.0,45.086938940558035,45.086938940558035,19.262135922330092,0.7378640776699079,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-5.33%; 状态bottom_area; 底部未确认
9,84.96087576359902,71.81348406546081,301377,鼎泰高科,bottom_area,2025-10-14,65.0,2025-10-13,64.5,0.7751937984496124,6.930232558139533,30.64516129032258,False,-3.4175,7.0956,1,1,1,100.0,42.746913580246904,42.746913580246904,19.224806201550386,0.7751937984496124,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-3.42%; 状态bottom_area; 底部未确认
10,84.394201927316,70.4524582665144,300056,中创环保,bottom_area,2025-10-14,10.42,2025-10-14,10.41,0.09606147934677989,8.357348703170022,28.796169630642947,False,-6.6308,5.6183,1,1,1,100.0,27.10472279260781,27.10472279260781,19.903938520653224,0.09606147934677989,历史1/1次成功; 当前距低点0.10%; 最新日涨幅-6.63%; 状态bottom_area; 底部未确认
11,83.95918478838121,75.85993788819879,301009,可靠股份,bottom_area,2025-10-14,13.45,2025-09-23,12.88,4.425465838509305,7.763975155279502,30.566037735849054,True,-0.8843,2.5863,1,1,1,100.0,53.96648044692738,53.96648044692738,15.574534161490696,4.425465838509305,历史1/1次成功; 当前距低点4.43%; 最新日涨幅-0.88%; 状态bottom_area; 底部已确认
