rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.74656576389566,80.66299741602067,603787,新日股份,bottom_area,2026-05-07,11.95,17.11,2026-04-27,11.61,2.92850990525409,4.134366925064603,32.14494447691409,30.15780245470485,False,-0.665,1.6888,2,2,2,100.0,56.730295566502456,92.85714285714283,17.07149009474591,2.92850990525409,历史2/2次成功; 当前距低点2.93%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
2,87.24265860447906,79.4530472532435,688109,品茗科技,bottom_area,2026-05-07,96.45,128.0,2026-04-28,91.98,4.859752120026091,7.632093933463792,28.140624999999996,24.648437499999996,True,2.5955,1.5576,2,2,2,100.0,35.50151659625266,37.459584295612025,15.140247879973911,4.859752120026091,历史2/2次成功; 当前距低点4.86%; 最新日涨幅2.60%; 状态bottom_area; 底部已确认
3,86.70369642029932,74.85993468663698,300858,科拓生物,bottom_area,2026-05-07,17.9,24.5,2026-05-07,17.56,1.9362186788154891,4.15717539863326,28.326530612244905,26.93877551020409,False,-1.486,7.9294,1,1,1,100.0,23.303834808259573,23.303834808259573,18.063781321184514,1.9362186788154891,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
4,84.51290417932174,75.29454703317462,603277,银都股份,bottom_area,2026-05-07,13.33,17.69,2026-04-24,12.86,3.654743390357704,3.81026438569207,27.30356133408706,24.646693046919168,False,1.1381,0.3426,1,1,1,100.0,24.23312883435582,24.23312883435582,16.3452566096423,3.654743390357704,历史1/1次成功; 当前距低点3.65%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
5,83.82615625897421,74.31184638466218,688552,航天南湖,bottom_area,2026-05-07,39.74,53.79,2026-04-30,38.44,3.3818938605619264,6.581685744016652,28.53690277003161,26.12009667224391,False,-0.6748,6.2863,2,2,2,100.0,21.411636487867607,21.800367421922857,16.618106139438073,3.3818938605619264,历史2/2次成功; 当前距低点3.38%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
6,73.01287086600193,66.52505299419063,688326,经纬恒润,bottom_area,2026-05-07,92.1,125.0,2026-05-06,87.81,4.885548343013315,5.637171165015377,29.752000000000002,26.320000000000004,False,3.5064,2.5167,2,3,2,66.66666666666666,31.061486825775873,34.48938586529221,15.114451656986686,4.885548343013315,历史2/3次成功; 当前距低点4.89%; 最新日涨幅3.51%; 状态bottom_area; 底部未确认
7,70.19979310344827,58.4998275862069,600636,退市国化,bottom_area,2026-05-07,4.51,6.3,2026-04-29,4.51,0.0,2.660753880266078,28.41269841269841,28.41269841269841,False,0.0,0.0,1,2,1,50.0,32.90229885057471,32.90229885057471,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,66.2600224782157,55.78367119957133,601808,中海油服,bottom_area,2026-05-07,14.43,20.55,2026-05-07,14.35,0.5574912891986068,2.578397212543561,30.170316301703163,29.781021897810223,False,-2.8937,0.9542,1,2,1,50.0,35.34812547819435,35.34812547819435,19.442508710801395,0.5574912891986068,历史1/2次成功; 当前距低点0.56%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
9,65.42254480155651,54.625782278552094,000625,长安汽车,bottom_area,2026-05-07,9.36,13.84,2026-05-07,9.35,0.10695187165775173,1.4973262032085624,32.442196531791915,32.369942196531795,False,-0.9524,1.0749,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,19.89304812834225,0.10695187165775173,历史1/3次成功; 当前距低点0.11%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
10,62.90169809688927,57.1011184923538,605337,李子园,bottom_area,2026-05-07,10.73,14.95,2026-03-23,10.25,4.682926829268297,8.97560975609756,31.438127090301,28.22742474916387,True,-1.106,0.886,2,5,2,40.0,32.30210571551354,37.98882681564246,15.317073170731705,4.682926829268297,历史2/5次成功; 当前距低点4.68%; 最新日涨幅-1.11%; 状态bottom_area; 底部已确认
11,62.38639783248452,53.692364900516296,688196,卓越新能,bottom_area,2026-05-07,52.0,71.0,2026-05-07,51.1,1.76125244618395,2.7201565557729954,28.028169014084504,26.76056338028169,False,-0.7444,1.4504,1,5,1,20.0,30.688282138794104,30.688282138794104,18.23874755381605,1.76125244618395,历史1/5次成功; 当前距低点1.76%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
12,60.47938598749753,54.18023109233351,600185,珠免集团,bottom_area,2026-05-07,5.78,8.28,2026-04-03,5.56,3.956834532374112,10.251798561151086,32.850241545893724,30.193236714975836,True,-0.8576,1.2352,1,3,1,33.33333333333333,38.80903490759753,38.80903490759753,16.04316546762589,3.956834532374112,历史1/3次成功; 当前距低点3.96%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
