rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
28,74.03878202835004,73.10722186059729,001336,楚环科技,bottom_area,2024-07-11,18.05,2024-07-11,17.3,4.335260115606936,5.086705202312133,27.493713327745173,False,-2.4851,15.9195,2,2,2,100.0,26.62158561387693,40.95427435387674,5.6647398843930645,4.335260115606936,历史2/2次成功; 当前距低点4.34%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
29,73.23880647638588,73.08881078261558,000928,中钢国际,bottom_area,2024-07-11,5.36,2024-07-09,5.11,4.892367906066536,4.892367906066536,28.33099579242636,False,3.675,1.2459,4,5,4,80.0,20.878546281974685,33.7972166998012,5.107632093933464,4.892367906066536,历史4/5次成功; 当前距低点4.89%; 最新日涨幅3.67%; 状态bottom_area; 底部未确认
30,72.20939611081641,71.48618952419035,000068,华控赛格,bottom_area,2024-07-11,2.57,2024-07-10,2.46,4.471544715447149,4.878048780487809,29.914529914529915,False,4.4715,1.3075,1,1,1,100.0,13.7704918032787,13.7704918032787,5.528455284552852,4.471544715447149,历史1/1次成功; 当前距低点4.47%; 最新日涨幅4.47%; 状态bottom_area; 底部未确认
31,71.84815623805271,71.38573849878932,000930,中粮科技,bottom_area,2024-07-11,4.94,2024-07-10,4.72,4.661016949152557,5.296610169491526,28.915662650602407,False,4.0,0.8746,1,1,1,100.0,15.552995391705066,15.552995391705066,5.338983050847444,4.661016949152557,历史1/1次成功; 当前距低点4.66%; 最新日涨幅4.00%; 状态bottom_area; 底部未确认
32,71.50281472116873,71.00015873015874,002060,广东建工,bottom_area,2024-07-11,3.39,2024-07-09,3.24,4.629629629629626,4.938271604938262,27.67857142857143,False,2.4169,0.7946,1,1,1,100.0,13.095238095238093,13.095238095238093,5.370370370370375,4.629629629629626,历史1/1次成功; 当前距低点4.63%; 最新日涨幅2.42%; 状态bottom_area; 底部未确认
33,71.39146791380108,70.94067433109514,603010,万盛股份,bottom_area,2024-07-11,8.97,2024-07-09,8.57,4.667444574095687,4.784130688448076,27.18776550552251,False,3.9397,0.382,1,1,1,100.0,13.238967527060783,13.238967527060783,5.332555425904313,4.667444574095687,历史1/1次成功; 当前距低点4.67%; 最新日涨幅3.94%; 状态bottom_area; 底部未确认
34,70.8784110725344,70.77810551998174,603187,海容冷链,bottom_area,2024-07-11,11.29,2024-07-09,10.76,4.925650557620812,5.018587360594804,30.175210902011685,False,3.8638,1.2099,1,1,1,100.0,15.530047265361235,15.530047265361235,5.074349442379189,4.925650557620812,历史1/1次成功; 当前距低点4.93%; 最新日涨幅3.86%; 状态bottom_area; 底部未确认
35,70.52739539683103,70.45362197068373,600230,沧州大化,bottom_area,2024-07-11,9.55,2024-07-10,9.1,4.945054945054957,6.1538461538461595,28.62745098039216,False,3.9173,1.0659,1,1,1,100.0,14.02337228714524,14.02337228714524,5.054945054945044,4.945054945054957,历史1/1次成功; 当前距低点4.95%; 最新日涨幅3.92%; 状态bottom_area; 底部未确认
36,69.42125681262523,69.42125681262522,002706,良信股份,bottom_area,2024-07-11,6.51,2024-07-08,6.2,4.999999999999993,5.483870967741932,29.943502824858754,False,2.8436,1.653,3,4,3,75.0,13.31320867002797,14.727153188691638,5.000000000000008,4.999999999999993,历史3/4次成功; 当前距低点5.00%; 最新日涨幅2.84%; 状态bottom_area; 底部未确认
37,69.31711309893444,66.21929040584465,688111,金山办公,bottom_area,2024-07-11,191.38,2024-07-10,186.53,2.600117943494341,4.701656569988747,31.84375913475592,False,2.162,1.0027,2,4,2,50.0,20.84709310221366,27.68058076225045,7.3998820565056596,2.600117943494341,历史2/4次成功; 当前距低点2.60%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
38,69.20597793483556,66.89549753373282,002531,天顺风能,bottom_area,2024-07-11,8.02,2024-07-10,7.77,3.2175032175032174,7.335907335907339,30.810329474621557,False,1.0076,1.4539,2,3,2,66.66666666666666,12.606119370825263,15.128205128205142,6.782496782496783,3.2175032175032174,历史2/3次成功; 当前距低点3.22%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
39,66.5291253462512,66.04351129262893,002346,柘中股份,bottom_area,2024-07-11,7.48,2024-07-09,7.15,4.615384615384617,4.89510489510489,27.558257345491377,False,2.0464,0.3266,2,3,2,66.66666666666666,25.160868543221483,34.89010989010989,5.384615384615383,4.615384615384617,历史2/3次成功; 当前距低点4.62%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
40,63.58720891907008,59.83994991927104,601636,旗滨集团,bottom_area,2024-07-11,6.18,2024-07-11,6.07,1.8121911037891174,2.141680395387148,29.088785046728972,False,2.6578,1.0105,1,2,1,50.0,10.224438902743147,10.224438902743147,8.187808896210882,1.8121911037891174,历史1/2次成功; 当前距低点1.81%; 最新日涨幅2.66%; 状态bottom_area; 底部未确认
41,61.260331069844796,60.82454545454545,600058,五矿发展,bottom_area,2024-07-11,6.56,2024-07-09,6.27,4.625199362041468,5.263157894736844,28.91156462585035,False,2.6604,0.4715,1,2,1,50.0,99.54954954954954,99.54954954954954,5.374800637958533,4.625199362041468,历史1/2次成功; 当前距低点4.63%; 最新日涨幅2.66%; 状态bottom_area; 底部未确认
42,54.490144931730164,53.10876664894415,001914,招商积余,bottom_area,2024-07-11,9.65,2024-07-10,9.31,3.6519871106337254,4.833512352309337,28.052550231839252,False,2.4416,0.9879,1,3,1,33.33333333333333,16.03206412825651,16.03206412825651,6.3480128893662755,3.6519871106337254,历史1/3次成功; 当前距低点3.65%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
43,53.76179189109143,53.709614973084776,605123,派克新材,bottom_area,2024-07-11,49.41,2024-07-09,47.08,4.949022939677142,5.522514868309264,31.649245063879206,False,2.1501,0.7887,1,2,1,50.0,15.71713589004656,15.71713589004656,5.050977060322859,4.949022939677142,历史1/2次成功; 当前距低点4.95%; 最新日涨幅2.15%; 状态bottom_area; 底部未确认
