rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.6376986921545,86.56727655311012,300763,锦浪科技,bottom_area,2024-10-16,69.89,2024-10-16,69.17,1.0409136909064607,3.9323406100910785,29.266796195930056,False,-2.538,2.6937,4,4,4,100.0,25.271826711703444,36.020348268440614,6.95908630909354,1.0409136909064607,历史4/4次成功; 当前距低点1.04%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
2,89.56850805605535,85.16584449314382,688005,容百科技,bottom_area,2024-10-16,25.72,2024-10-16,25.37,1.3795821836815052,3.468663776113516,27.09770114942528,False,-1.9817,2.6499,4,4,4,100.0,21.88866597815933,38.76758854924795,6.620417816318495,1.3795821836815052,历史4/4次成功; 当前距低点1.38%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
3,86.87830932504029,82.02111007277426,688177,百奥泰,bottom_area,2024-10-16,22.02,2024-10-16,21.8,1.0091743119266001,3.4862385321100824,28.242264647794595,False,-1.2556,0.6151,3,3,3,100.0,17.107674752510242,28.56629536471435,6.9908256880734,1.0091743119266001,历史3/3次成功; 当前距低点1.01%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
4,86.56813061638786,81.31985324886183,688358,祥生医疗,bottom_area,2024-10-16,22.87,2024-10-16,22.7,0.7488986784141044,3.4361233480176265,28.232690483717988,False,-1.8033,0.6624,4,4,4,100.0,33.31904427766654,68.06588735387884,7.251101321585896,0.7488986784141044,历史4/4次成功; 当前距低点0.75%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
5,86.30811394973718,81.6988886662533,688148,芳源股份,bottom_area,2024-10-16,4.41,2024-10-16,4.36,1.146788990825684,3.6697247706421847,27.333333333333325,False,-1.5625,1.796,3,3,3,100.0,17.062191211483146,26.66666666666668,6.853211009174316,1.146788990825684,历史3/3次成功; 当前距低点1.15%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
6,84.8463033508856,80.94086692261925,688349,三一重能,bottom_area,2024-10-16,25.55,2024-10-16,25.16,1.5500794912559641,4.29252782193958,27.325245522819174,False,0.0392,1.6198,1,1,1,100.0,28.790581519800213,28.790581519800213,6.449920508744037,1.5500794912559641,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
7,84.53187579665511,82.43452525252528,000430,张家界,bottom_area,2024-10-16,6.1,2024-10-16,5.94,2.693602693602681,3.5353535353535346,28.433734939759038,False,0.0,3.8269,2,2,2,100.0,34.17171717171716,53.99999999999999,5.306397306397319,2.693602693602681,历史2/2次成功; 当前距低点2.69%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,84.00431744226765,79.82415401464104,688116,天奈科技,bottom_area,2024-10-16,24.84,2024-10-16,24.51,1.3463892288861619,3.0599755201958385,27.161961367013365,False,-1.0359,1.8252,3,3,3,100.0,9.429685250007996,11.226578491576134,6.653610771113838,1.3463892288861619,历史3/3次成功; 当前距低点1.35%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
9,83.41163593185487,78.78452832855827,300751,迈为股份,bottom_area,2024-10-16,90.95,2024-10-16,90.02,1.0331037547211808,5.965341035325489,29.17387883556255,False,-4.2732,2.3776,3,3,3,100.0,10.215080050121285,13.004138993165853,6.96689624527882,1.0331037547211808,历史3/3次成功; 当前距低点1.03%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
10,83.36789833720714,81.42945588657395,688320,禾川科技,confirmed_rebound,2024-10-16,26.28,2024-10-14,25.57,2.7766914352757173,9.307782557684781,30.440696409140365,True,-1.573,2.0468,5,5,5,100.0,19.94791590861607,38.29133374308544,5.223308564724283,2.7766914352757173,历史5/5次成功; 当前距低点2.78%; 最新日涨幅-1.57%; 状态confirmed_rebound; 底部已确认
11,83.09409818821987,78.77078402650186,300595,欧普康视,bottom_area,2024-10-16,18.22,2024-10-16,18.0,1.2222222222222159,3.7777777777777763,27.594529364440866,False,-1.3001,1.8592,2,2,2,100.0,18.911025232088786,19.855715871254166,6.777777777777784,1.2222222222222159,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
