rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.78135525594149,81.06387947393972,000803,山高环能,bottom_area,2025-12-08,6.67,2025-12-05,6.5,2.615384615384614,3.8461538461538463,32.22106360792492,False,0.1502,1.9899,2,2,2,100.0,25.843851596863644,36.1111111111111,12.384615384615385,2.615384615384614,历史2/2次成功; 当前距低点2.62%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
2,82.34021910651323,76.53417801566933,300358,楚天科技,bottom_area,2025-12-08,9.28,2025-12-05,8.96,3.5714285714285547,4.575892857142839,27.74193548387096,False,0.76,2.3104,3,4,3,75.0,34.04319977702382,38.205499276411004,11.428571428571445,3.5714285714285547,历史3/4次成功; 当前距低点3.57%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
3,80.95018489132808,76.12010612353191,600550,保变电气,bottom_area,2025-12-08,9.44,2025-12-04,9.06,4.194260485651203,5.077262693156722,30.307692307692303,False,0.5325,2.753,1,1,1,100.0,35.285053929121716,35.285053929121716,10.805739514348797,4.194260485651203,历史1/1次成功; 当前距低点4.19%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
4,80.55666169083835,74.79180129557243,603178,圣龙股份,bottom_area,2025-12-08,18.28,2025-12-05,17.66,3.510758776896948,3.850509626274064,28.182187881252542,False,0.9387,0.9366,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,11.48924122310305,3.510758776896948,历史5/7次成功; 当前距低点3.51%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
5,80.55039266965044,73.20822247174476,688190,云路股份,bottom_area,2025-12-08,96.02,2025-12-05,93.8,2.3667377398720673,3.7100213219616247,27.73497688751927,False,-0.0728,0.5104,1,1,1,100.0,19.70099203576919,19.70099203576919,12.633262260127932,2.3667377398720673,历史1/1次成功; 当前距低点2.37%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
6,80.13007393700651,74.71644749021004,688766,普冉股份,bottom_area,2025-12-08,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,11.258333333333336,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,79.74620964583139,75.42276744547101,603173,福斯达,bottom_area,2025-12-08,38.51,2025-11-24,36.85,4.504748982360914,5.6445047489823565,32.86573146292585,False,0.9172,3.9577,1,1,1,100.0,35.34190927555856,35.34190927555856,10.495251017639086,4.504748982360914,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
8,79.3773417977987,69.51985141575553,002321,华英农业,bottom_area,2025-12-08,2.62,2025-12-08,2.61,0.3831417624521162,4.5977011494252915,32.38341968911917,False,-4.3796,4.3926,1,1,1,100.0,25.609756097560986,25.609756097560986,14.616858237547884,0.3831417624521162,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
9,78.5205663759982,71.705463933141,601127,赛力斯,bottom_area,2025-12-08,125.58,2025-11-24,122.37,2.6231919588134294,7.232164746261334,28.854651162790695,True,-0.4203,0.9107,6,9,6,66.66666666666666,27.793951250370768,42.19143576826195,12.37680804118657,2.6231919588134294,历史6/9次成功; 当前距低点2.62%; 最新日涨幅-0.42%; 状态bottom_area; 底部已确认
10,78.3568019510555,74.16487427466156,002418,康盛股份,bottom_area,2025-12-08,4.6,2025-12-05,4.4,4.545454545454529,5.227272727272717,27.031509121061358,False,1.3216,3.4078,1,1,1,100.0,29.078014184397176,29.078014184397176,10.454545454545471,4.545454545454529,历史1/1次成功; 当前距低点4.55%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
11,77.79324158257506,73.18280594215076,603938,三孚股份,bottom_area,2025-12-08,18.04,2025-11-21,17.31,4.21721548238013,8.08781051415368,27.45180217937972,False,1.2346,1.9416,1,1,1,100.0,19.774501300954046,19.774501300954046,10.78278451761987,4.21721548238013,历史1/1次成功; 当前距低点4.22%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
