rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,103.1215013944946,88.50502753946257,002160,常铝股份,bottom_area,2025-11-24,5.05,2025-11-24,4.97,1.6096579476861181,3.8229376257545358,28.386167146974074,False,0.3976,6.0273,3,3,3,100.0,36.855094947241525,40.066225165562926,18.390342052313883,1.6096579476861181,历史3/3次成功; 当前距低点1.61%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
2,96.08120058112655,82.39628757724755,688608,恒玄科技,bottom_area,2025-11-24,201.1,2025-11-24,198.0,1.5656565656565629,2.1666666666666625,31.25,False,0.4696,1.7382,1,1,1,100.0,36.80636853195971,36.80636853195971,18.43434343434344,1.5656565656565629,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
3,95.26573654034236,81.53022969110792,000619,海螺新材,bottom_area,2025-11-24,6.28,2025-11-21,6.19,1.4539579967689797,6.1389337641357,27.85547785547785,False,1.454,4.0011,3,4,3,75.0,34.947601740544016,43.133047210300425,18.546042003231022,1.4539579967689797,历史3/4次成功; 当前距低点1.45%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
4,94.99764554931836,80.86883720930233,301017,漱玉平民,bottom_area,2025-11-24,13.05,2025-11-24,12.9,1.1627906976744213,2.7906976744186003,28.01339285714286,False,0.2304,4.4205,1,1,1,100.0,23.655913978494613,23.655913978494613,18.83720930232558,1.1627906976744213,历史1/1次成功; 当前距低点1.16%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
5,94.1760997093397,81.37862001557845,603151,邦基科技,bottom_area,2025-11-24,18.53,2025-11-21,18.17,1.9812878370941078,3.5773252614199147,32.62884686688913,False,1.1463,1.6636,1,1,1,100.0,36.42987249544626,36.42987249544626,18.018712162905892,1.9812878370941078,历史1/1次成功; 当前距低点1.98%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
6,94.12545240580968,79.01617234468941,002825,纳尔股份,bottom_area,2025-11-24,10.02,2025-11-24,9.98,0.4008016032064043,2.7054108216432824,27.046783625730992,False,-0.1992,4.3338,2,2,2,100.0,56.18277368277369,89.24242424242425,19.599198396793597,0.4008016032064043,历史2/2次成功; 当前距低点0.40%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
7,93.23566143099468,80.80567110897168,603173,福斯达,bottom_area,2025-11-24,37.64,2025-11-24,36.85,2.1438263229307983,3.039348710990495,32.86573146292585,False,2.0607,3.3195,1,1,1,100.0,35.34190927555856,35.34190927555856,17.856173677069204,2.1438263229307983,历史1/1次成功; 当前距低点2.14%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
8,93.20618796949557,82.18285845251194,002300,太阳电缆,bottom_area,2025-11-24,6.68,2025-11-24,6.48,3.0864197530864086,3.703703703703693,27.027027027027028,False,1.5198,4.387,2,2,2,100.0,37.633846718005124,38.41584158415842,16.913580246913593,3.0864197530864086,历史2/2次成功; 当前距低点3.09%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
9,91.67701252684373,79.26883757005277,003038,鑫铂股份,bottom_area,2025-11-24,15.69,2025-11-24,15.38,2.0156046814044126,2.7308192457737315,28.76331635016211,False,0.8355,2.2166,1,1,1,100.0,25.507614213197975,25.507614213197975,17.98439531859559,2.0156046814044126,历史1/1次成功; 当前距低点2.02%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
10,90.95664535648953,79.59327644107306,600550,保变电气,bottom_area,2025-11-24,9.61,2025-11-24,9.36,2.670940170940171,3.3119658119658175,28.000000000000004,False,0.9454,3.6093,1,1,1,100.0,35.285053929121716,35.285053929121716,17.32905982905983,2.670940170940171,历史1/1次成功; 当前距低点2.67%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
11,90.40252247819456,78.17990835976588,603178,圣龙股份,bottom_area,2025-11-24,18.14,2025-11-24,17.78,2.024746906636667,2.305961754780653,27.694184627897517,False,0.7778,1.5096,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,17.97525309336333,2.024746906636667,历史5/7次成功; 当前距低点2.02%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
