rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.58907912904286,80.08636076848143,300798,锦鸡股份,bottom_area,2025-04-08,6.39,2025-04-07,6.19,3.2310177705977265,16.15508885298869,27.85547785547785,False,3.231,9.8923,1,1,1,100.0,44.801512287334596,44.801512287334596,16.768982229402273,3.2310177705977265,历史1/1次成功; 当前距低点3.23%; 最新日涨幅3.23%; 状态bottom_area; 底部未确认
2,86.62468402714539,76.57308458096934,688800,瑞可达,bottom_area,2025-04-08,38.09,2025-04-08,36.9,3.224932249322506,6.124661246612461,31.66666666666667,False,2.5027,4.6284,1,1,1,100.0,25.83833392163784,25.83833392163784,16.775067750677493,3.224932249322506,历史1/1次成功; 当前距低点3.22%; 最新日涨幅2.50%; 状态bottom_area; 底部未确认
3,84.71106783525235,73.59069599587559,000668,荣丰控股,bottom_area,2025-04-08,4.5,2025-04-08,4.4,2.2727272727272645,7.954545454545446,29.599999999999994,False,-2.5974,3.57,1,1,1,100.0,20.604914933837428,20.604914933837428,17.727272727272737,2.2727272727272645,历史1/1次成功; 当前距低点2.27%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
4,84.61604834955602,71.20039497969728,603890,春秋电子,bottom_area,2025-04-08,9.5,2025-04-08,9.45,0.5291005291005366,5.820105820105828,32.35504652827488,False,-9.5238,5.0811,1,1,1,100.0,36.434108527131784,36.434108527131784,19.470899470899464,0.5291005291005366,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-9.52%; 状态bottom_area; 底部未确认
5,84.41659531378785,73.35578947368423,600202,哈空调,bottom_area,2025-04-08,4.47,2025-04-08,4.37,2.2883295194507927,7.3226544622425696,29.855537720706266,False,-7.8351,12.7244,1,1,1,100.0,29.748283752860406,29.748283752860406,17.71167048054921,2.2883295194507927,历史1/1次成功; 当前距低点2.29%; 最新日涨幅-7.84%; 状态bottom_area; 底部未确认
6,83.69660657313088,72.77965788967903,002291,遥望科技,bottom_area,2025-04-08,5.28,2025-04-08,5.16,2.325581395348839,9.689922480620154,31.926121372031663,False,-7.8534,7.6012,1,1,1,100.0,27.107438016528935,27.107438016528935,17.674418604651162,2.325581395348839,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-7.85%; 状态bottom_area; 底部未确认
7,83.40317437948794,75.47798586378998,300819,聚杰微纤,bottom_area,2025-04-08,22.0,2025-04-07,21.05,4.5130641330166235,18.14726840855107,29.005059021922424,True,4.5131,6.4181,1,1,1,100.0,26.54716175842936,26.54716175842936,15.486935866983378,4.5130641330166235,历史1/1次成功; 当前距低点4.51%; 最新日涨幅4.51%; 状态bottom_area; 底部已确认
8,81.37334136724498,73.55696936584373,300753,爱朋医疗,bottom_area,2025-04-08,19.48,2025-04-08,18.65,4.450402144772128,8.579088471849875,29.087452471482898,False,3.3422,13.2674,1,1,1,100.0,24.644549763033172,24.644549763033172,15.549597855227873,4.450402144772128,历史1/1次成功; 当前距低点4.45%; 最新日涨幅3.34%; 状态bottom_area; 底部未确认
9,80.81661675655485,71.26167990092517,600130,波导股份,bottom_area,2025-04-08,2.67,2025-04-08,2.59,3.0888030888030915,7.335907335907334,32.727272727272734,False,-4.9822,5.1996,1,1,1,100.0,28.301886792452823,28.301886792452823,16.91119691119691,3.0888030888030915,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-4.98%; 状态bottom_area; 底部未确认
10,79.80012206054103,72.55223452645257,300913,兆龙互连,bottom_area,2025-04-08,39.56,2025-04-07,37.76,4.766949152542384,17.50529661016949,30.3192470935597,False,4.7669,3.2076,1,1,1,100.0,23.123003194888174,23.123003194888174,15.233050847457616,4.766949152542384,历史1/1次成功; 当前距低点4.77%; 最新日涨幅4.77%; 状态bottom_area; 底部未确认
11,74.38575393380233,67.47686037957922,301616,浙江华业,bottom_area,2025-04-08,43.95,2025-04-08,42.0,4.64285714285715,15.666666666666663,31.88452805708725,False,-7.3567,50.2226,1,1,1,100.0,27.003089598352215,27.003089598352215,15.35714285714285,4.64285714285715,历史1/1次成功; 当前距低点4.64%; 最新日涨幅-7.36%; 状态bottom_area; 底部未确认
12,55.589362830273174,50.12155665024631,300870,欧陆通,bottom_area,2025-04-08,90.75,2025-04-08,87.0,4.310344827586207,11.494252873563218,31.818181818181817,False,-3.0345,5.8217,1,2,1,50.0,21.28571428571428,21.28571428571428,15.689655172413794,4.310344827586207,历史1/2次成功; 当前距低点4.31%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
