rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.20555651619277,80.55998106232632,301382,蜂助手,bottom_area,2024-06-04,18.95,2024-06-04,18.68,1.4453961456102762,4.925053533190588,28.37423312883435,False,-4.002,3.093,3,3,3,100.0,24.8144315823534,47.676579925650564,8.554603854389725,1.4453961456102762,历史3/3次成功; 当前距低点1.45%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
2,85.8663725942933,81.07241963673204,300752,隆利科技,bottom_area,2024-06-04,13.36,2024-06-04,13.1,1.9847328244274793,6.793893129770997,27.019498607242337,False,-4.023,6.3281,4,4,4,100.0,17.51403481949826,21.807655194596325,8.015267175572522,1.9847328244274793,历史4/4次成功; 当前距低点1.98%; 最新日涨幅-4.02%; 状态bottom_area; 底部未确认
3,83.97964848036003,78.07837588444286,002551,尚荣医疗,bottom_area,2024-06-04,2.58,2024-06-04,2.55,1.176470588235304,2.745098039215698,27.142857142857146,False,-1.5267,2.12,3,4,3,75.0,35.46090766462019,52.61780104712043,8.823529411764696,1.176470588235304,历史3/4次成功; 当前距低点1.18%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
4,82.65917154305973,80.88675266007013,300644,南京聚隆,bottom_area,2024-06-04,22.59,2024-06-04,21.75,3.862068965517241,5.195402298850571,29.566062176165804,False,-0.3529,13.0157,3,3,3,100.0,45.97994570671739,78.38246409674981,6.13793103448276,3.862068965517241,历史3/3次成功; 当前距低点3.86%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
5,81.1227351903888,77.86137205886645,300621,维业股份,bottom_area,2024-06-04,7.95,2024-06-04,7.73,2.8460543337645503,4.0103492884864,27.621722846441944,False,0.2522,1.751,1,1,1,100.0,28.120300751879686,28.120300751879686,7.153945666235451,2.8460543337645503,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
6,80.44642229729735,74.78687500000004,605180,华生科技,bottom_area,2024-06-04,12.95,2024-06-04,12.8,1.171874999999989,2.4999999999999885,28.809788654060064,False,-1.9682,1.6141,1,1,1,100.0,13.541666666666663,13.541666666666663,8.828125000000012,1.171874999999989,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
7,79.86690606326546,77.30046902024729,605108,同庆楼,bottom_area,2024-06-04,25.15,2024-05-31,24.35,3.28542094455851,3.4496919917864464,29.725829725829715,False,0.2791,0.5328,2,2,2,100.0,13.82381061204675,17.52165223184544,6.714579055441491,3.28542094455851,历史2/2次成功; 当前距低点3.29%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
8,79.78463700570477,74.57796203796204,002693,双成药业,bottom_area,2024-06-04,4.87,2024-06-04,4.8,1.4583333333333393,4.375,28.143712574850298,False,-2.7944,1.7125,3,4,3,75.0,20.096570096570098,34.61538461538462,8.54166666666666,1.4583333333333393,历史3/4次成功; 当前距低点1.46%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
9,79.37881091697315,74.45782792247253,688357,建龙微纳,bottom_area,2024-06-04,26.63,2024-06-04,26.2,1.6412213740458006,5.038167938931299,29.871520342612424,False,-3.2692,1.4041,4,5,4,80.0,21.074261587618047,31.65083135391925,8.3587786259542,1.6412213740458006,历史4/5次成功; 当前距低点1.64%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
10,79.0625,71.875,002269,美邦服饰,bottom_area,2024-06-04,1.19,2024-06-04,1.19,0.0,0.0,30.813953488372096,False,-9.8485,0.4933,3,4,3,75.0,67.6633252638804,173.50993377483442,10.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-9.85%; 状态bottom_area; 底部未确认
11,78.8430015174692,74.13691884308224,000886,海南高速,bottom_area,2024-06-04,4.6,2024-06-04,4.52,1.7699115044247804,1.9911504424778927,27.447833065810606,False,-0.4329,1.8052,1,1,1,100.0,17.378048780487816,17.378048780487816,8.23008849557522,1.7699115044247804,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
