rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.62454753013765,84.99351585014412,300735,光弘科技,bottom_area,2024-01-26,17.75,2024-01-24,17.35,2.305475504322758,7.3775216138328386,28.008298755186722,True,-3.794,3.5542,3,3,3,100.0,50.43111523258737,93.48973607038124,12.694524495677243,2.305475504322758,历史3/3次成功; 当前距低点2.31%; 最新日涨幅-3.79%; 状态bottom_area; 底部已确认
2,90.45024883912117,80.46982969327117,300354,东华测试,bottom_area,2024-01-26,37.25,2024-01-26,36.8,1.2228260869565295,7.1739130434782625,28.307032924215864,False,-4.7802,3.8985,2,2,2,100.0,38.26813533081753,39.34343434343434,13.77717391304347,1.2228260869565295,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
3,90.44707574859915,78.9868465744897,688037,芯源微,bottom_area,2024-01-26,100.72,2024-01-26,100.49,0.22887849537267788,5.7717185789630925,27.381124439947968,False,-5.7017,2.5565,5,5,5,100.0,24.616610451287148,34.08866995073892,14.771121504627322,0.22887849537267788,历史5/5次成功; 当前距低点0.23%; 最新日涨幅-5.70%; 状态bottom_area; 底部未确认
4,90.00058658227907,83.18157707202441,688315,诺禾致源,bottom_area,2024-01-26,17.7,2024-01-24,17.14,3.26721120186697,7.4679113185530985,27.24957555178268,True,-2.6403,1.1366,3,3,3,100.0,41.83235813054352,86.2826357231662,11.73278879813303,3.26721120186697,历史3/3次成功; 当前距低点3.27%; 最新日涨幅-2.64%; 状态bottom_area; 底部已确认
5,87.83906707711249,78.69616438356164,300580,贝斯特,bottom_area,2024-01-26,22.25,2024-01-25,21.9,1.5981735159817416,7.8082191780821955,32.177144626819455,False,-4.1361,2.5294,1,1,1,100.0,53.89266817838245,53.89266817838245,13.401826484018258,1.5981735159817416,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
6,84.62544915463687,76.62186151926915,688017,绿的谐波,bottom_area,2024-01-26,111.88,2024-01-25,109.51,2.1641859190941375,7.022189754360331,29.11974110032362,False,-2.7638,1.4512,2,2,2,100.0,18.90433018711707,22.08643815201191,12.83581408090586,2.1641859190941375,历史2/2次成功; 当前距低点2.16%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
7,84.13179291417343,74.66003712789748,300604,长川科技,bottom_area,2024-01-26,27.88,2024-01-26,27.58,1.0877447425670803,8.484408992023218,28.917525773195873,False,-7.0357,4.2339,3,4,3,75.0,26.210188929840978,36.28082648300379,13.912255257432921,1.0877447425670803,历史3/4次成功; 当前距低点1.09%; 最新日涨幅-7.04%; 状态bottom_area; 底部未确认
8,82.52054532543279,74.7295882523187,300682,朗新科技,bottom_area,2024-01-26,12.22,2024-01-24,11.96,2.173913043478259,6.187290969899652,27.734138972809664,False,-3.2462,1.0859,2,2,2,100.0,19.0651074809093,21.503593145384194,12.82608695652174,2.173913043478259,历史2/2次成功; 当前距低点2.17%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
9,82.48747630053327,73.47747286660437,688200,华峰测控,bottom_area,2024-01-26,85.6,2024-01-24,84.51,1.2897881907466444,6.377943438646315,31.780755569906354,False,-4.4109,0.742,1,1,1,100.0,18.16231151347698,18.16231151347698,13.710211809253355,1.2897881907466444,历史1/1次成功; 当前距低点1.29%; 最新日涨幅-4.41%; 状态bottom_area; 底部未确认
10,82.16111889097874,74.01573876588924,688233,神工股份,bottom_area,2024-01-26,26.37,2024-01-24,25.88,1.8933539412673956,8.153013910355485,27.486690949845894,True,-3.6536,0.7396,1,1,1,100.0,19.261213720316633,19.261213720316633,13.106646058732604,1.8933539412673956,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-3.65%; 状态bottom_area; 底部已确认
11,81.16229155106528,75.89247452601523,002708,光洋股份,bottom_area,2024-01-26,8.54,2024-01-23,8.22,3.892944038929422,10.948905109489033,31.38564273789649,True,-2.7335,11.325,2,2,2,100.0,26.980574918141464,35.522388059701484,11.107055961070579,3.892944038929422,历史2/2次成功; 当前距低点3.89%; 最新日涨幅-2.73%; 状态bottom_area; 底部已确认
