rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.78275319444799,78.70678302777041,002761,浙江建投,confirmed_rebound,2022-08-18,24.82,2022-08-04,24.1,2.9875518672199117,10.248962655601654,32.24627495080124,True,-2.2065,2.874,3,3,3,100.0,24.561297231353766,43.73730534867976,7.012448132780088,2.9875518672199117,历史3/3次成功; 当前距低点2.99%; 最新日涨幅-2.21%; 状态confirmed_rebound; 底部已确认
2,81.0690171045982,75.81595547309833,002110,三钢闽光,bottom_area,2022-08-18,5.47,2022-08-03,5.39,1.4842300556586285,3.710575139146571,27.456258411843876,False,-1.085,0.321,1,1,1,100.0,22.90322580645161,22.90322580645161,8.515769944341372,1.4842300556586285,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
3,77.84734372416673,75.79915382299227,688005,容百科技,confirmed_rebound,2022-08-18,112.8,2022-08-16,108.88,3.600293901542985,10.213078618662752,27.170568561872916,True,-1.321,4.7354,2,2,2,100.0,33.10658020704442,38.76758854924795,6.399706098457016,3.600293901542985,历史2/2次成功; 当前距低点3.60%; 最新日涨幅-1.32%; 状态confirmed_rebound; 底部已确认
4,73.34092723677804,70.79597392572263,600248,陕建股份,bottom_area,2022-08-18,4.59,2022-08-03,4.45,3.1460674157303297,5.393258426966296,28.2258064516129,False,-1.9231,1.2851,1,1,1,100.0,16.28498727735369,16.28498727735369,6.85393258426967,3.1460674157303297,历史1/1次成功; 当前距低点3.15%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
5,72.4428548336443,70.58534573534574,000761,本钢板材,bottom_area,2022-08-18,3.42,2022-07-15,3.3,3.63636363636364,8.484848484848492,31.818181818181817,True,-1.7241,0.2517,1,1,1,100.0,11.969111969111971,11.969111969111971,6.36363636363636,3.63636363636364,历史1/1次成功; 当前距低点3.64%; 最新日涨幅-1.72%; 状态bottom_area; 底部已确认
6,72.35079575288091,71.69339952882764,002157,正邦科技,bottom_area,2022-08-18,5.78,2022-08-02,5.53,4.520795660036167,7.956600361663643,28.737113402061848,True,-1.8676,1.6096,2,2,2,100.0,12.101148568333835,13.751169317118809,5.479204339963833,4.520795660036167,历史2/2次成功; 当前距低点4.52%; 最新日涨幅-1.87%; 状态bottom_area; 底部已确认
7,68.32431140686329,68.23084449659397,000715,中兴商业,bottom_area,2022-08-18,5.11,2022-08-03,4.87,4.928131416837787,6.365503080082127,27.421758569299552,False,-0.7767,1.0938,1,1,1,100.0,24.33862433862435,24.33862433862435,5.071868583162214,4.928131416837787,历史1/1次成功; 当前距低点4.93%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
8,61.51721667858712,57.98422440112332,603180,金牌家居,bottom_area,2022-08-18,23.65,2022-08-10,23.21,1.8957345971563881,5.040930633347687,27.15003138731952,False,-1.6632,0.9547,1,2,1,50.0,23.744619799139173,23.744619799139173,8.104265402843613,1.8957345971563881,历史1/2次成功; 当前距低点1.90%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
