rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.83965529314614,81.60416184971098,600172,黄河旋风,bottom_area,2024-01-10,3.5,2024-01-08,3.46,1.1560693641618507,3.7572254335260085,29.098360655737704,False,-1.1299,1.2754,1,1,1,100.0,51.074589127686465,51.074589127686465,13.843930635838147,1.1560693641618507,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
2,91.81088692862868,81.58883720930231,603013,亚普股份,bottom_area,2024-01-10,16.53,2024-01-10,16.34,1.1627906976744264,2.325581395348831,28.175824175824175,False,-0.9587,0.4334,1,1,1,100.0,53.30739299610896,53.30739299610896,13.837209302325574,1.1627906976744264,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
3,88.31975960766026,80.24580700014,002041,登海种业,bottom_area,2024-01-10,12.19,2024-01-10,11.91,2.35096557514693,2.85474391267842,29.484902309058615,False,0.9106,0.6311,2,2,2,100.0,18.2043468358871,21.395106715252467,12.64903442485307,2.35096557514693,历史2/2次成功; 当前距低点2.35%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
4,88.04438444672196,79.2492948299335,002385,大北农,bottom_area,2024-01-10,5.51,2024-01-09,5.41,1.8484288354898273,2.4029574861367817,27.38255033557047,False,0.1818,0.812,1,1,1,100.0,23.353293413173663,23.353293413173663,13.151571164510173,1.8484288354898273,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
5,87.33959781564451,76.33741564304692,000070,特发信息,bottom_area,2024-01-10,7.32,2024-01-10,7.3,0.27397260273973234,2.739726027397263,29.604628736740597,False,-2.008,0.9311,2,2,2,100.0,34.04340417899739,50.60532687651331,14.726027397260266,0.27397260273973234,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
6,85.7889749059788,76.18029647515854,300745,欣锐科技,bottom_area,2024-01-10,24.32,2024-01-10,24.05,1.1226611226611207,3.284823284823281,27.777777777777768,False,-1.098,2.0562,3,4,3,75.0,24.596579757128456,36.150000000000006,13.877338877338879,1.1226611226611207,历史3/4次成功; 当前距低点1.12%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
7,81.5489991617551,71.4297802876687,601628,中国人寿,bottom_area,2024-01-10,25.8,2024-01-10,25.7,0.3891050583657643,2.373540856031126,32.96817944705269,False,-2.1244,0.0672,1,1,1,100.0,25.736235595390532,25.736235595390532,14.610894941634234,0.3891050583657643,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
8,80.5031821196304,71.06566218187713,002413,雷科防务,bottom_area,2024-01-10,5.0,2024-01-10,4.96,0.8064516129032264,2.6209677419354818,27.906976744186046,False,-2.1526,1.3402,1,1,1,100.0,28.894472361809044,28.894472361809044,14.193548387096772,0.8064516129032264,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
9,80.43990725592712,74.87687204419305,600178,东安动力,bottom_area,2024-01-10,12.78,2024-01-10,12.33,3.6496350364963446,3.974047039740472,29.903354178510515,False,-0.1563,6.1978,2,2,2,100.0,27.731397459165148,36.84210526315788,11.350364963503655,3.6496350364963446,历史2/2次成功; 当前距低点3.65%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
10,79.96217164970217,70.00309783850479,002195,岩山科技,bottom_area,2024-01-10,2.78,2024-01-10,2.77,0.36101083032490205,2.5270758122743624,28.97435897435897,False,-2.1127,1.2117,1,1,1,100.0,17.72151898734177,17.72151898734177,14.6389891696751,0.36101083032490205,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
11,79.83543270237521,69.75169926226954,301509,金凯生科,bottom_area,2024-01-10,59.35,2024-01-10,59.2,0.25337837837837596,2.770270270270271,29.69956062225388,False,-1.6244,4.14,1,1,1,100.0,15.05054819877544,15.05054819877544,14.746621621621623,0.25337837837837596,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
