rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
17,67.19915118586368,60.76549141395689,601068,中铝国际,bottom_area,2023-05-26,5.36,2023-05-26,5.25,2.0952380952381016,2.6666666666666607,29.90654205607477,False,0.1869,0.434,1,2,1,50.0,18.6700767263427,18.6700767263427,12.904761904761896,2.0952380952381016,历史1/2次成功; 当前距低点2.10%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
18,66.61209266411407,60.70625634220593,002405,四维图新,bottom_area,2023-05-26,11.42,2023-05-16,11.14,2.5134649910233335,4.039497307001789,27.75616083009079,False,0.4398,0.7414,1,2,1,50.0,23.478260869565215,23.478260869565215,12.486535008976665,2.5134649910233335,历史1/2次成功; 当前距低点2.51%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
19,65.44296260477114,59.67636363636366,601388,怡球资源,bottom_area,2023-05-26,2.82,2023-05-26,2.75,2.5454545454545396,2.9090909090909114,27.248677248677243,False,0.3559,0.6817,1,2,1,50.0,18.333333333333325,18.333333333333325,12.45454545454546,2.5454545454545396,历史1/2次成功; 当前距低点2.55%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
20,64.52807156913289,57.78942424926623,000928,中钢国际,bottom_area,2023-05-26,8.37,2023-05-26,8.24,1.5776699029126091,2.5485436893203772,32.34811165845649,False,-0.2384,1.9928,1,2,1,50.0,18.798449612403097,18.798449612403097,13.42233009708739,1.5776699029126091,历史1/2次成功; 当前距低点1.58%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
21,63.38765796613342,57.004095238095246,000798,中水渔业,bottom_area,2023-05-26,10.18,2023-05-26,10.0,1.7999999999999972,3.399999999999999,29.72593113141251,False,-1.165,2.5639,1,2,1,50.0,17.3015873015873,17.3015873015873,13.200000000000003,1.7999999999999972,历史1/2次成功; 当前距低点1.80%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
22,62.614039385809946,56.04047084726227,002837,英维克,bottom_area,2023-05-26,26.3,2023-05-26,25.9,1.5444015444015529,4.5945945945946,28.982725527831093,False,-3.0236,3.019,1,2,1,50.0,19.202722411278558,19.202722411278558,13.455598455598446,1.5444015444015529,历史1/2次成功; 当前距低点1.54%; 最新日涨幅-3.02%; 状态bottom_area; 底部未确认
23,62.21112486485009,55.24204932603022,600409,三友化工,bottom_area,2023-05-26,5.41,2023-05-26,5.35,1.1214953271028132,2.0560747663551466,27.70270270270271,False,-0.5515,0.5443,1,3,1,33.33333333333333,18.95551257253386,18.95551257253386,13.878504672897185,1.1214953271028132,历史1/3次成功; 当前距低点1.12%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
24,60.39924466853161,52.72938877834774,000792,盐湖股份,bottom_area,2023-05-26,18.93,2023-05-26,18.89,0.2117522498676503,4.076230809952353,28.01067073170731,False,-3.7621,0.8529,1,2,1,50.0,24.904214559386965,24.904214559386965,14.78824775013235,0.2117522498676503,历史1/2次成功; 当前距低点0.21%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
25,60.17963338584605,56.88824222834873,000518,四环生物,bottom_area,2023-05-26,2.8,2023-04-25,2.68,4.477611940298495,9.328358208955223,27.956989247311824,True,1.8182,0.4225,1,2,1,50.0,17.834394904458602,17.834394904458602,10.522388059701504,4.477611940298495,历史1/2次成功; 当前距低点4.48%; 最新日涨幅1.82%; 状态bottom_area; 底部已确认
26,56.41398025668548,51.58152922584509,688298,东方生物,bottom_area,2023-05-26,53.45,2023-05-19,52.05,2.6897214217099052,6.570605187319889,32.99433573635429,False,0.451,0.7603,1,6,1,16.666666666666664,15.470039788586028,15.470039788586028,12.310278578290095,2.6897214217099052,历史1/6次成功; 当前距低点2.69%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
