rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.33430216760296,81.16138031573452,600658,电子城,bottom_area,2025-09-01,6.42,2025-08-29,6.31,1.7432646592710037,7.92393026941363,29.101123595505623,False,1.7433,5.4524,1,1,1,100.0,32.344213649851625,32.344213649851625,18.256735340728998,1.7432646592710037,历史1/1次成功; 当前距低点1.74%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
2,91.18673313714179,79.09399029540343,300510,金冠股份,bottom_area,2025-09-01,4.67,2025-08-28,4.57,2.1881838074398168,5.68927789934354,27.8041074249605,False,0.4301,5.9432,3,4,3,75.0,30.849727829925854,40.000000000000014,17.811816192560183,2.1881838074398168,历史3/4次成功; 当前距低点2.19%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
3,88.44103833535154,78.33985313751668,002097,山河智能,bottom_area,2025-09-01,15.48,2025-08-28,14.98,3.337783711615487,7.009345794392528,28.59866539561487,True,-1.2755,5.7924,1,1,1,100.0,50.210970464135016,50.210970464135016,16.662216288384514,3.337783711615487,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-1.28%; 状态bottom_area; 底部已确认
4,83.15867614938144,74.76948839758818,000026,飞亚达,bottom_area,2025-09-01,17.54,2025-08-28,16.84,4.156769596199521,8.966745843230413,27.0047680970958,False,0.4007,2.7171,1,1,1,100.0,27.564102564102562,27.564102564102562,15.84323040380048,4.156769596199521,历史1/1次成功; 当前距低点4.16%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
5,76.17104203163191,66.53830060511706,300665,飞鹿股份,bottom_area,2025-09-01,9.56,2025-08-28,9.32,2.5751072961373414,6.115879828326183,27.470817120622566,False,-0.2088,8.8487,3,5,3,60.0,23.062071184463395,23.50486787204451,17.42489270386266,2.5751072961373414,历史3/5次成功; 当前距低点2.58%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
6,74.28467803974117,63.824075686242196,603767,中马传动,bottom_area,2025-09-01,29.25,2025-08-29,28.77,1.6684045881126188,9.141466805700379,29.17282127031019,False,1.2812,9.0524,1,2,1,50.0,29.881925522252505,29.881925522252505,18.331595411887385,1.6684045881126188,历史1/2次成功; 当前距低点1.67%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
7,70.44824181286212,60.05932654010525,300902,国安达,bottom_area,2025-09-01,23.61,2025-08-28,23.32,1.2435677530017115,5.0600343053173225,29.37613567534828,False,-0.6731,6.4604,1,2,1,50.0,26.906779661016937,26.906779661016937,18.75643224699829,1.2435677530017115,历史1/2次成功; 当前距低点1.24%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
8,69.77593047590898,61.072352941176476,002826,易明医药,bottom_area,2025-09-01,19.9,2025-08-28,19.38,2.6831785345717214,6.243550051599592,27.76742452478569,False,-0.6986,5.0163,1,2,1,50.0,50.0,50.0,17.316821465428276,2.6831785345717214,历史1/2次成功; 当前距低点2.68%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
9,68.44315448189624,57.30124561275035,603158,腾龙股份,bottom_area,2025-09-01,11.88,2025-09-01,11.85,0.2531645569620349,7.004219409282701,27.166564228641672,False,-8.8258,21.317,2,5,2,40.0,38.32505807862251,41.37931034482758,19.746835443037966,0.2531645569620349,历史2/5次成功; 当前距低点0.25%; 最新日涨幅-8.83%; 状态bottom_area; 底部未确认
10,66.48955873048074,57.477533084781726,603221,爱丽家居,bottom_area,2025-09-01,12.22,2025-08-28,11.98,2.0033388981636078,2.754590984974959,31.931818181818183,False,0.4934,1.4833,1,4,1,25.0,20.699708454810505,20.699708454810505,17.99666110183639,2.0033388981636078,历史1/4次成功; 当前距低点2.00%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
11,65.87888052357692,57.59837757201702,002041,登海种业,bottom_area,2025-09-01,9.78,2025-06-23,9.53,2.623294858342078,7.345225603357829,29.719764011799416,True,-0.4073,1.4397,1,2,1,50.0,21.395106715252467,21.395106715252467,17.376705141657922,2.623294858342078,历史1/2次成功; 当前距低点2.62%; 最新日涨幅-0.41%; 状态bottom_area; 底部已确认
12,65.2029304945726,57.22957448997968,603367,辰欣药业,bottom_area,2025-09-01,25.38,2025-09-01,24.68,2.8363047001620716,4.335494327390601,29.60638904734741,False,-0.3142,4.8187,1,2,1,50.0,31.216931216931226,31.216931216931226,17.16369529983793,2.8363047001620716,历史1/2次成功; 当前距低点2.84%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
13,64.11477106182727,56.3699633855586,605169,洪通燃气,bottom_area,2025-09-01,15.11,2025-08-28,14.68,2.929155313351497,4.2915531335149915,29.626078619367206,False,0.332,1.2888,1,4,1,25.0,26.09375,26.09375,17.070844686648503,2.929155313351497,历史1/4次成功; 当前距低点2.93%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
14,60.099850748266725,54.70361353258614,002218,拓日新能,bottom_area,2025-09-01,3.69,2025-08-28,3.52,4.829545454545452,5.397727272727272,28.163265306122454,False,1.0959,2.4223,1,3,1,33.33333333333333,39.04109589041095,39.04109589041095,15.170454545454549,4.829545454545452,历史1/3次成功; 当前距低点4.83%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
15,59.84566276650419,53.57362824075703,002742,三圣股份,bottom_area,2025-09-01,4.51,2025-08-28,4.34,3.917050691244238,7.142857142857155,28.735632183908045,False,-0.2212,2.0114,1,2,1,50.0,24.809160305343507,24.809160305343507,16.08294930875576,3.917050691244238,历史1/2次成功; 当前距低点3.92%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
